,Treebank,hu_szeged-ud-dev_Case=Dis,hu_szeged-ud-test_Case=Dis,hu_szeged-ud-train_Case=Dis
0,hu_szeged-ud-dev_Case=Ter,1.6311020284336886,1.469861839480328,1.469861839480328
1,hu_szeged-ud-test_Case=Ter,1.224744871391589,1.0,1.0
2,hu_szeged-ud-train_Case=Ter,1.3320306135954818,1.1288514320120056,1.1288514320120056
3,et_ewt-ud-train_Case=Ter,1.6324827717314507,1.4713938969562161,1.4713938969562161
4,et_ewt-ud-test_Case=Ter,1.4577379737113252,1.2747548783981961,1.2747548783981961
5,et_ewt-ud-dev_Case=Ter,1.407124727947029,1.2165525060596438,1.2165525060596438
6,olo_kkpp-ud-test_Case=Ter,2.345207879911715,2.23606797749979,2.23606797749979
7,vep_vwt-ud-test_Case=Ter,1.224744871391589,1.0,1.0
8,kpv_ikdp-ud-test_Case=Ter,2.345207879911715,2.23606797749979,2.23606797749979
9,kpv_lattice-ud-test_Case=Ter,3.5036424195516345,3.431546328418375,3.431546328418375
10,et_edt-ud-dev_Case=Ter,1.3634929534370435,1.1658100334413286,1.1658100334413286
11,et_edt-ud-train_Case=Ter,1.4152888362906442,1.2325679372360732,1.2325679372360732
12,et_edt-ud-test_Case=Ter,1.4420183818808732,1.2567485880964147,1.2567485880964147
13,ab_abnc-ud-test_Case=Ter,1.224744871391589,1.0,1.0
14,gu_gujtb-ud-test_Case=Ter,1.224744871391589,1.0,1.0
