,Treebank,kpv_ikdp-ud-test_Case=Egr,kpv_lattice-ud-test_Case=Egr,kpv_lattice-ud-train_Case=Egr,koi_uh-ud-train_Case=Egr,koi_uh-ud-test_Case=Egr
0,fi_ood-ud-test_Case=Par,7.583887894247843,5.654833245287557,10.881208844195129,10.881208844195129,10.881208844195129
1,sah_yktdt-ud-test_Case=Par,4.418144406874904,6.958448102845922,6.334035048845246,6.334035048845246,6.334035048845246
2,sms_giellagas-ud-test_Case=Par,4.58257569495584,10.36822067666386,0.0,0.0,0.0
3,et_ewt-ud-train_Case=Par,45.69171500018878,41.16490187270083,49.174596926907114,49.174596926907114,49.174596926907114
4,et_ewt-ud-test_Case=Par,40.669875598081624,36.27978764670145,44.08588319352249,44.08588319352249,44.08588319352249
5,et_ewt-ud-dev_Case=Par,28.27313212221101,24.05659992600783,31.663385794952504,31.663385794952504,31.663385794952504
6,olo_kkpp-ud-test_Case=Par,136.12494260788506,131.242142621949,139.7390425042336,139.7390425042336,139.7390425042336
7,olo_kkpp-ud-train_Case=Par,4.58257569495584,10.36822067666386,0.0,0.0,0.0
8,vep_vwt-ud-test_Case=Par,4.58257569495584,10.36822067666386,0.0,0.0,0.0
9,fi_tdt-ud-train_Case=Par,15.247657110620246,11.33933323689524,18.711198078741774,18.711198078741774,18.711198078741774
10,fi_tdt-ud-test_Case=Par,15.231526515750154,11.369670179912873,18.668674296799974,18.668674296799974,18.668674296799974
11,fi_tdt-ud-dev_Case=Par,13.629542313807839,9.839460629609281,17.107076434426677,17.107076434426677,17.107076434426677
12,ru_taiga-ud-train_Case=Par,42.988370520409354,38.281849485101944,46.65833258915282,46.65833258915282,46.65833258915282
13,ru_taiga-ud-dev_Case=Par,4.58257569495584,10.36822067666386,0.0,0.0,0.0
14,ru_taiga-ud-test_Case=Par,4.58257569495584,10.36822067666386,0.0,0.0,0.0
15,fi_pud-ud-test_Case=Par,18.354719273821612,14.262875513930682,21.823579013918195,21.823579013918195,21.823579013918195
16,et_edt-ud-dev_Case=Par,88.0412572364715,83.3078876952785,91.58649739557852,91.58649739557852,91.58649739557852
17,et_edt-ud-train_Case=Par,76.75424584630963,72.08081239751603,80.27025559877289,80.27025559877289,80.27025559877289
18,et_edt-ud-test_Case=Par,78.29809667002614,73.65352633885739,81.79242650183359,81.79242650183359,81.79242650183359
19,ru_syntagrus-ud-train_Case=Par,80.38345600930579,75.45197147855052,84.27039812413372,84.27039812413372,84.27039812413372
20,ru_syntagrus-ud-dev_Case=Par,4.58257569495584,10.36822067666386,0.0,0.0,0.0
21,ru_syntagrus-ud-test_Case=Par,4.58257569495584,10.36822067666386,0.0,0.0,0.0
22,ru_poetry-ud-dev_Case=Par,4.58257569495584,10.36822067666386,0.0,0.0,0.0
23,ru_poetry-ud-train_Case=Par,8.717797887081348,5.873670062235365,12.36931687685298,12.36931687685298,12.36931687685298
24,krl_kkpp-ud-test_Case=Par,31.76145657013844,27.389395983586034,35.21696420620656,35.21696420620656,35.21696420620656
25,eu_bdt-ud-train_Case=Par,25.58044907737157,21.20546804482278,29.085810543974876,29.085810543974876,29.085810543974876
26,eu_bdt-ud-test_Case=Par,14.260434775980709,10.486181383134664,17.713271860387625,17.713271860387625,17.713271860387625
27,eu_bdt-ud-dev_Case=Par,8.013302549603335,5.956697786585287,11.285692885477854,11.285692885477854,11.285692885477854
28,fi_ftb-ud-dev_Case=Par,6.359503719708629,5.523645847401216,9.401034930993175,9.401034930993175,9.401034930993175
29,fi_ftb-ud-train_Case=Par,8.130623312090368,6.060836329566076,11.310617670681031,11.310617670681031,11.310617670681031
30,fi_ftb-ud-test_Case=Par,8.422898562451081,6.349006366942455,11.574769776600762,11.574769776600762,11.574769776600762
31,ru_gsd-ud-dev_Case=Par,4.58257569495584,10.36822067666386,0.0,0.0,0.0
32,ru_gsd-ud-train_Case=Par,4.58257569495584,10.36822067666386,0.0,0.0,0.0
