,Treebank,hu_szeged-ud-dev_Case=Ela,hu_szeged-ud-test_Case=Ela,hu_szeged-ud-train_Case=Ela,fi_ood-ud-test_Case=Ela,et_ewt-ud-train_Case=Ela,et_ewt-ud-test_Case=Ela,et_ewt-ud-dev_Case=Ela,egy_ujaen-ud-test_Case=Ela,olo_kkpp-ud-test_Case=Ela,olo_kkpp-ud-train_Case=Ela,mdf_jr-ud-test_Case=Ela,mdf_jr-ud-train_Case=Ela,vep_vwt-ud-test_Case=Ela,fi_tdt-ud-train_Case=Ela,fi_tdt-ud-test_Case=Ela,fi_tdt-ud-dev_Case=Ela,myv_jr-ud-test_Case=Ela,myv_jr-ud-train_Case=Ela,kpv_ikdp-ud-test_Case=Ela,kpv_lattice-ud-test_Case=Ela,kpv_lattice-ud-train_Case=Ela,fi_pud-ud-test_Case=Ela,et_edt-ud-dev_Case=Ela,et_edt-ud-train_Case=Ela,et_edt-ud-test_Case=Ela,wbp_ufal-ud-test_Case=Ela,koi_uh-ud-train_Case=Ela,koi_uh-ud-test_Case=Ela,krl_kkpp-ud-test_Case=Ela,fi_ftb-ud-dev_Case=Ela,fi_ftb-ud-train_Case=Ela,fi_ftb-ud-test_Case=Ela
0,fi_ood-ud-test_Case=Abe,5.664653963018125,5.608027935403232,5.527229373769877,4.881020309884086,5.113717766876428,5.116069228871352,5.099518339346247,6.6248689714505975,5.4026112775934605,5.734883511361751,15.584892970081281,6.6248689714505975,5.269144986512412,4.721833330332746,4.829565223657919,4.738374504357209,4.967754538979761,4.612336804012776,3.39934634239519,4.0643313176129725,4.988876515698588,4.413018461405591,4.971368951462715,5.034193101864889,4.947945492528132,5.734883511361751,6.6248689714505975,4.0483192671637065,5.277912045075738,6.6248689714505975,6.6248689714505975,6.6248689714505975
1,sms_giellagas-ud-test_Case=Abe,0.10112587531821468,0.16659862556700852,0.27216552697590873,1.1201926861291118,0.763760760418742,0.7754788325534144,0.8063799251291472,1.0,0.45175395145262554,0.0,19.8158185969358,1.0,0.6123724356957945,1.3773675690615153,1.202592211576206,1.3433656817130493,0.8812629433036954,1.4322808982279183,3.1622776601683795,2.3991720022888807,1.4142135623730951,1.9068172393492644,1.02044433321392,0.9208940422971585,1.04559825370004,0.0,1.0,2.9154759474226504,0.6170899448216606,1.0,1.0,1.0
2,sms_giellagas-ud-train_Case=Abe,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
3,et_ewt-ud-train_Case=Abe,3.7574209212192127,3.698697447993196,3.618838757548726,2.908894923968235,3.1742735264007678,3.175926778504006,3.1501515265566957,4.723895928549249,3.472600886381816,3.8273392947447844,16.895034089067366,4.723895928549249,3.3735247048510497,2.731094493391704,2.8504841793671134,2.7529578475636933,3.0586144642849833,2.746294142890447,1.7944232077539781,2.3316790958104368,3.159408079123499,2.4066789012471546,2.9987456561927424,3.066643068770322,2.972138603269398,3.8273392947447844,4.723895928549249,2.545949608776819,3.3575490466867386,4.723895928549249,4.723895928549249,4.723895928549249
4,et_ewt-ud-test_Case=Abe,9.729279268851704,9.67515930013523,9.59552364772627,8.858464682117136,9.14478548370198,9.158137494177906,9.123882433619164,10.661457061146319,9.438907273701863,9.797958971132713,13.581032524975575,10.661457061146319,9.374166629626338,8.64941108601271,8.791175671888853,8.67917103973683,9.032918567068597,8.667069587703518,7.280109889280519,8.030863280825143,9.018499505645789,8.23734283055081,8.941957989727102,9.018277510677873,8.920159846332158,9.797958971132713,10.661457061146319,7.926747967062744,9.34705657769689,10.661457061146319,10.661457061146319,10.661457061146319
5,et_ewt-ud-dev_Case=Abe,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
6,gub_tudet-ud-test_Case=Abe,1.359435279995599,1.3198639385658397,1.264074205845368,1.093138332754001,1.079732412057264,1.089758834004171,1.08990045061622,2.23606797749979,1.200906686944618,1.4142135623730951,18.9208879284245,2.23606797749979,1.1726039399558574,1.198640960898207,1.1357719961963095,1.1821131653948536,1.062810214342561,1.192835756865606,2.449489742783178,1.8378378378378377,1.4142135623730951,1.5044610213201628,1.1070003882992974,1.0950340760170696,1.1063030049544311,1.4142135623730951,2.23606797749979,2.345207879911715,1.1228535078094561,2.23606797749979,2.23606797749979,2.23606797749979
7,olo_kkpp-ud-test_Case=Abe,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
8,olo_kkpp-ud-train_Case=Abe,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
9,mdf_jr-ud-test_Case=Abe,0.6550918726238282,0.6204014500173847,0.579636813857467,0.5793703283828474,0.42342661125041603,0.4230291084960448,0.38761912188550396,1.5811388300841898,0.524890659167824,0.7071067811865476,19.369219567826335,1.5811388300841898,0.6123724356957945,0.79703312380996,0.6257319932237363,0.7825111261168579,0.6658010527980253,1.0993504575754853,2.6770630673681683,1.9622998983747186,1.224744871391589,1.2803202560827345,0.49974647060945926,0.4243447722902285,0.5207721536991977,0.7071067811865476,1.5811388300841898,2.5495097567963922,0.5663920903402518,1.5811388300841898,1.5811388300841898,1.5811388300841898
