,Treebank,hu_szeged-ud-dev_Case=Ela,hu_szeged-ud-test_Case=Ela,hu_szeged-ud-train_Case=Ela,fi_ood-ud-test_Case=Ela,et_ewt-ud-train_Case=Ela,et_ewt-ud-test_Case=Ela,et_ewt-ud-dev_Case=Ela,egy_ujaen-ud-test_Case=Ela,olo_kkpp-ud-test_Case=Ela,olo_kkpp-ud-train_Case=Ela,mdf_jr-ud-test_Case=Ela,mdf_jr-ud-train_Case=Ela,vep_vwt-ud-test_Case=Ela,fi_tdt-ud-train_Case=Ela,fi_tdt-ud-test_Case=Ela,fi_tdt-ud-dev_Case=Ela,myv_jr-ud-test_Case=Ela,myv_jr-ud-train_Case=Ela,kpv_ikdp-ud-test_Case=Ela,kpv_lattice-ud-test_Case=Ela,kpv_lattice-ud-train_Case=Ela,fi_pud-ud-test_Case=Ela,et_edt-ud-dev_Case=Ela,et_edt-ud-train_Case=Ela,et_edt-ud-test_Case=Ela,wbp_ufal-ud-test_Case=Ela,koi_uh-ud-train_Case=Ela,koi_uh-ud-test_Case=Ela,krl_kkpp-ud-test_Case=Ela,fi_ftb-ud-dev_Case=Ela,fi_ftb-ud-train_Case=Ela,fi_ftb-ud-test_Case=Ela
0,hu_szeged-ud-dev_Case=Ade,0.3318128289709213,0.27195672299774737,0.17829012234239933,0.886797115532654,0.5526968493091154,0.5688757113032867,0.5977640306504408,1.3375584099395434,0.3606229257241185,0.4050462936504913,19.53409145997496,1.3375584099395434,0.4759858191164943,1.1367191960422312,0.9684664403549305,1.1024065446313327,0.6526721940510036,1.180704239003147,2.879073201570255,2.133505461282814,1.2405895775799505,1.657133946201121,0.7986951196931464,0.7048493787112959,0.8204634545259435,0.4050462936504913,1.3375584099395434,2.6648757006659802,0.468894977580268,1.3375584099395434,1.3375584099395434,1.3375584099395434
1,hu_szeged-ud-test_Case=Ade,0.2658522638361044,0.19205320681277788,0.1552641207229483,0.8412216238158682,0.4959864765338101,0.49560437242638977,0.5365650751452049,1.3144621146642357,0.2451477345311667,0.335299918733898,19.535230905938214,1.3144621146642357,0.3758619285710012,1.1077072116341062,0.9362492812776212,1.070391616067842,0.6078178737138255,1.164071904196782,2.8617038827289654,2.1229003674980684,1.2235364400451436,1.6384525743164704,0.7581186493824357,0.6610510083670644,0.7787357667214099,0.335299918733898,1.3144621146642357,2.659692556864688,0.3477331494052103,1.3144621146642357,1.3144621146642357,1.3144621146642357
2,hu_szeged-ud-train_Case=Ade,0.237860871120549,0.1848882729363541,0.11626916409142417,0.9186096179036334,0.5699080150516058,0.5855929848250726,0.6161632785243103,1.2629330940315089,0.32955339806603534,0.3082207001484488,19.589835799890377,1.2629330940315089,0.469041575982343,1.1730014232698225,1.0012772604747149,1.1384249844860674,0.6781295372994302,1.22036294367115,2.93172304285381,2.1809245062523925,1.2629330940315089,1.6983953472384987,0.8260402186425306,0.7285665959700871,0.8490779503662961,0.3082207001484488,1.2629330940315089,2.7101660465735304,0.46454278597347737,1.2629330940315089,1.2629330940315089,1.2629330940315089
3,fi_ood-ud-test_Case=Ade,0.7331403463633651,0.68050640901358,0.5946027469509142,0.47143500098449664,0.19717922290125867,0.26501648398049804,0.25761033082342333,1.7886065521032837,0.45836030422327884,0.8146657764756383,19.112312215627473,1.7886065521032837,0.3781679997330182,0.7070654524844168,0.5588887916894186,0.6680782666166392,0.3733547737121164,0.815990231188095,2.4189552226850757,1.7243052658652014,1.0621898401389993,1.2256197462568643,0.41906500228313054,0.3507932859498419,0.4258369517651104,0.8146657764756383,1.7886065521032837,2.307617310169799,0.436963408392557,1.7886065521032837,1.7886065521032837,1.7886065521032837
4,et_ewt-ud-train_Case=Ade,0.8480982795428174,0.7948517002138984,0.7082334363381787,0.42845837196962794,0.255320105241439,0.31574540774559506,0.2977050773600695,1.897422799077966,0.5563867915877659,0.9298928155685491,19.020645577942147,1.897422799077966,0.46066451195719593,0.6349465947350793,0.5059389103343882,0.5943247654310373,0.41478652653983145,0.7756215459875462,2.3241342697059983,1.6482923473258961,1.0626325886359522,1.1412226240637733,0.39274029063161997,0.3512835992263959,0.39166769298920207,0.9298928155685491,1.897422799077966,2.241856166976119,0.5173683786563711,1.897422799077966,1.897422799077966,1.897422799077966
5,et_ewt-ud-test_Case=Ade,0.8228501371155892,0.7750074280667195,0.6833836445581422,0.45800908689904024,0.2510760887638778,0.29938557785117453,0.29815814103656213,1.8771070193697335,0.5592400915146124,0.9091540382121331,19.03978544396092,1.8771070193697335,0.4573147961450475,0.6678018967324425,0.5313917206007231,0.6313256680558611,0.4198442799465689,0.7886247717168124,2.3486070349446218,1.6656030599787144,1.0628223596762216,1.170436011443764,0.41893834404888325,0.368938568384886,0.4153294186543429,0.9091540382121331,1.8771070193697335,2.254803056316269,0.5070089100739734,1.8771070193697335,1.8771070193697335,1.8771070193697335
6,et_ewt-ud-dev_Case=Ade,1.1277564974765089,1.0826001938122067,0.9904660154137519,0.5060839133606171,0.522162194502017,0.5676057386692369,0.5347703882969569,2.166296264635297,0.8585643709341432,1.2126901021904224,18.801405253495624,2.166296264635297,0.7234604769635969,0.6065955526848038,0.5431916023374467,0.581285802125313,0.6186708670704607,0.746514534766259,2.127480396973418,1.4875583237989833,1.117316007997914,1.0176174640249427,0.5322933910806901,0.5396407515160999,0.5146299088103424,1.2126901021904224,2.166296264635297,2.1012048278059567,0.7988015714914962,2.166296264635297,2.166296264635297,2.166296264635297
7,olo_kkpp-ud-test_Case=Ade,0.9821569997378508,0.9105061371263861,0.8362018080442065,0.48075811808879243,0.47819095897452074,0.47031627012891847,0.4822156842443619,2.0006924009208644,0.632324419816209,1.0526315789473684,18.954774381075826,2.0006924009208644,0.6146300375856139,0.6677586470191582,0.5936074637102862,0.6169547469185979,0.5241664768892494,0.8180686086851316,2.260095847745672,1.6307124584675665,1.1014973440240183,1.137103703766687,0.48693330717615646,0.48611338871992993,0.4827810682429273,1.0526315789473684,2.0006924009208644,2.2070775101328164,0.5413351709551296,2.0006924009208644,2.0006924009208644,2.0006924009208644
8,vep_vwt-ud-test_Case=Ade,0.627845846225679,0.5624291338579865,0.49644236972183026,0.5261441456874599,0.2368126233371039,0.2898466799867236,0.29083586645050014,1.6593171286204857,0.27363348378206936,0.697614984548545,19.23474864809924,1.6593171286204857,0.3582364210034113,0.7722298142285923,0.6279753397576612,0.727949441578991,0.4426858710971589,0.9294135375652348,2.5468935326524087,1.8437596698025098,1.104536101718726,1.303992495654785,0.4343643241435204,0.3602268151755126,0.460515479587138,0.697614984548545,1.6593171286204857,2.4124676163629637,0.3358571124749333,1.6593171286204857,1.6593171286204857,1.6593171286204857
9,fi_tdt-ud-train_Case=Ade,1.082978067718544,1.0262347419582758,0.9380924604750227,0.37171609139766243,0.44000978794481527,0.47689163488411856,0.44607414323630773,2.1333499449356674,0.7713997681611326,1.1640891530224247,18.81278794134102,2.1333499449356674,0.6822006111339427,0.48656151733339337,0.4183386946932057,0.4497290902975443,0.5096379192426845,0.6872768163359193,2.104043483633612,1.4737606927945208,1.0765802918556127,0.9425226638427512,0.397517100350644,0.41686129936683325,0.38093700261093755,1.1640891530224247,2.1333499449356674,2.0892360990929415,0.704042507381228,2.1333499449356674,2.1333499449356674,2.1333499449356674
10,fi_tdt-ud-test_Case=Ade,1.1172389363136335,1.0522674996804862,0.9692971311348014,0.3679663889301877,0.48103474240576943,0.49714764232384273,0.4712886368179487,2.160771997383269,0.7848437014146429,1.19408613676893,18.79060891793589,2.160771997383269,0.6891116391376787,0.479655880879123,0.4289622484356489,0.43376158765692996,0.5351843716809307,0.6977817126010686,2.0720147241129525,1.4595726753364473,1.0875420816556083,0.9270166440038229,0.4121303480804917,0.44300223182552423,0.3952449870038812,1.19408613676893,2.160771997383269,2.0780055089902705,0.7006001691773789,2.160771997383269,2.160771997383269,2.160771997383269
11,fi_tdt-ud-dev_Case=Ade,1.1197461842404697,1.0619965794172208,0.9742939378076192,0.35749741598778667,0.46665670942411525,0.49368646114712206,0.4657708247650441,2.171466165088107,0.8154294390491595,1.2004080938733854,18.778636001265568,2.171466165088107,0.7143285701429342,0.44526034993381935,0.38145929089361047,0.4083170042849348,0.5404755045315147,0.6786541302986586,2.06121290493141,1.4391445940331522,1.0801360458530307,0.892354557046337,0.4031015165013631,0.4285251409033907,0.37931790045300695,1.2004080938733854,2.171466165088107,2.062829441840127,0.7354354534032533,2.171466165088107,2.171466165088107,2.171466165088107
12,fi_pud-ud-test_Case=Ade,1.3444305993019958,1.2874396411842135,1.196795787547659,0.516800889189192,0.697606066677842,0.7208731561929212,0.6894591494755151,2.3950690043825595,1.033619339084724,1.4264862419387834,18.586092198131528,2.3950690043825595,0.9360987709042213,0.4949388183132563,0.5161045245509814,0.47546637208808623,0.7098645119765374,0.6904322465962848,1.8794614750644871,1.314365742973525,1.1547166150736723,0.8037035279440025,0.5820611025463932,0.6334020595414152,0.5572287749238397,1.4264862419387834,2.3950690043825595,1.9445132180463705,0.944816343959908,2.3950690043825595,2.3950690043825595,2.3950690043825595
