,Treebank,hu_szeged-ud-dev_Case=Ela,hu_szeged-ud-test_Case=Ela,hu_szeged-ud-train_Case=Ela,fi_ood-ud-test_Case=Ela,et_ewt-ud-train_Case=Ela,et_ewt-ud-test_Case=Ela,et_ewt-ud-dev_Case=Ela,egy_ujaen-ud-test_Case=Ela,olo_kkpp-ud-test_Case=Ela,olo_kkpp-ud-train_Case=Ela,mdf_jr-ud-test_Case=Ela,mdf_jr-ud-train_Case=Ela,vep_vwt-ud-test_Case=Ela,fi_tdt-ud-train_Case=Ela,fi_tdt-ud-test_Case=Ela,fi_tdt-ud-dev_Case=Ela,myv_jr-ud-test_Case=Ela,myv_jr-ud-train_Case=Ela,kpv_ikdp-ud-test_Case=Ela,kpv_lattice-ud-test_Case=Ela,kpv_lattice-ud-train_Case=Ela,fi_pud-ud-test_Case=Ela,et_edt-ud-dev_Case=Ela,et_edt-ud-train_Case=Ela,et_edt-ud-test_Case=Ela,wbp_ufal-ud-test_Case=Ela,koi_uh-ud-train_Case=Ela,koi_uh-ud-test_Case=Ela,krl_kkpp-ud-test_Case=Ela,fi_ftb-ud-dev_Case=Ela,fi_ftb-ud-train_Case=Ela,fi_ftb-ud-test_Case=Ela
0,es_gsd-ud-train_Case=Com,3.8760469496862893,3.8302235241429394,3.7610507368955615,3.261145684420621,3.4295454039284268,3.433805846601144,3.4156079423595083,4.743416490252569,3.6631089728451673,3.9370039370059056,17.306068299876777,4.743416490252569,3.553167600887974,3.162710552866095,3.2350825765880766,3.1703686993228395,3.365359413656056,3.1020730395748486,2.70801280154532,2.825908000324244,3.391164991562634,3.0095714996873775,3.329190010449907,3.3738180023917956,3.3120087310070154,3.9370039370059056,4.743416490252569,3.0,3.5722261966454476,4.743416490252569,4.743416490252569,4.743416490252569
1,fi_ood-ud-test_Case=Com,1.6470971875883882,1.5943778775204236,1.5048422723163597,1.0076262680048207,1.1210402189734714,1.0937070018726696,1.114291897625418,2.6457513110645907,1.385051387833237,1.7320508075688772,18.475208614068023,2.6457513110645907,1.2747548783981961,0.9843511174982009,1.0043545326943817,0.9673949939199493,1.10797327016366,1.0528871870107588,1.8708286933869707,1.4516809731887335,1.4142135623730951,1.1441829393320961,1.058579484335698,1.0967563082013339,1.0249306880700666,1.7320508075688772,2.6457513110645907,2.0,1.2250714264890843,2.6457513110645907,2.6457513110645907,2.6457513110645907
2,es_ancora-ud-train_Case=Com,8.299101837399258,8.247893979801198,8.169500642067465,7.5445014621736135,7.779418836595851,7.7824729142553215,7.76016372615743,9.219544457292887,8.054237909282277,8.366600265340756,14.422205101855956,9.219544457292887,7.929375763576853,7.392209784383287,7.50474703286818,7.4088193530064625,7.695947294998658,7.318860176674663,6.137317546507322,6.696051625969435,7.615773105863909,7.077673934574045,7.636088582296364,7.698591025628501,7.614207679793313,8.366600265340756,9.219544457292887,6.59545297913646,7.933523807237236,9.219544457292887,9.219544457292887,9.219544457292887
3,es_ancora-ud-test_Case=Com,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
4,es_ancora-ud-dev_Case=Com,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
5,sms_giellagas-ud-test_Case=Com,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
6,et_ewt-ud-train_Case=Com,8.854376480913189,8.800641024317574,8.72767497135656,8.137767369788758,8.362535644371441,8.353913592768285,8.340586430020023,9.727331990547098,8.610114052436748,8.918077077791608,14.74545336914835,9.727331990547098,8.500090776566832,7.988987742875531,8.098001750328992,8.001268005629713,8.279078801329558,7.938315984526819,6.802142001051518,7.362176211930305,8.212381498477967,7.692435894724544,8.219841215174252,8.281593636753284,8.197069051809875,8.918077077791608,9.727331990547098,7.267040425318266,8.488685861446458,9.727331990547098,9.727331990547098,9.727331990547098
7,et_ewt-ud-test_Case=Com,6.6268112022824,6.575284531660113,6.503247623754306,5.937465409029615,6.149779342617393,6.143463865685483,6.129872366306904,7.497106880006976,6.390899282245139,6.689698507085539,15.763227424705109,7.497106880006976,6.28958538359411,5.800557871752863,5.901457480406534,5.8122387345749305,6.069868799795923,5.748369719093475,4.781017331255252,5.242707257720604,6.024742373011233,5.536570711905712,6.014906233937921,6.072976740846602,5.9938995992036475,6.689698507085539,7.497106880006976,5.207273996952614,6.277387465214312,7.497106880006976,7.497106880006976,7.497106880006976
8,et_ewt-ud-dev_Case=Com,10.43059733113778,10.38141040044719,10.309360588196594,9.734731706483517,9.952161987934101,9.951051451278735,9.933634071752676,11.28188777357483,10.19805005299257,10.492815330201854,14.496888618401021,11.28188777357483,10.093724013604193,9.587596849663287,9.694551151838244,9.60212487051954,9.870491379257507,9.528492040543773,8.421244288815094,8.955399499423027,9.79374062204533,9.292763119417904,9.813598758871008,9.872963156773492,9.792899722262824,10.492815330201854,11.28188777357483,8.839945028062877,10.090858640332526,11.28188777357483,11.28188777357483,11.28188777357483
9,ml_ufal-ud-test_Case=Com,10.212443890981367,10.167836444356473,10.099635909410075,9.569492720907116,9.77124710019631,9.772303676404881,9.756152246053125,11.022703842524301,9.999489782902293,10.27131929208707,15.072049186048547,11.022703842524301,9.918417212438687,9.432279213228947,9.530632024023577,9.447239422829847,9.686363816370074,9.362997078164357,8.366600265340756,8.814105668132148,9.617692030835672,9.16187063611504,9.639625553204146,9.694377198453214,9.621486654247892,10.27131929208707,11.022703842524301,8.74642784226795,9.903575112049184,11.022703842524301,11.022703842524301,11.022703842524301
