,Treebank,hu_szeged-ud-dev_Case=Ela,hu_szeged-ud-test_Case=Ela,hu_szeged-ud-train_Case=Ela,fi_ood-ud-test_Case=Ela,et_ewt-ud-train_Case=Ela,et_ewt-ud-test_Case=Ela,et_ewt-ud-dev_Case=Ela,egy_ujaen-ud-test_Case=Ela,olo_kkpp-ud-test_Case=Ela,olo_kkpp-ud-train_Case=Ela,mdf_jr-ud-test_Case=Ela,mdf_jr-ud-train_Case=Ela,vep_vwt-ud-test_Case=Ela,fi_tdt-ud-train_Case=Ela,fi_tdt-ud-test_Case=Ela,fi_tdt-ud-dev_Case=Ela,myv_jr-ud-test_Case=Ela,myv_jr-ud-train_Case=Ela,kpv_ikdp-ud-test_Case=Ela,kpv_lattice-ud-test_Case=Ela,kpv_lattice-ud-train_Case=Ela,fi_pud-ud-test_Case=Ela,et_edt-ud-dev_Case=Ela,et_edt-ud-train_Case=Ela,et_edt-ud-test_Case=Ela,wbp_ufal-ud-test_Case=Ela,koi_uh-ud-train_Case=Ela,koi_uh-ud-test_Case=Ela,krl_kkpp-ud-test_Case=Ela,fi_ftb-ud-dev_Case=Ela,fi_ftb-ud-train_Case=Ela,fi_ftb-ud-test_Case=Ela
0,hu_szeged-ud-dev_Case=Ill,0.23313775768496559,0.18137649918298684,0.15366440995063935,0.8850987865735094,0.5311654576647512,0.5419977682468862,0.5770100575546886,1.278845324000557,0.2786076694321054,0.29998469504883835,19.568297668564487,1.278845324000557,0.4208468003736712,1.1430984263085935,0.9703205011285317,1.1071411928270114,0.6423892239313698,1.1935393884614784,2.9022963581613923,2.1556901249514464,1.2427937366309019,1.6722002733545371,0.7928579050879812,0.6946289497723023,0.81512545449587,0.29998469504883835,1.278845324000557,2.6881879498329693,0.4095857837294179,1.278845324000557,1.278845324000557,1.278845324000557
1,hu_szeged-ud-test_Case=Ill,0.33446384490595743,0.27907249687980257,0.21676228642758497,0.8368360212367426,0.49582440662785154,0.5139172792576755,0.543835209307604,1.3689738821885769,0.31327368354414875,0.4054775835476301,19.49449614154454,1.3689738821885769,0.4296200194150711,1.0902339521464208,0.9207536454029006,1.0553169389153458,0.5966269414189985,1.1327496405556619,2.834674551460028,2.089276562329682,1.2061238126348335,1.6141065047826098,0.7484834078657623,0.6532837954160666,0.7706667529950424,0.4054775835476301,1.3689738821885769,2.624922574548158,0.41665233412741004,1.3689738821885769,1.3689738821885769,1.3689738821885769
2,hu_szeged-ud-train_Case=Ill,0.1089675340320344,0.06771194899933834,0.109612915213755,0.9719553966871839,0.6124273930235001,0.625309482836671,0.658578986743067,1.1689791895833785,0.3260494809785153,0.18215107011950007,19.664214379437936,1.1689791895833785,0.4843221048378526,1.2301811963434999,1.0559035056767925,1.195276193443629,0.7299606861141534,1.283164972121283,3.003213299693645,2.2486601735655354,1.3037813003001484,1.7604121996907016,0.8751429876609126,0.7754901210045464,0.8989292739728587,0.18215107011950007,1.1689791895833785,2.774859578251185,0.4802558474525278,1.1689791895833785,1.1689791895833785,1.1689791895833785
3,fi_ood-ud-test_Case=Ill,0.8344642945477603,0.7771285712972666,0.6966314717319392,0.46390804263477364,0.33388789348828046,0.3573082882356005,0.3668626399001607,1.8756033695853715,0.5552074809823582,0.910981887855077,19.05019390977425,1.8756033695853715,0.5374830229877033,0.6707880131859849,0.5370845160156359,0.6322722701357745,0.4438718048737279,0.8094103674015691,2.362037538510625,1.6818171396324366,1.0685915964483343,1.1677852273516423,0.42291493385842144,0.38700163266791254,0.43281158753288373,0.910981887855077,1.8756033695853715,2.260506138014228,0.5064069509791508,1.8756033695853715,1.8756033695853715,1.8756033695853715
4,sms_giellagas-ud-test_Case=Ill,5.107605817478115,5.050527264432697,4.964068423041928,4.282824077537265,4.538493235323712,4.541217135659554,4.5209708357067715,6.117168714889247,4.832596967390468,5.1830683509736,14.776524591809324,6.117168714889247,4.727611304028209,4.11150593302339,4.236765570886875,4.128546628262413,4.3778849199511205,3.8327834894363573,2.421610524189263,2.906208811021132,4.024615616949963,3.783608138585582,4.3735581123285066,4.443868123051426,4.350223006464351,5.1830683509736,6.117168714889247,2.892092241071193,4.708443689299962,6.117168714889247,6.117168714889247,6.117168714889247
5,sms_giellagas-ud-train_Case=Ill,0.10112587531821468,0.16659862556700852,0.27216552697590873,1.1201926861291118,0.763760760418742,0.7754788325534144,0.8063799251291472,1.0,0.45175395145262554,0.0,19.8158185969358,1.0,0.6123724356957945,1.3773675690615153,1.202592211576206,1.3433656817130493,0.8812629433036954,1.4322808982279183,3.1622776601683795,2.3991720022888807,1.4142135623730951,1.9068172393492644,1.02044433321392,0.9208940422971585,1.04559825370004,0.0,1.0,2.9154759474226504,0.6170899448216606,1.0,1.0,1.0
6,et_ewt-ud-train_Case=Ill,5.612523795150843,5.552594740337294,5.469447106583476,4.784843243486472,5.039486793078273,5.032283740636892,5.019012862388896,6.5912452584836325,5.333193117600553,5.685122712147314,15.533263410165212,6.5912452584836325,5.196241909946697,4.618223033383034,4.736047959075945,4.630934844864742,4.958782406465686,4.579028021599171,3.310255034550382,3.950193962530522,4.919016817095007,4.293858949059588,4.878952596005971,4.952247539534084,4.857209242520352,5.685122712147314,6.5912452584836325,3.9383861845810517,5.199438778849607,6.5912452584836325,6.5912452584836325,6.5912452584836325
7,et_ewt-ud-test_Case=Ill,4.383973202159597,4.3221536581775934,4.235177451102615,3.513942874935313,3.782898768371685,3.772940201562436,3.75784815781581,5.397629109155241,4.094526627013155,4.46031389029965,16.220184955788884,5.397629109155241,3.9534035969022945,3.340397785502826,3.463019351280577,3.3540722391704083,3.7058042527303057,3.3213766508998726,2.0593850214728344,2.7026802161226717,3.6951860575619193,3.007598061897003,3.614074963145402,3.690007391668789,3.588987163712588,4.46031389029965,5.397629109155241,2.7918452679186934,3.95170849127311,5.397629109155241,5.397629109155241,5.397629109155241
8,et_ewt-ud-dev_Case=Ill,10.750556140973503,10.688349089004593,10.600821904177606,9.866657779723447,10.140985990845904,10.134958028090077,10.11799706823731,11.756269669551216,10.457077321717138,10.826351026232702,12.087132225308812,11.756269669551216,10.297053995568554,9.672449168679409,9.807470954073638,9.687626317875111,10.057005700681898,9.629041903106524,8.054597644195304,8.855809522524531,9.960415480451097,9.282256203860031,9.96946052262594,10.047747351703594,9.942947817946623,10.826351026232702,11.756269669551216,8.701142255084092,10.315016501785093,11.756269669551216,11.756269669551216,11.756269669551216
9,egy_ujaen-ud-test_Case=Ill,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
10,si_stb-ud-test_Case=Ill,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
