,Treebank,hu_szeged-ud-dev_Case=Ela,hu_szeged-ud-test_Case=Ela,hu_szeged-ud-train_Case=Ela,fi_ood-ud-test_Case=Ela,et_ewt-ud-train_Case=Ela,et_ewt-ud-test_Case=Ela,et_ewt-ud-dev_Case=Ela,egy_ujaen-ud-test_Case=Ela,olo_kkpp-ud-test_Case=Ela,olo_kkpp-ud-train_Case=Ela,mdf_jr-ud-test_Case=Ela,mdf_jr-ud-train_Case=Ela,vep_vwt-ud-test_Case=Ela,fi_tdt-ud-train_Case=Ela,fi_tdt-ud-test_Case=Ela,fi_tdt-ud-dev_Case=Ela,myv_jr-ud-test_Case=Ela,myv_jr-ud-train_Case=Ela,kpv_ikdp-ud-test_Case=Ela,kpv_lattice-ud-test_Case=Ela,kpv_lattice-ud-train_Case=Ela,fi_pud-ud-test_Case=Ela,et_edt-ud-dev_Case=Ela,et_edt-ud-train_Case=Ela,et_edt-ud-test_Case=Ela,wbp_ufal-ud-test_Case=Ela,koi_uh-ud-train_Case=Ela,koi_uh-ud-test_Case=Ela,krl_kkpp-ud-test_Case=Ela,fi_ftb-ud-dev_Case=Ela,fi_ftb-ud-train_Case=Ela,fi_ftb-ud-test_Case=Ela
0,el_gud-ud-train_Case=Voc,11.289050397402399,11.232569262857805,11.153095282993611,10.351667849329381,10.684446853872663,10.669980967954912,10.634767381446874,12.220201853215572,11.009993399113645,11.357816691600545,13.148721948877347,12.220201853215572,10.918256881633319,10.129047290128508,10.275673077419814,10.162961067497998,10.66033008152823,10.26640383089656,8.800252521629389,9.514294091646136,10.567244989431572,9.659102512784056,10.45011911423207,10.534931251091223,10.42433927314888,11.357816691600545,12.220201853215572,9.442810316143529,10.884582368347134,12.220201853215572,12.220201853215572,12.220201853215572
1,el_gud-ud-test_Case=Voc,13.443453524257638,13.393464748121888,13.316755567178474,12.593377426542515,12.886809631778045,12.883014285287073,12.848569276562236,14.33527118683145,13.190519167885975,13.509256086106296,13.360389215887388,14.33527118683145,13.100572506573902,12.394032053526828,12.52657088062586,12.424673221375755,12.848367442748037,12.465724435999928,11.135528725660043,11.766274494747945,12.747548783981962,11.977593638536101,12.683502273065027,12.758783190842895,12.661071643727478,13.509256086106296,14.33527118683145,11.661903789690601,13.082843727569324,14.33527118683145,14.33527118683145,14.33527118683145
2,fa_seraji-ud-dev_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
3,fa_seraji-ud-test_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
4,fa_seraji-ud-train_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
5,sga_dipsgg-ud-test_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
6,pl_pdb-ud-test_Case=Voc,5.398133553182301,5.355447350738369,5.290788355341087,4.816976367528375,4.988375194933345,4.990317373685905,4.9764241809833605,6.202369527454974,5.1981158281886435,5.454823740581938,16.839377240573363,6.202369527454974,5.125715480171863,4.708964145685511,4.786909202295069,4.719604381970751,4.917192821070374,4.654863596502137,4.075812176482031,4.315448696178913,4.9031435147801465,4.5202954363424706,4.877744322850555,4.923710672264326,4.861887806041207,5.454823740581938,6.202369527454974,4.355386062693184,5.111210567897565,6.202369527454974,6.202369527454974,6.202369527454974
7,pl_pdb-ud-train_Case=Voc,5.615383772116484,5.5687644615843785,5.4982769732191095,4.957123071501795,5.1557577817893465,5.162904719785774,5.144172407535455,6.473643321286683,5.3839203521552585,5.6768159798800495,16.381776561343557,6.473643321286683,5.31497572357097,4.824937727800051,4.922541676857759,4.8374034369146734,5.084246882474565,4.781974344395884,4.018766240236412,4.35573621287611,5.0541489380115525,4.59048258188918,5.0228891725105,5.078084805410436,5.006507090593194,5.6768159798800495,6.473643321286683,4.361386730717196,5.298862968631155,6.473643321286683,6.473643321286683,6.473643321286683
8,pl_pdb-ud-dev_Case=Voc,3.4826146529636683,3.4387349358715733,3.372829499986448,2.9153084349385097,3.069579840653329,3.075485132308194,3.061191556394603,4.328972164382673,3.2749097718266134,3.5411862419251547,17.650495743746124,4.328972164382673,3.211697370550345,2.8284407376439185,2.893064426753015,2.834949566943309,3.0057064783614225,2.7851647809677,2.6343879744638983,2.62911439705142,3.056141357987225,2.7175544725132807,2.969276133140106,3.010759656222644,2.9554402479989212,3.5411862419251547,4.328972164382673,2.835489375751565,3.1963729444481284,4.328972164382673,4.328972164382673,4.328972164382673
9,uk_iu-ud-dev_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
10,uk_iu-ud-train_Case=Voc,40.94042421068408,40.889038499184046,40.80541643681645,40.12794335176027,40.38535959841258,40.39340576738614,40.367728130154944,41.86884283091664,40.667224262933175,41.012193308819754,28.404811798942326,41.86884283091664,40.56014053230092,39.94066141068451,40.07823084172184,39.96049086847942,40.31009892515314,39.89675962495486,38.4686019155016,39.15871135450215,40.17461885320133,39.56159263875759,40.214948388635484,40.28831660383399,40.19263620911013,41.012193308819754,41.86884283091664,38.92942331964346,40.5628006922599,41.86884283091664,41.86884283091664,41.86884283091664
11,uk_iu-ud-test_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
12,sa_vedic-ud-test_Case=Voc,346.2301366486458,346.17728618352146,346.098358958944,345.44895336728445,345.702959478874,345.69973714767485,345.6793914112224,347.1296587732025,345.97552113479037,346.2975599105486,331.49761185665676,347.1296587732025,345.87118266776724,345.26861983779213,345.3983334181382,345.2884611067046,345.61072990342075,345.2050239660897,343.7901491704884,344.4759817058985,345.4677987888307,344.8940568664357,345.5352612313359,345.60636882120025,345.5132864500959,346.2975599105486,347.1296587732025,344.224490703378,345.8570525520623,347.1296587732025,347.1296587732025,347.1296587732025
13,sa_vedic-ud-train_Case=Voc,158.32691460548492,158.27379229337475,158.19443440845663,157.54052305822574,157.79715325672592,157.79492692774963,157.7744547320052,159.23164714190312,158.06927744030324,158.3946821905975,143.8534765470805,159.23164714190312,157.96914365236137,157.35931195166825,157.49039766659575,157.37921403489727,157.70475661034874,157.29829095937944,155.88164058854454,156.56914566862113,157.56279142296646,156.98346463201057,157.62753312690563,157.69901027440588,157.60543420007397,158.3946821905975,159.23164714190312,156.31784953453808,157.952122456033,159.23164714190312,159.23164714190312,159.23164714190312
14,sa_vedic-ud-dev_Case=Voc,414.21284443714796,414.160043993643,414.08140190958517,413.43288673936195,413.68761392668955,413.68436825656534,413.66482293331956,415.10841957252563,413.95803132767,414.28009848410534,399.523883307786,415.10841957252563,413.85610421981215,413.25321312138374,413.38296708745435,413.27287022600325,413.5959145663118,413.19258048932653,411.78068596442614,412.46670538762714,413.4537459015216,412.8794812258702,413.51999413832635,413.59076455048944,413.49764810385545,414.28009848410534,415.10841957252563,412.21535633695163,413.83965590552094,415.10841957252563,415.10841957252563,415.10841957252563
15,kmr_mg-ud-test_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
16,hr_set-ud-dev_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
17,hr_set-ud-train_Case=Voc,33.06193139433539,33.00951007061512,32.9233517422982,32.21183225219079,32.48341971049817,32.500896356430886,32.47041219230963,34.0147027033899,32.75906687598159,33.13608305156178,20.960279896349984,34.0147027033899,32.693653818440055,32.00918217201186,32.16220088127278,32.029880247042335,32.41659216982334,31.997232023143145,30.54504869860253,31.2509342446179,32.28002478313795,31.61453920649772,32.29139825505152,32.372273940431185,32.27204932445463,33.13608305156178,34.0147027033899,31.008063467427306,32.67263074807414,34.0147027033899,34.0147027033899,34.0147027033899
18,hr_set-ud-test_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
19,orv_rnc-ud-dev_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
20,orv_rnc-ud-train_Case=Voc,58.893332736881796,58.84806217513629,58.77938306086474,58.22320377994124,58.44098529797321,58.44019626792445,58.42323086322451,59.679700624807644,58.67571049648716,58.95195784139262,48.2769786406178,59.679700624807644,58.58647454831191,58.07015437863311,58.17975359201294,58.08723961954773,58.35852809012432,58.01013047817801,56.81940200710004,57.39329456069586,58.240879114244144,57.752701357389185,58.29854853276915,58.35812125995481,58.27898525673716,58.95195784139262,59.679700624807644,57.18828551373087,58.57400561113549,59.679700624807644,59.679700624807644,59.679700624807644
21,orv_rnc-ud-test_Case=Voc,11.436668597315437,11.391533734152155,11.324605649721015,10.798350918184719,10.999827693515668,10.998337891938748,10.983662412032734,12.232129822725067,11.22372214443632,11.49456393257265,15.087246269614612,12.232129822725067,11.141139977578597,10.661599912678282,10.760030635520689,10.675795885091834,10.921271601551174,10.606163975995953,9.611191393370543,10.085577035271935,10.845505981741931,10.389922736379694,10.868491484502224,10.923427509197053,10.849961017741904,11.49456393257265,12.232129822725067,9.968701018688442,11.12500786516576,12.232129822725067,12.232129822725067,12.232129822725067
22,cpg_tuecl-ud-test_Case=Voc,24.508342969105595,24.458110795265227,24.37949524415525,23.72314831100193,23.976085810000676,23.98019272820399,23.956159133125,25.39685019840059,24.245064018304856,24.576411454889016,16.53279569018299,25.39685019840059,24.153157143528876,23.54125527720276,23.67292051115248,23.56110987035904,23.908980937574054,23.52311932667823,22.181073012818835,22.832511772998924,23.790754506740637,23.17570012248359,23.804894878830606,23.876332436505326,23.78353083062319,24.576411454889016,25.39685019840059,22.638462845343543,24.14251022574082,25.39685019840059,25.39685019840059,25.39685019840059
23,la_circse-ud-test_Case=Voc,52.140587425472006,52.083533115263094,52.00208583525214,51.300680518624866,51.572513837056086,51.5778698161921,51.55483628759768,53.06913729592119,51.84008639868504,52.21110992882645,38.738439135652676,53.06913729592119,51.75865467082132,51.100637738908446,51.24877670192734,51.11822676869985,51.5005440373201,51.09308964550695,49.617425254530175,50.34904464403309,51.36795369358864,50.70835707295934,51.38361361601495,51.46307234470782,51.36180942977314,52.21110992882645,53.06913729592119,50.11154224993147,51.73658409030628,53.06913729592119,53.06913729592119,53.06913729592119
24,grc_perseus-ud-dev_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
25,grc_perseus-ud-train_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
26,grc_perseus-ud-test_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
27,qpm_philotis-ud-train_Case=Voc,88.39016369061362,88.34008496851754,88.26625185727112,87.64256330978884,87.88943638156323,87.88529743563922,87.8653951674861,89.23564310296643,88.1498415076461,88.45337754998393,75.67914728201775,89.23564310296643,88.05041169693644,87.47012519368646,87.59223340586392,87.490007794799,87.80968813438294,87.43157324445214,86.10265191425097,86.74550739562017,87.68124086713189,87.11003861669029,87.72613673374647,87.79327777116208,87.70427139914047,88.45337754998393,89.23564310296643,86.53034149938391,88.034429628413,89.23564310296643,89.23564310296643,89.23564310296643
28,qpm_philotis-ud-dev_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
29,qpm_philotis-ud-test_Case=Voc,1.0827689526491961,1.146066921150376,1.2450962012087863,2.068522117325686,1.731320857985841,1.7364217584408124,1.7642602345031582,0.0,1.4021363680319483,1.0,20.728402414722332,0.0,1.541103500742244,2.3139522010695543,2.1435170928508476,2.2829522933712147,1.8503197558178164,2.383275057562597,4.123105625617661,3.336825538583822,2.23606797749979,2.8276189821937745,1.96396624581025,1.8700246112386445,1.9906393640009086,1.0,0.0,3.8078865529319543,1.555892027102138,0.0,0.0,0.0
