,Treebank,ess_sli-ud-test_Case=Equ,gub_tudet-ud-test_Case=Equ,egy_ujaen-ud-test_Case=Equ,ky_ktmu-ud-test_Case=Equ,tt_nmctt-ud-test_Case=Equ,tr_gb-ud-test_Case=Equ,ota_boun-ud-train_Case=Equ,ota_boun-ud-test_Case=Equ,qtd_sagt-ud-test_Case=Equ,qtd_sagt-ud-dev_Case=Equ,qtd_sagt-ud-train_Case=Equ,tr_imst-ud-train_Case=Equ,tr_imst-ud-dev_Case=Equ,tr_imst-ud-test_Case=Equ,tr_boun-ud-dev_Case=Equ,tr_boun-ud-test_Case=Equ,tr_boun-ud-train_Case=Equ
0,hu_szeged-ud-dev_Case=All,0.3201992971410781,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549
1,hu_szeged-ud-test_Case=All,0.2525381361380526,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335
2,hu_szeged-ud-train_Case=All,0.2554424522554568,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195
3,fi_ood-ud-test_Case=All,0.5188594036020282,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106
4,ess_sli-ud-test_Case=All,40.66939881532551,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132
5,hit_hittb-ud-test_Case=All,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,et_ewt-ud-train_Case=All,0.4135739305083116,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315
7,et_ewt-ud-test_Case=All,0.48805270012001417,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496
8,et_ewt-ud-dev_Case=All,0.41099049492265494,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074
9,ml_ufal-ud-test_Case=All,3.7416573867739413,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584
10,egy_ujaen-ud-test_Case=All,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
