,Treebank,hi_pud-ud-test_Case=Erg,ess_sli-ud-test_Case=Erg,mr_ufal-ud-dev_Case=Erg,mr_ufal-ud-test_Case=Erg,mr_ufal-ud-train_Case=Erg,wbp_ufal-ud-test_Case=Erg,ka_glc-ud-test_Case=Erg,eu_bdt-ud-train_Case=Erg,eu_bdt-ud-test_Case=Erg,eu_bdt-ud-dev_Case=Erg,gu_gujtb-ud-test_Case=Erg
0,hu_szeged-ud-dev_Case=Abs,0.31491832864888675,1.2824305436059895,1.2824305436059895,1.2824305436059895,1.2824305436059895,1.2824305436059895,1.2824305436059895,1.2824305436059895,1.2824305436059895,1.2824305436059895,1.2824305436059895
1,hu_szeged-ud-test_Case=Abs,0.1087856586440842,1.0796668344321692,1.0796668344321692,1.0796668344321692,1.0796668344321692,1.0796668344321692,1.0796668344321692,1.0796668344321692,1.0796668344321692,1.0796668344321692,1.0796668344321692
2,hu_szeged-ud-train_Case=Abs,0.16317848796612638,1.1213369028548654,1.1213369028548654,1.1213369028548654,1.1213369028548654,1.1213369028548654,1.1213369028548654,1.1213369028548654,1.1213369028548654,1.1213369028548654,1.1213369028548654
3,ess_sli-ud-test_Case=Abs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,hit_hittb-ud-test_Case=Abs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,mr_ufal-ud-dev_Case=Abs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,mr_ufal-ud-test_Case=Abs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,mr_ufal-ud-train_Case=Abs,86.27861844049197,87.14929718592113,87.14929718592113,87.14929718592113,87.14929718592113,87.14929718592113,87.14929718592113,87.14929718592113,87.14929718592113,87.14929718592113,87.14929718592113
8,wbp_ufal-ud-test_Case=Abs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,nhi_itml-ud-test_Case=Abs,20.811914915959456,21.703103265616754,21.703103265616754,21.703103265616754,21.703103265616754,21.703103265616754,21.703103265616754,21.703103265616754,21.703103265616754,21.703103265616754,21.703103265616754
10,azz_itml-ud-test_Case=Abs,6.669999167083074,7.607222967012422,7.607222967012422,7.607222967012422,7.607222967012422,7.607222967012422,7.607222967012422,7.607222967012422,7.607222967012422,7.607222967012422,7.607222967012422
11,eu_bdt-ud-train_Case=Abs,39.805698165950666,40.741182744764195,40.741182744764195,40.741182744764195,40.741182744764195,40.741182744764195,40.741182744764195,40.741182744764195,40.741182744764195,40.741182744764195,40.741182744764195
12,eu_bdt-ud-test_Case=Abs,39.7164186927589,40.65127036035156,40.65127036035156,40.65127036035156,40.65127036035156,40.65127036035156,40.65127036035156,40.65127036035156,40.65127036035156,40.65127036035156,40.65127036035156
13,eu_bdt-ud-dev_Case=Abs,31.107078923747277,32.04328476137671,32.04328476137671,32.04328476137671,32.04328476137671,32.04328476137671,32.04328476137671,32.04328476137671,32.04328476137671,32.04328476137671,32.04328476137671
14,gu_gujtb-ud-test_Case=Abs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
