,Treebank,hu_szeged-ud-dev_Case=Ess,hu_szeged-ud-test_Case=Ess,hu_szeged-ud-train_Case=Ess,fi_ood-ud-test_Case=Ess,sms_giellagas-ud-test_Case=Ess,et_ewt-ud-train_Case=Ess,et_ewt-ud-test_Case=Ess,et_ewt-ud-dev_Case=Ess,egy_ujaen-ud-test_Case=Ess,olo_kkpp-ud-test_Case=Ess,olo_kkpp-ud-train_Case=Ess,vep_vwt-ud-test_Case=Ess,fi_tdt-ud-train_Case=Ess,fi_tdt-ud-test_Case=Ess,fi_tdt-ud-dev_Case=Ess,fi_pud-ud-test_Case=Ess,et_edt-ud-dev_Case=Ess,et_edt-ud-train_Case=Ess,et_edt-ud-test_Case=Ess,sme_giella-ud-train_Case=Ess,sme_giella-ud-test_Case=Ess,ka_glc-ud-test_Case=Ess,krl_kkpp-ud-test_Case=Ess,eu_bdt-ud-train_Case=Ess,eu_bdt-ud-test_Case=Ess,eu_bdt-ud-dev_Case=Ess,fi_ftb-ud-dev_Case=Ess,fi_ftb-ud-train_Case=Ess,fi_ftb-ud-test_Case=Ess,ab_abnc-ud-test_Case=Ess
0,fi_ood-ud-test_Case=Abe,4.819767497520885,5.09599406941919,5.303376960543098,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975,6.6248689714505975
1,sms_giellagas-ud-test_Case=Abe,1.6547190813232433,1.0647065323364933,0.6810352803144473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,sms_giellagas-ud-train_Case=Abe,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,et_ewt-ud-train_Case=Abe,3.0099984556387804,3.222426234842664,3.405485153062559,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249,4.723895928549249
4,et_ewt-ud-test_Case=Abe,8.827716093564145,9.146963066140223,9.365228589416523,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319,10.661457061146319
5,et_ewt-ud-dev_Case=Abe,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,gub_tudet-ud-test_Case=Abe,1.503963018795596,1.2383860464330176,1.1923893014910394,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
7,olo_kkpp-ud-test_Case=Abe,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,olo_kkpp-ud-train_Case=Abe,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,mdf_jr-ud-test_Case=Abe,1.3972762620115438,0.8908422980528035,0.6526821025449968,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898,1.5811388300841898
