,Treebank,hu_szeged-ud-dev_Case=Ess,hu_szeged-ud-test_Case=Ess,hu_szeged-ud-train_Case=Ess,fi_ood-ud-test_Case=Ess,sms_giellagas-ud-test_Case=Ess,et_ewt-ud-train_Case=Ess,et_ewt-ud-test_Case=Ess,et_ewt-ud-dev_Case=Ess,egy_ujaen-ud-test_Case=Ess,olo_kkpp-ud-test_Case=Ess,olo_kkpp-ud-train_Case=Ess,vep_vwt-ud-test_Case=Ess,fi_tdt-ud-train_Case=Ess,fi_tdt-ud-test_Case=Ess,fi_tdt-ud-dev_Case=Ess,fi_pud-ud-test_Case=Ess,et_edt-ud-dev_Case=Ess,et_edt-ud-train_Case=Ess,et_edt-ud-test_Case=Ess,sme_giella-ud-train_Case=Ess,sme_giella-ud-test_Case=Ess,ka_glc-ud-test_Case=Ess,krl_kkpp-ud-test_Case=Ess,eu_bdt-ud-train_Case=Ess,eu_bdt-ud-test_Case=Ess,eu_bdt-ud-dev_Case=Ess,fi_ftb-ud-dev_Case=Ess,fi_ftb-ud-train_Case=Ess,fi_ftb-ud-test_Case=Ess,ab_abnc-ud-test_Case=Ess
0,hu_szeged-ud-dev_Case=Tra,1.3512560294566154,0.8199695116283288,0.5293846698415341,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863
1,hu_szeged-ud-test_Case=Tra,1.537236233665873,0.9532051195833979,0.5760262597421489,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574
2,hu_szeged-ud-train_Case=Tra,1.569507050303496,0.9810198774744576,0.6009717432843703,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513
3,fi_ood-ud-test_Case=Tra,1.8181199834032316,1.9296785880120306,2.083747892144163,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358
4,et_ewt-ud-train_Case=Tra,2.49074477291623,2.6462002022152595,2.806599780934913,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705
5,et_ewt-ud-test_Case=Tra,2.462300787894937,2.623778238513682,2.7913330409447656,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949
6,et_ewt-ud-dev_Case=Tra,3.701823472804926,3.914816406934047,4.0888386609219225,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434
7,gub_tudet-ud-test_Case=Tra,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,olo_kkpp-ud-test_Case=Tra,1.2790834303393612,0.8846352874697768,0.7641054064987769,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669
9,mdf_jr-ud-test_Case=Tra,2.3682548326522954,2.5099501987091295,2.6671626369654655,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033
