,Treebank,hu_szeged-ud-dev_Case=Ill,hu_szeged-ud-test_Case=Ill,hu_szeged-ud-train_Case=Ill,fi_ood-ud-test_Case=Ill,sms_giellagas-ud-test_Case=Ill,sms_giellagas-ud-train_Case=Ill,et_ewt-ud-train_Case=Ill,et_ewt-ud-test_Case=Ill,et_ewt-ud-dev_Case=Ill,egy_ujaen-ud-test_Case=Ill,si_stb-ud-test_Case=Ill,lt_alksnis-ud-test_Case=Ill,lt_alksnis-ud-dev_Case=Ill,lt_alksnis-ud-train_Case=Ill,olo_kkpp-ud-test_Case=Ill,olo_kkpp-ud-train_Case=Ill,mdf_jr-ud-test_Case=Ill,mdf_jr-ud-train_Case=Ill,vep_vwt-ud-test_Case=Ill,fi_tdt-ud-train_Case=Ill,fi_tdt-ud-test_Case=Ill,fi_tdt-ud-dev_Case=Ill,myv_jr-ud-test_Case=Ill,myv_jr-ud-train_Case=Ill,kpv_ikdp-ud-test_Case=Ill,kpv_lattice-ud-test_Case=Ill,kpv_lattice-ud-train_Case=Ill,fi_pud-ud-test_Case=Ill,et_edt-ud-dev_Case=Ill,et_edt-ud-train_Case=Ill,et_edt-ud-test_Case=Ill,koi_uh-ud-train_Case=Ill,koi_uh-ud-test_Case=Ill,sme_giella-ud-train_Case=Ill,sme_giella-ud-test_Case=Ill,krl_kkpp-ud-test_Case=Ill,fi_ftb-ud-dev_Case=Ill,fi_ftb-ud-train_Case=Ill,fi_ftb-ud-test_Case=Ill
0,hu_szeged-ud-dev_Case=Abs,0.18680042433239324,0.22900202938832415,0.17703803279122327,0.6840837994194127,4.931217541147274,0.31491832864888675,5.445983093894948,4.212635852580458,10.576129000838796,1.2824305436059895,1.2824305436059895,0.31491832864888675,0.31491832864888675,0.31491832864888675,0.6608484107836738,1.2824305436059895,7.5749867032041065,1.2824305436059895,0.4968911615698966,0.760737266656667,0.7651985606215603,0.7073592730015539,0.5217830241620082,0.346674333738744,1.140078775491005,8.30853100544108,1.2824305436059895,0.784533270196253,3.2619313333227766,3.1957437014824306,4.219068855413538,1.2824305436059895,30.12261444208398,0.21872565356327028,0.2031948901346156,0.23418228523979054,1.2824305436059895,1.2824305436059895,1.2824305436059895
1,hu_szeged-ud-test_Case=Abs,0.24467753234028214,0.34879194309308464,0.13918443243150655,0.840072806086846,5.112825942211224,0.1087856586440842,5.615691800188888,4.388630819899617,10.750050753583299,1.0796668344321692,1.0796668344321692,0.1087856586440842,0.1087856586440842,0.1087856586440842,0.8158924398306319,1.0796668344321692,7.745023693432727,1.0796668344321692,0.6281135464380108,0.9198101545540788,0.9260998071149288,0.8636294348402035,0.6742034540464734,0.4723689703352697,1.3020845069028242,8.480322912820705,1.0796668344321692,0.9464056881482831,3.4288218812127336,3.3636059717754865,4.387998281251248,1.0796668344321692,30.296171179963988,0.13684453298005575,0.18232261900999988,0.3216787908813474,1.0796668344321692,1.0796668344321692,1.0796668344321692
2,hu_szeged-ud-train_Case=Abs,0.21607398332142125,0.33038376717861323,0.13468320093435407,0.7980118490615309,5.0756890784989945,0.16317848796612638,5.571009916293974,4.340625210604448,10.707322735978458,1.1213369028548654,1.1213369028548654,0.16317848796612638,0.16317848796612638,0.16317848796612638,0.7749785261388417,1.1213369028548654,7.711766254068937,1.1213369028548654,0.5831712933576633,0.8800867308305393,0.8825486623091114,0.8205319381566706,0.6438075921981581,0.4460068309712655,1.26489547088613,8.444837771664742,1.1213369028548654,0.9063593018428678,3.388544688079858,3.322388525174441,4.345120540417748,1.1213369028548654,30.26211919195623,0.14095640335809104,0.11150638518694532,0.2567483525959655,1.1213369028548654,1.1213369028548654,1.1213369028548654
3,ess_sli-ud-test_Case=Abs,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
4,hit_hittb-ud-test_Case=Abs,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
5,mr_ufal-ud-dev_Case=Abs,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
6,mr_ufal-ud-test_Case=Abs,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
7,mr_ufal-ud-train_Case=Abs,86.04138709857929,85.97056825227541,86.13058471563275,85.51036129031382,81.75422366104246,86.27861844049197,81.9076876295415,82.68478941135425,77.72950883165207,87.14929718592113,87.14929718592113,86.27861844049197,86.27861844049197,86.27861844049197,85.53457033207971,87.14929718592113,79.74980407499444,87.14929718592113,85.74832359877364,85.42525670753508,85.42373656037668,85.47493975874615,85.63757670834276,85.8221473975789,85.01729235867253,78.40506738621386,87.14929718592113,85.40349083964354,83.56504520459107,83.60209294639697,82.82437210684611,87.14929718592113,60.09991680526688,86.13825834254966,86.09289426069326,85.95011832165312,87.14929718592113,87.14929718592113,87.14929718592113
8,wbp_ufal-ud-test_Case=Abs,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
9,nhi_itml-ud-test_Case=Abs,20.56983347474294,20.498951792121897,20.663922308825715,20.050644805985726,16.715853346043083,20.811914915959456,16.632093400488337,17.27217358200506,13.312947378444585,21.703103265616754,21.703103265616754,20.811914915959456,20.811914915959456,20.811914915959456,20.09176115334265,21.703103265616754,15.423659575190253,21.703103265616754,20.262985472208026,19.95881507844017,19.95565867999551,20.01149705164106,20.204161074496625,20.379635056964155,19.721154900696966,15.013694722702517,21.703103265616754,19.937180808893686,18.138136632628644,18.172391817161976,17.420743292997468,21.703103265616754,18.559879735668257,20.669079942754053,20.62256746210766,20.49646160369162,21.703103265616754,21.703103265616754,21.703103265616754
