,Treebank,hu_szeged-ud-dev_Case=Ill,hu_szeged-ud-test_Case=Ill,hu_szeged-ud-train_Case=Ill,fi_ood-ud-test_Case=Ill,sms_giellagas-ud-test_Case=Ill,sms_giellagas-ud-train_Case=Ill,et_ewt-ud-train_Case=Ill,et_ewt-ud-test_Case=Ill,et_ewt-ud-dev_Case=Ill,egy_ujaen-ud-test_Case=Ill,si_stb-ud-test_Case=Ill,lt_alksnis-ud-test_Case=Ill,lt_alksnis-ud-dev_Case=Ill,lt_alksnis-ud-train_Case=Ill,olo_kkpp-ud-test_Case=Ill,olo_kkpp-ud-train_Case=Ill,mdf_jr-ud-test_Case=Ill,mdf_jr-ud-train_Case=Ill,vep_vwt-ud-test_Case=Ill,fi_tdt-ud-train_Case=Ill,fi_tdt-ud-test_Case=Ill,fi_tdt-ud-dev_Case=Ill,myv_jr-ud-test_Case=Ill,myv_jr-ud-train_Case=Ill,kpv_ikdp-ud-test_Case=Ill,kpv_lattice-ud-test_Case=Ill,kpv_lattice-ud-train_Case=Ill,fi_pud-ud-test_Case=Ill,et_edt-ud-dev_Case=Ill,et_edt-ud-train_Case=Ill,et_edt-ud-test_Case=Ill,koi_uh-ud-train_Case=Ill,koi_uh-ud-test_Case=Ill,sme_giella-ud-train_Case=Ill,sme_giella-ud-test_Case=Ill,krl_kkpp-ud-test_Case=Ill,fi_ftb-ud-dev_Case=Ill,fi_ftb-ud-train_Case=Ill,fi_ftb-ud-test_Case=Ill
0,es_gsd-ud-train_Case=Com,3.7354554181384505,3.6790460465581445,3.812240681324525,3.3511025051466268,3.685976092310749,3.9370039370059056,4.0991366331373955,3.192867050160404,8.415520640716235,4.743416490252569,4.743416490252569,3.9370039370059056,3.9370039370059056,3.9370039370059056,3.375424584294598,4.743416490252569,5.939802185258361,4.743416490252569,3.5106979363083917,3.300693222578355,3.299097896925922,3.334200759632272,3.452172547391451,3.586574848379325,3.152776554086889,6.562688286900454,4.743416490252569,3.292500770321587,2.9475767363683762,2.9198747042361175,3.3043582687122424,4.743416490252569,27.847800631288642,3.8259220828749467,3.7865131522724824,3.6826252042614556,4.743416490252569,4.743416490252569,4.743416490252569
1,fi_ood-ud-test_Case=Com,1.4971659790346212,1.4491017706591098,1.5828459288787085,1.0610786964217123,3.912625969257557,1.7320508075688772,4.40758606750211,3.1327942798722037,9.4215408558667,2.6457513110645907,2.6457513110645907,1.7320508075688772,1.7320508075688772,1.7320508075688772,1.1305337274383898,2.6457513110645907,6.588341976552219,2.6457513110645907,1.2549900398011131,1.0152658579172096,1.0117041890310265,1.0292732466812762,1.2144432247509596,1.349542745488418,1.0519822558706333,7.29463739289881,2.6457513110645907,1.0133290839466538,2.36997469297701,2.2947592162937274,3.2315445151736863,2.6457513110645907,29.0516780926679,1.602914364677403,1.5343437613365285,1.3816477906050986,2.6457513110645907,2.6457513110645907,2.6457513110645907
2,es_ancora-ud-train_Case=Com,8.140749903975783,8.074445500173729,8.227991594490867,7.676319951643496,5.3725410683273696,8.366600265340756,5.491933012772006,5.5905634778616005,6.590303389483074,9.219544457292887,9.219544457292887,8.366600265340756,8.366600265340756,8.366600265340756,7.706717272889954,9.219544457292887,5.897563056042724,9.219544457292887,7.872420212361635,7.6118899419737955,7.608259612527702,7.655484422547011,7.804440952153569,7.9667529738183855,7.385120175054703,6.064912469715134,9.219544457292887,7.598204931779172,6.158433555286221,6.17638088746592,5.7432611492294114,9.219544457292887,24.779023386727733,8.243071717690146,8.198649104675031,8.079848427865707,9.219544457292887,9.219544457292887,9.219544457292887
3,es_ancora-ud-test_Case=Com,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
4,es_ancora-ud-dev_Case=Com,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
5,sms_giellagas-ud-test_Case=Com,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
6,et_ewt-ud-train_Case=Com,8.702288991434367,8.642631378488582,8.785975426640508,8.261763874681218,6.2292618907623165,8.918077077791608,6.238808287681793,6.321378971297753,7.212386464861581,9.727331990547098,9.727331990547098,8.918077077791608,8.918077077791608,8.918077077791608,8.290399151718852,9.727331990547098,6.609295969305395,9.727331990547098,8.446852726764822,8.199489638704,8.196507957872132,8.237588186541599,8.388183111992655,8.541219199868152,7.99329966322875,6.752203059574138,9.727331990547098,8.188071319905085,6.86727462836354,6.881978240027941,6.47996697719524,9.727331990547098,24.914941721538387,8.800586767021858,8.751391918293441,8.637272088790677,9.727331990547098,9.727331990547098,9.727331990547098
7,et_ewt-ud-test_Case=Com,6.477906224558839,6.419252352658156,6.559740438690974,6.053079571385187,4.638453788231222,6.689698507085539,4.824961006788654,4.561809123509975,7.443546675030445,7.497106880006976,7.497106880006976,6.689698507085539,6.689698507085539,6.689698507085539,6.08265600647527,7.497106880006976,5.823084759446876,7.497106880006976,6.232230939185329,5.993269710780708,5.990935983729442,6.030011767059578,6.171937321046848,6.32048192694349,5.801353504083237,6.204797748137672,7.497106880006976,5.981904380959374,4.905912795819771,4.908869784112312,4.7191652966000115,7.497106880006976,26.162556045672893,6.57401164038821,6.527521033137887,6.4160788054727735,7.497106880006976,7.497106880006976,7.497106880006976
8,et_ewt-ud-dev_Case=Com,10.283671652819027,10.223583038280058,10.364616821619311,9.855112549935736,7.7050250803370925,10.492815330201854,7.689876101049771,7.888825866611521,7.871182550506215,11.28188777357483,11.28188777357483,10.492815330201854,10.492815330201854,10.492815330201854,9.881624908476619,11.28188777357483,7.735306652503472,11.28188777357483,10.035916903759894,9.793681581732189,9.79127598456914,9.832838317303606,9.974758366454903,10.12450425565314,9.587701603542296,7.7710250498578795,11.28188777357483,9.781324858190562,8.441390829726819,8.459885782727444,8.02214178846213,11.28188777357483,24.381608025668758,10.378045346547346,10.334414163961469,10.22434176732387,11.28188777357483,11.28188777357483,11.28188777357483
9,ml_ufal-ud-test_Case=Com,10.074675266546038,10.017076990100373,10.150526046089713,9.678320515461346,7.7336047206531475,10.27131929208707,7.86710980680645,7.9746097083180185,8.527008651526623,11.022703842524301,11.022703842524301,10.27131929208707,10.27131929208707,10.27131929208707,9.701765836951003,11.022703842524301,7.860104961131245,11.022703842524301,9.847588537301911,9.620109969159692,9.619241911844167,9.657108876283294,9.778252226673159,9.920323327274925,9.402481941842094,7.853408203332059,11.022703842524301,9.6072568848751,8.433782354747853,8.448505229653467,8.096748593409234,11.022703842524301,24.748737341529164,10.163638634260238,10.124987298893057,10.02181263021125,11.022703842524301,11.022703842524301,11.022703842524301
10,apu_ufpa-ud-test_Case=Com,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
11,egy_ujaen-ud-test_Case=Com,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
12,mr_ufal-ud-train_Case=Com,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
13,olo_kkpp-ud-test_Case=Com,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
