,Treebank,hu_szeged-ud-dev_Case=Ill,hu_szeged-ud-test_Case=Ill,hu_szeged-ud-train_Case=Ill,fi_ood-ud-test_Case=Ill,sms_giellagas-ud-test_Case=Ill,sms_giellagas-ud-train_Case=Ill,et_ewt-ud-train_Case=Ill,et_ewt-ud-test_Case=Ill,et_ewt-ud-dev_Case=Ill,egy_ujaen-ud-test_Case=Ill,si_stb-ud-test_Case=Ill,lt_alksnis-ud-test_Case=Ill,lt_alksnis-ud-dev_Case=Ill,lt_alksnis-ud-train_Case=Ill,olo_kkpp-ud-test_Case=Ill,olo_kkpp-ud-train_Case=Ill,mdf_jr-ud-test_Case=Ill,mdf_jr-ud-train_Case=Ill,vep_vwt-ud-test_Case=Ill,fi_tdt-ud-train_Case=Ill,fi_tdt-ud-test_Case=Ill,fi_tdt-ud-dev_Case=Ill,myv_jr-ud-test_Case=Ill,myv_jr-ud-train_Case=Ill,kpv_ikdp-ud-test_Case=Ill,kpv_lattice-ud-test_Case=Ill,kpv_lattice-ud-train_Case=Ill,fi_pud-ud-test_Case=Ill,et_edt-ud-dev_Case=Ill,et_edt-ud-train_Case=Ill,et_edt-ud-test_Case=Ill,koi_uh-ud-train_Case=Ill,koi_uh-ud-test_Case=Ill,sme_giella-ud-train_Case=Ill,sme_giella-ud-test_Case=Ill,krl_kkpp-ud-test_Case=Ill,fi_ftb-ud-dev_Case=Ill,fi_ftb-ud-train_Case=Ill,fi_ftb-ud-test_Case=Ill
0,hu_szeged-ud-dev_Case=Ine,78.58140340127703,78.51522284577923,78.66241945534031,78.13948993946659,75.17758810367901,78.79562170577753,74.96016523770851,75.64287408606312,71.39338507241946,79.57229417328622,79.57229417328622,78.79562170577753,78.79562170577753,78.79562170577753,78.16888294171171,79.57229417328622,73.6942585959042,79.57229417328622,78.32863461084969,78.07407883965114,78.07214252717182,78.11514994418877,78.26365875795872,78.41989811617634,77.84401068804202,73.19029223572632,79.57229417328622,78.05964519763968,76.41913789875026,76.45283543235612,75.75559218581444,79.57229417328622,61.90516941257814,78.68012925597078,78.63530527422998,78.5218869385795,79.57229417328622,79.57229417328622,79.57229417328622
1,hu_szeged-ud-test_Case=Ine,52.48000187574187,52.41801487121104,52.55857255845821,52.05568065062641,49.25682255181748,52.684596104237784,49.072509419471814,49.698434582992654,45.85672803605639,53.4353191562784,53.4353191562784,52.684596104237784,52.684596104237784,52.684596104237784,52.08335187376396,53.4353191562784,47.91431153632493,53.4353191562784,52.23703985998186,51.99283597974437,51.99136385277905,52.03279081303098,52.172470476534194,52.32282554615756,51.77221477030148,47.460232189231675,53.4353191562784,51.97884850630613,50.42550802332518,50.45686543935906,49.80602039013099,53.4353191562784,39.63584236521283,52.57347062993651,52.53153528842146,52.42337147249507,53.4353191562784,53.4353191562784,53.4353191562784
2,hu_szeged-ud-train_Case=Ine,31.700370044778875,31.63672407791146,31.779789192369623,31.27206986072334,28.52826743813554,31.908369502707743,28.367848155279955,28.94598457936261,25.491142879615737,32.67200382276872,32.67200382276872,31.908369502707743,31.908369502707743,31.908369502707743,31.3011861770982,32.67200382276872,27.330896909912727,32.67200382276872,31.455952362918083,31.209037057110933,31.20762961250454,31.24899969208031,31.390919704225563,31.54260069096169,30.989129538992984,26.927474105863958,32.67200382276872,31.194945855435744,29.66069899662152,29.69022511968821,29.061199496204583,32.67200382276872,25.198931516722837,31.795754016944453,31.75335835877844,31.642852276648064,32.67200382276872,32.67200382276872,32.67200382276872
3,fi_ood-ud-test_Case=Ine,509.4786690659792,509.4067104683008,509.57354704270017,508.9438533748099,505.4359809750366,509.7234544338724,505.0254548047881,505.8975137317834,500.3839513467954,510.61629429543274,510.61629429543274,509.7234544338724,509.7234544338724,509.7234544338724,508.9734098680035,510.61629429543274,503.5804615451239,510.61629429543274,509.1650763750397,508.8644088408716,508.86086904667127,508.9148393973367,509.1069240525489,509.2875209663994,508.6156440115987,502.95831723667817,510.61629429543274,508.8482182230508,506.8315655399379,506.8750300700756,506.01421189428044,510.61629429543274,485.7818440411292,509.5840510316972,509.53382810111145,509.40175211882456,510.61629429543274,510.61629429543274,510.61629429543274
4,et_ewt-ud-train_Case=Ine,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
5,et_ewt-ud-test_Case=Ine,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
6,et_ewt-ud-dev_Case=Ine,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
7,si_stb-ud-test_Case=Ine,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
8,olo_kkpp-ud-test_Case=Ine,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
9,olo_kkpp-ud-train_Case=Ine,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
