,Treebank,hu_szeged-ud-dev_Case=Ill,hu_szeged-ud-test_Case=Ill,hu_szeged-ud-train_Case=Ill,fi_ood-ud-test_Case=Ill,sms_giellagas-ud-test_Case=Ill,sms_giellagas-ud-train_Case=Ill,et_ewt-ud-train_Case=Ill,et_ewt-ud-test_Case=Ill,et_ewt-ud-dev_Case=Ill,egy_ujaen-ud-test_Case=Ill,si_stb-ud-test_Case=Ill,lt_alksnis-ud-test_Case=Ill,lt_alksnis-ud-dev_Case=Ill,lt_alksnis-ud-train_Case=Ill,olo_kkpp-ud-test_Case=Ill,olo_kkpp-ud-train_Case=Ill,mdf_jr-ud-test_Case=Ill,mdf_jr-ud-train_Case=Ill,vep_vwt-ud-test_Case=Ill,fi_tdt-ud-train_Case=Ill,fi_tdt-ud-test_Case=Ill,fi_tdt-ud-dev_Case=Ill,myv_jr-ud-test_Case=Ill,myv_jr-ud-train_Case=Ill,kpv_ikdp-ud-test_Case=Ill,kpv_lattice-ud-test_Case=Ill,kpv_lattice-ud-train_Case=Ill,fi_pud-ud-test_Case=Ill,et_edt-ud-dev_Case=Ill,et_edt-ud-train_Case=Ill,et_edt-ud-test_Case=Ill,koi_uh-ud-train_Case=Ill,koi_uh-ud-test_Case=Ill,sme_giella-ud-train_Case=Ill,sme_giella-ud-test_Case=Ill,krl_kkpp-ud-test_Case=Ill,fi_ftb-ud-dev_Case=Ill,fi_ftb-ud-train_Case=Ill,fi_ftb-ud-test_Case=Ill
0,sl_ssj-ud-test_Case=Ins,1.4973379935326114,1.4388390032289449,1.586197775827613,1.027926015443664,3.8672936313672834,1.733830940589786,4.396942005236423,3.1297760239690526,9.414558359937645,2.6649321774579495,2.6649321774579495,1.733830940589786,1.733830940589786,1.733830940589786,1.068052231665541,2.6649321774579495,6.52042089362857,2.6649321774579495,1.224089298592728,0.919217365498615,0.9191338943092856,0.9645473035301099,1.1887946991594402,1.3343152334905355,1.0202482897078167,7.248461036978935,2.6649321774579495,0.8971400857920724,2.3092839939444634,2.2432053908352523,3.1945493953060646,2.6649321774579495,29.006622694846232,1.5795938801749883,1.5329324423236317,1.4094532318205983,2.6649321774579495,2.6649321774579495,2.6649321774579495
1,sl_ssj-ud-dev_Case=Ins,1.5695131212812723,1.5098513181230735,1.6596291349677703,1.0823422715847981,3.8059641377291844,1.8081243416769226,4.335981076973097,3.0695495903464702,9.34453427317076,2.7413368399473135,2.7413368399473135,1.8081243416769226,1.8081243416769226,1.8081243416769226,1.1182683298164953,2.7413368399473135,6.460627552475588,2.7413368399473135,1.2877688933515603,0.9661583423636888,0.9648244810816353,1.0155052066614207,1.2541171375675224,1.4036425180194843,1.0571882369275292,7.187059483409415,2.7413368399473135,0.9416328069655191,2.2550123572337277,2.1903329274290617,3.1353726729361164,2.7413368399473135,28.940607929329598,1.6504999909330091,1.6037281613923078,1.4806950131725742,2.7413368399473135,2.7413368399473135,2.7413368399473135
2,sl_ssj-ud-train_Case=Ins,1.5310900173871718,1.472181800589952,1.6199642651988482,1.0585898198531503,3.8455351935483733,1.7676100088753417,4.376582685560789,3.110983014384301,9.389596321754786,2.697949439910849,2.697949439910849,1.7676100088753417,1.7676100088753417,1.7676100088753417,1.0970008768453796,2.697949439910849,6.498853133727177,2.697949439910849,1.2573766124814487,0.9495173871591104,0.9491528227034898,0.9955937083056156,1.2214028877643859,1.3676581392462521,1.04294625193012,7.225929367903834,2.697949439910849,0.9266952636683153,2.2938155767997,2.228282164403989,3.1762203056881444,2.697949439910849,28.981333156446375,1.6131311998017384,1.5670012243170943,1.443503637766008,2.697949439910849,2.697949439910849,2.697949439910849
3,xcl_caval-ud-train_Case=Ins,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
4,xcl_caval-ud-dev_Case=Ins,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
5,xcl_caval-ud-test_Case=Ins,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
6,hu_szeged-ud-dev_Case=Ins,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
7,hu_szeged-ud-test_Case=Ins,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
8,hu_szeged-ud-train_Case=Ins,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
9,xav_xdt-ud-test_Case=Ins,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
10,tr_pud-ud-test_Case=Ins,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
11,fi_ood-ud-test_Case=Ins,1.278845324000557,1.3689738821885769,1.1689791895833785,1.8756033695853715,6.117168714889247,1.0,6.5912452584836325,5.397629109155241,11.756269669551216,0.0,0.0,1.0,1.0,1.0,1.842143079204315,0.0,8.705242673240075,0.0,1.635542723379613,1.960920608682236,1.9640267731056948,1.9045597042899167,1.7104654390763518,1.5026261478525773,2.3108440016582685,9.44519638196462,0.0,1.983108213213122,4.410228268319544,4.347833450101511,5.3714540403661655,0.0,31.25699921617557,1.152010514482039,1.2072765064707807,1.3562839573037448,0.0,0.0,0.0
