,Treebank,hu_szeged-ud-dev_Case=Ine,hu_szeged-ud-test_Case=Ine,hu_szeged-ud-train_Case=Ine,fi_ood-ud-test_Case=Ine,et_ewt-ud-train_Case=Ine,et_ewt-ud-test_Case=Ine,et_ewt-ud-dev_Case=Ine,si_stb-ud-test_Case=Ine,olo_kkpp-ud-test_Case=Ine,olo_kkpp-ud-train_Case=Ine,mdf_jr-ud-test_Case=Ine,mdf_jr-ud-train_Case=Ine,vep_vwt-ud-test_Case=Ine,fi_tdt-ud-train_Case=Ine,fi_tdt-ud-test_Case=Ine,fi_tdt-ud-dev_Case=Ine,myv_jr-ud-test_Case=Ine,myv_jr-ud-train_Case=Ine,kpv_ikdp-ud-test_Case=Ine,kpv_lattice-ud-test_Case=Ine,kpv_lattice-ud-train_Case=Ine,fi_pud-ud-test_Case=Ine,et_edt-ud-dev_Case=Ine,et_edt-ud-train_Case=Ine,et_edt-ud-test_Case=Ine,koi_uh-ud-train_Case=Ine,koi_uh-ud-test_Case=Ine,arr_tudet-ud-test_Case=Ine,krl_kkpp-ud-test_Case=Ine,eu_bdt-ud-train_Case=Ine,eu_bdt-ud-test_Case=Ine,eu_bdt-ud-dev_Case=Ine,fi_ftb-ud-dev_Case=Ine,fi_ftb-ud-train_Case=Ine,fi_ftb-ud-test_Case=Ine,ab_abnc-ud-test_Case=Ine
0,hu_szeged-ud-dev_Case=All,78.57092505143964,52.470674762002325,31.69160446176669,509.46571040135734,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,167.36267889973288,73.05556866177658,111.69493592852034,1.29172958692549,1.29172958692549,1.29172958692549,260.4392310955238,1.29172958692549,80.69492233482947,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549
1,hu_szeged-ud-test_Case=All,78.62700956193783,52.523391290481825,31.74506533644233,509.5272944362355,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,167.42286461664398,73.11539453745257,111.75494150199077,1.2216165268919335,1.2216165268919335,1.2216165268919335,260.5051264723352,1.2216165268919335,80.75367243813062,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335
2,hu_szeged-ud-train_Case=All,78.61325156118308,52.51188436329843,31.73267649870748,509.51531353290125,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,167.41181345270974,73.10441934684522,111.74422961918702,1.2334468765583195,1.2334468765583195,1.2334468765583195,260.4916983321526,1.2334468765583195,80.74297014115785,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195
3,fi_ood-ud-test_Case=All,78.42604904799923,52.33027336299803,31.549145389213667,509.2808975151722,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,167.1736641978141,72.86624299188523,111.50385534999953,1.4885496183206106,1.4885496183206106,1.4885496183206106,260.26380139066083,1.4885496183206106,80.51230466785361,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106
4,ess_sli-ud-test_Case=All,63.87292070979689,44.62062303464621,34.26885715393963,482.97204888067796,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,143.44185618795925,54.92758869639191,89.71745773383361,41.43669871020132,41.43669871020132,41.43669871020132,233.97008355770615,41.43669871020132,62.17650977135126,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132
5,hit_hittb-ud-test_Case=All,78.79562170577753,52.684596104237784,31.908369502707743,509.7234544338724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,167.6189328422888,73.31057222529367,111.95187458109946,1.0,1.0,1.0,260.7067317888052,1.0,80.94392112658578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,et_ewt-ud-train_Case=All,78.4958457576482,52.39685255794789,31.61634797739695,509.3600833211177,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,167.25765839294317,72.9492660579666,111.58898219766091,1.3930450983353315,1.3930450983353315,1.3930450983353315,260.34631973516736,1.3930450983353315,80.59275457083201,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315
7,et_ewt-ud-test_Case=All,78.44376313802525,52.34778107241681,31.56660903026507,509.30521087896363,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,167.19979537100994,72.89201031605013,111.53160241899877,1.4619432297123496,1.4619432297123496,1.4619432297123496,260.286468213174,1.4619432297123496,80.5361250675605,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496
8,et_ewt-ud-dev_Case=All,78.49996277645846,52.401122612507024,31.62027558748875,509.36550477714553,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,167.26295583541892,72.9547617548127,111.59437152817502,1.3878741802897074,1.3878741802897074,1.3878741802897074,260.3517299387868,1.3878741802897074,80.59896208815476,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074
9,ml_ufal-ud-test_Case=All,76.52940611294459,50.53381706012981,29.7858469058759,506.9575919147478,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,164.82684984847432,70.54813959276319,109.14160017559249,4.58257569495584,4.58257569495584,4.58257569495584,257.9418539128538,4.58257569495584,78.26094498665398,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584
