,Treebank,sl_ssj-ud-test_Case=Ins,sl_ssj-ud-dev_Case=Ins,sl_ssj-ud-train_Case=Ins,xcl_caval-ud-train_Case=Ins,xcl_caval-ud-dev_Case=Ins,xcl_caval-ud-test_Case=Ins,hu_szeged-ud-dev_Case=Ins,hu_szeged-ud-test_Case=Ins,hu_szeged-ud-train_Case=Ins,xav_xdt-ud-test_Case=Ins,tr_pud-ud-test_Case=Ins,fi_ood-ud-test_Case=Ins,pl_pdb-ud-test_Case=Ins,pl_pdb-ud-train_Case=Ins,pl_pdb-ud-dev_Case=Ins,sah_yktdt-ud-test_Case=Ins,uk_iu-ud-dev_Case=Ins,uk_iu-ud-train_Case=Ins,uk_iu-ud-test_Case=Ins,sa_vedic-ud-test_Case=Ins,sa_vedic-ud-train_Case=Ins,sa_vedic-ud-dev_Case=Ins,hr_set-ud-dev_Case=Ins,hr_set-ud-train_Case=Ins,hr_set-ud-test_Case=Ins,orv_rnc-ud-dev_Case=Ins,orv_rnc-ud-train_Case=Ins,orv_rnc-ud-test_Case=Ins,tr_atis-ud-dev_Case=Ins,tr_atis-ud-train_Case=Ins,tr_atis-ud-test_Case=Ins,hi_pud-ud-test_Case=Ins,tr_kenet-ud-dev_Case=Ins,tr_kenet-ud-test_Case=Ins,tr_kenet-ud-train_Case=Ins,sk_snk-ud-dev_Case=Ins,sk_snk-ud-test_Case=Ins,sk_snk-ud-train_Case=Ins,lt_hse-ud-train_Case=Ins,lt_hse-ud-test_Case=Ins,lt_hse-ud-dev_Case=Ins,hit_hittb-ud-test_Case=Ins,sa_ufal-ud-test_Case=Ins,be_hse-ud-train_Case=Ins,be_hse-ud-dev_Case=Ins,be_hse-ud-test_Case=Ins,cs_pud-ud-test_Case=Ins,orv_ruthenian-ud-test_Case=Ins,orv_ruthenian-ud-train_Case=Ins,orv_ruthenian-ud-dev_Case=Ins,ml_ufal-ud-test_Case=Ins,egy_ujaen-ud-test_Case=Ins,mr_ufal-ud-dev_Case=Ins,mr_ufal-ud-test_Case=Ins,mr_ufal-ud-train_Case=Ins,si_stb-ud-test_Case=Ins,lt_alksnis-ud-test_Case=Ins,lt_alksnis-ud-dev_Case=Ins,lt_alksnis-ud-train_Case=Ins,cu_proiel-ud-train_Case=Ins,cu_proiel-ud-test_Case=Ins,cu_proiel-ud-dev_Case=Ins,olo_kkpp-ud-test_Case=Ins,hy_bsut-ud-train_Case=Ins,hy_bsut-ud-test_Case=Ins,hy_bsut-ud-dev_Case=Ins,hsb_ufal-ud-test_Case=Ins,hsb_ufal-ud-train_Case=Ins,fi_tdt-ud-train_Case=Ins,fi_tdt-ud-test_Case=Ins,fi_tdt-ud-dev_Case=Ins,sr_set-ud-test_Case=Ins,sr_set-ud-train_Case=Ins,sr_set-ud-dev_Case=Ins,tr_framenet-ud-test_Case=Ins,tr_framenet-ud-train_Case=Ins,tr_framenet-ud-dev_Case=Ins,ky_ktmu-ud-train_Case=Ins,ky_ktmu-ud-test_Case=Ins,kpv_ikdp-ud-test_Case=Ins,kpv_lattice-ud-test_Case=Ins,abq_atb-ud-test_Case=Ins,tr_gb-ud-test_Case=Ins,ru_taiga-ud-train_Case=Ins,ru_taiga-ud-dev_Case=Ins,ru_taiga-ud-test_Case=Ins,fi_pud-ud-test_Case=Ins,cs_cltt-ud-dev_Case=Ins,cs_cltt-ud-train_Case=Ins,cs_cltt-ud-test_Case=Ins,hy_armtdp-ud-train_Case=Ins,hy_armtdp-ud-dev_Case=Ins,hy_armtdp-ud-test_Case=Ins,ota_boun-ud-train_Case=Ins,ota_boun-ud-test_Case=Ins,ru_syntagrus-ud-train_Case=Ins,ru_syntagrus-ud-dev_Case=Ins,ru_syntagrus-ud-test_Case=Ins,sjo_xdt-ud-test_Case=Ins,orv_birchbark-ud-train_Case=Ins,orv_birchbark-ud-dev_Case=Ins,orv_birchbark-ud-test_Case=Ins,ru_poetry-ud-test_Case=Ins,ru_poetry-ud-dev_Case=Ins,ru_poetry-ud-train_Case=Ins,myu_tudet-ud-test_Case=Ins,wbp_ufal-ud-test_Case=Ins,koi_uh-ud-test_Case=Ins,cs_fictree-ud-dev_Case=Ins,cs_fictree-ud-train_Case=Ins,cs_fictree-ud-test_Case=Ins,hyw_armtdp-ud-test_Case=Ins,hyw_armtdp-ud-dev_Case=Ins,hyw_armtdp-ud-train_Case=Ins,sl_sst-ud-train_Case=Ins,sl_sst-ud-test_Case=Ins,sl_sst-ud-dev_Case=Ins,ka_glc-ud-test_Case=Ins,arr_tudet-ud-test_Case=Ins,kk_ktb-ud-test_Case=Ins,kk_ktb-ud-train_Case=Ins,cs_pdt-ud-test_Case=Ins,cs_pdt-ud-dev_Case=Ins,cs_pdt-ud-train_Case=Ins,ta_mwtt-ud-test_Case=Ins,ota_dudu-ud-test_Case=Ins,ta_ttb-ud-train_Case=Ins,ta_ttb-ud-dev_Case=Ins,ta_ttb-ud-test_Case=Ins,ru_pud-ud-test_Case=Ins,qtd_sagt-ud-test_Case=Ins,qtd_sagt-ud-dev_Case=Ins,qtd_sagt-ud-train_Case=Ins,krl_kkpp-ud-test_Case=Ins,pl_pud-ud-test_Case=Ins,orv_torot-ud-test_Case=Ins,orv_torot-ud-dev_Case=Ins,orv_torot-ud-train_Case=Ins,cs_cac-ud-dev_Case=Ins,cs_cac-ud-train_Case=Ins,cs_cac-ud-test_Case=Ins,eu_bdt-ud-train_Case=Ins,eu_bdt-ud-test_Case=Ins,eu_bdt-ud-dev_Case=Ins,fi_ftb-ud-dev_Case=Ins,fi_ftb-ud-train_Case=Ins,fi_ftb-ud-test_Case=Ins,am_att-ud-test_Case=Ins,pl_lfg-ud-test_Case=Ins,pl_lfg-ud-train_Case=Ins,pl_lfg-ud-dev_Case=Ins,tr_tourism-ud-train_Case=Ins,tr_tourism-ud-dev_Case=Ins,tr_tourism-ud-test_Case=Ins,ab_abnc-ud-test_Case=Ins,cs_poetry-ud-test_Case=Ins,ru_gsd-ud-test_Case=Ins,ru_gsd-ud-dev_Case=Ins,ru_gsd-ud-train_Case=Ins,tr_imst-ud-train_Case=Ins,tr_imst-ud-dev_Case=Ins,tr_imst-ud-test_Case=Ins,tr_boun-ud-dev_Case=Ins,tr_boun-ud-test_Case=Ins,tr_boun-ud-train_Case=Ins,tr_penn-ud-dev_Case=Ins,tr_penn-ud-test_Case=Ins,tr_penn-ud-train_Case=Ins
0,sah_yktdt-ud-test_Case=Cmp,1.733830940589786,1.8081243416769226,1.7676100088753417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3334.9403792771677,1.0,1.0,3.4875727692199114,3.78252776678633,3.8511088900844883,1.0,1.0,1.0,3.2569425926894975,3.0301671414331426,2.921489695483509,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1989.612022480765,4.34022059265418,4.786804237660924,2.742283972220514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,623.810868773541,3.513121921012346,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.08309865905069,6.80163469569652,7.089949661700705,1.0,1.0,1.0,1.0,426.29098043472607,1.0,174.7741399635541,1.0,1.0,1.0,1.0,1.0,2.923664076864685,2.789351877553531,3.223012953743748,1.0,1.0,1.0,1.0,1.0,1.0,100.91580649234291,1.0,64.47221623821122,1.0,1.0,1.0,1.0,4.9988454982200325,4.504155299940977,8.734632796289599,1.0,1.0,110.37209792334292,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1798994941175946,3.010474232083845,2.8162817462301497,295.5807842198136,1.0,1.0,1.6551277143600513,1.7301280863757666,1.7520070053264063,6.101076994750006,0.7071067811865476,1.0,1.0,3.516671459029383,3.655106835187326,3.5581028768091514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.152134860671346,1.0,1.0,1.0,1.0,1.0,4.777908406525928,4.417371231299064,4.610503197366878,24.506884664461005,28.375825979167548,38.365588322700575,1.0,1.0,1.0,7.0710678118654755,1.0,1.0,1.0,169.82638193166574,56.444663166680336,1.0,1.0,3.6519106296794197,1.0,467.91879637390076,1583.302876900058,169.23750569342877,53.94029621308689,1.0,1.0,1.0,738.420611846663,1.0,1.0,66.54555665941274
1,ml_ufal-ud-test_Case=Cmp,1.3821996782817436,1.4225679596690224,1.4035523170289406,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,3333.989802023996,2.23606797749979,2.23606797749979,2.7842781679449082,3.0634032355262435,3.1323509074750264,2.23606797749979,2.23606797749979,2.23606797749979,2.575459475078416,2.3715503321015405,2.272371771825146,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,1.4142135623730951,2.23606797749979,2.23606797749979,1988.819750505309,3.5765012158177103,3.9965382944618892,2.111038848685916,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,622.8691676427724,2.7868537697167155,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,1.4142135623730951,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,7.255400179041403,6.007228640330869,6.277161570685371,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,425.4268444750519,2.23606797749979,173.90227140552247,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.2896612143402995,2.1740943927200993,2.552021257748454,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,100.00999950005,2.23606797749979,63.550504849817415,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,4.223685611508262,3.7434750489587705,7.894288068723608,2.23606797749979,2.23606797749979,109.48059188732951,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,1.4142135623730951,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.5172629707075203,2.3631300585175983,2.1817818763380306,294.7303852676205,2.23606797749979,2.23606797749979,1.326472039708289,1.3843482648319372,1.3651542747146297,5.355155081826596,1.224744871391589,2.23606797749979,2.23606797749979,2.7948820447999014,2.920883328324904,2.8322301272121893,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,17.421251390184345,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,4.011429500301353,3.6511771581401917,3.842483082704037,23.68400775931727,27.539744007524835,37.53365836424797,2.23606797749979,2.23606797749979,2.23606797749979,6.48074069840786,2.23606797749979,2.23606797749979,2.23606797749979,168.65645555388622,55.190578906186516,2.23606797749979,2.23606797749979,2.9726169021866125,2.23606797749979,466.9732326375892,1582.3564705842991,168.32904284961245,53.086930804315884,2.23606797749979,2.23606797749979,2.23606797749979,737.6001626897869,2.23606797749979,2.23606797749979,65.70878513900897
2,egy_ujaen-ud-test_Case=Cmp,2.6649321774579495,2.7413368399473135,2.697949439910849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.8910353906954,0.0,0.0,4.424265218622617,4.714933003721951,4.78021517915417,0.0,0.0,0.0,4.193132313244931,3.9671141971867048,3.8596640789997627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1990.392172412261,5.280498900582525,5.731899447851193,3.685614975541244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.7535514104742,4.4629023437680875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.001785162169785,7.7073072736783805,8.00824668865855,0.0,0.0,0.0,0.0,427.15687984626913,0.0,175.65022060902743,0.0,0.0,0.0,0.0,0.0,3.853968706702711,3.7190209475349576,4.154854088894098,0.0,0.0,0.0,0.0,0.0,0.0,101.81355508968342,0.0,65.31717487256574,0.0,0.0,0.0,0.0,5.927680194248629,5.437023495424304,9.657527429940018,0.0,0.0,111.26994203287786,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10936840909688,3.9422742840411606,3.7553579845843172,296.4338037403966,0.0,0.0,2.592174266818801,2.658997230571959,2.6972969617107383,6.983451513494049,1.5811388300841898,0.0,0.0,4.463243263200861,4.602788150610228,4.5052627342499765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.934096228761486,0.0,0.0,0.0,0.0,0.0,5.7065971337053645,5.3567190230188135,5.54516034258647,25.362227196580882,29.23931428744525,39.21812367375313,0.0,0.0,0.0,7.810249675906654,0.0,0.0,0.0,170.7161386629864,57.33236433289665,0.0,0.0,4.564696183445896,0.0,468.86565239949067,1584.2496646677885,170.12250488006183,54.80166258629589,0.0,0.0,0.0,739.2333866919162,0.0,0.0,67.39320770259006
3,mdf_jr-ud-test_Case=Cmp,2.6649321774579495,2.7413368399473135,2.697949439910849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.8910353906954,0.0,0.0,4.424265218622617,4.714933003721951,4.78021517915417,0.0,0.0,0.0,4.193132313244931,3.9671141971867048,3.8596640789997627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1990.392172412261,5.280498900582525,5.731899447851193,3.685614975541244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.7535514104742,4.4629023437680875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.001785162169785,7.7073072736783805,8.00824668865855,0.0,0.0,0.0,0.0,427.15687984626913,0.0,175.65022060902743,0.0,0.0,0.0,0.0,0.0,3.853968706702711,3.7190209475349576,4.154854088894098,0.0,0.0,0.0,0.0,0.0,0.0,101.81355508968342,0.0,65.31717487256574,0.0,0.0,0.0,0.0,5.927680194248629,5.437023495424304,9.657527429940018,0.0,0.0,111.26994203287786,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10936840909688,3.9422742840411606,3.7553579845843172,296.4338037403966,0.0,0.0,2.592174266818801,2.658997230571959,2.6972969617107383,6.983451513494049,1.5811388300841898,0.0,0.0,4.463243263200861,4.602788150610228,4.5052627342499765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.934096228761486,0.0,0.0,0.0,0.0,0.0,5.7065971337053645,5.3567190230188135,5.54516034258647,25.362227196580882,29.23931428744525,39.21812367375313,0.0,0.0,0.0,7.810249675906654,0.0,0.0,0.0,170.7161386629864,57.33236433289665,0.0,0.0,4.564696183445896,0.0,468.86565239949067,1584.2496646677885,170.12250488006183,54.80166258629589,0.0,0.0,0.0,739.2333866919162,0.0,0.0,67.39320770259006
4,myv_jr-ud-test_Case=Cmp,2.6649321774579495,2.7413368399473135,2.697949439910849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.8910353906954,0.0,0.0,4.424265218622617,4.714933003721951,4.78021517915417,0.0,0.0,0.0,4.193132313244931,3.9671141971867048,3.8596640789997627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1990.392172412261,5.280498900582525,5.731899447851193,3.685614975541244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.7535514104742,4.4629023437680875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.001785162169785,7.7073072736783805,8.00824668865855,0.0,0.0,0.0,0.0,427.15687984626913,0.0,175.65022060902743,0.0,0.0,0.0,0.0,0.0,3.853968706702711,3.7190209475349576,4.154854088894098,0.0,0.0,0.0,0.0,0.0,0.0,101.81355508968342,0.0,65.31717487256574,0.0,0.0,0.0,0.0,5.927680194248629,5.437023495424304,9.657527429940018,0.0,0.0,111.26994203287786,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10936840909688,3.9422742840411606,3.7553579845843172,296.4338037403966,0.0,0.0,2.592174266818801,2.658997230571959,2.6972969617107383,6.983451513494049,1.5811388300841898,0.0,0.0,4.463243263200861,4.602788150610228,4.5052627342499765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.934096228761486,0.0,0.0,0.0,0.0,0.0,5.7065971337053645,5.3567190230188135,5.54516034258647,25.362227196580882,29.23931428744525,39.21812367375313,0.0,0.0,0.0,7.810249675906654,0.0,0.0,0.0,170.7161386629864,57.33236433289665,0.0,0.0,4.564696183445896,0.0,468.86565239949067,1584.2496646677885,170.12250488006183,54.80166258629589,0.0,0.0,0.0,739.2333866919162,0.0,0.0,67.39320770259006
5,myv_jr-ud-train_Case=Cmp,10.646177622048748,10.56213933439505,10.62006422845738,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,3324.90731700399,12.84523257866513,12.84523257866513,9.380766507005726,9.177620446334585,9.169174342866958,12.84523257866513,12.84523257866513,12.84523257866513,9.508161936279029,9.650459055528408,9.737598077890185,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.0,12.84523257866513,12.84523257866513,1981.7658792097516,8.666858592928724,8.417521682792199,9.848725506966385,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,613.7686860699232,9.208412231246855,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.0,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,7.537555625102364,7.979081607906545,7.759268704863294,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,417.5260470916755,12.84523257866513,166.10237806846715,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,9.765698350140045,9.877834941793557,9.559697301693186,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,92.28217596047462,12.84523257866513,56.40921910468182,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,8.298240581027198,8.555242654112641,6.821112542671035,12.84523257866513,12.84523257866513,101.65628362280415,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.0,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,9.635022277286835,9.745186985776883,9.855192186857392,287.130632291297,12.84523257866513,12.84523257866513,10.723640979783525,10.694763138091544,10.583510996701474,7.962723069257524,11.597413504743201,12.84523257866513,12.84523257866513,9.245885792403538,9.13795577027257,9.209713552339856,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,13.838352503098047,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,12.84523257866513,8.467916020108328,8.6521460700578,8.57013511698657,17.877971884859157,21.25294097295713,30.82538047831126,12.84523257866513,12.84523257866513,12.84523257866513,9.695359714832659,12.84523257866513,12.84523257866513,12.84523257866513,160.77002208123255,48.187135212627034,12.84523257866513,12.84523257866513,9.431622281782342,12.84523257866513,457.7291775711922,1573.0746962557118,160.1332778240259,45.60945321117348,12.84523257866513,12.84523257866513,12.84523257866513,730.2663897510278,12.84523257866513,12.84523257866513,58.188582308826795
6,kpv_lattice-ud-test_Case=Cmp,2.6649321774579495,2.7413368399473135,2.697949439910849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.8910353906954,0.0,0.0,4.424265218622617,4.714933003721951,4.78021517915417,0.0,0.0,0.0,4.193132313244931,3.9671141971867048,3.8596640789997627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1990.392172412261,5.280498900582525,5.731899447851193,3.685614975541244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.7535514104742,4.4629023437680875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.001785162169785,7.7073072736783805,8.00824668865855,0.0,0.0,0.0,0.0,427.15687984626913,0.0,175.65022060902743,0.0,0.0,0.0,0.0,0.0,3.853968706702711,3.7190209475349576,4.154854088894098,0.0,0.0,0.0,0.0,0.0,0.0,101.81355508968342,0.0,65.31717487256574,0.0,0.0,0.0,0.0,5.927680194248629,5.437023495424304,9.657527429940018,0.0,0.0,111.26994203287786,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10936840909688,3.9422742840411606,3.7553579845843172,296.4338037403966,0.0,0.0,2.592174266818801,2.658997230571959,2.6972969617107383,6.983451513494049,1.5811388300841898,0.0,0.0,4.463243263200861,4.602788150610228,4.5052627342499765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.934096228761486,0.0,0.0,0.0,0.0,0.0,5.7065971337053645,5.3567190230188135,5.54516034258647,25.362227196580882,29.23931428744525,39.21812367375313,0.0,0.0,0.0,7.810249675906654,0.0,0.0,0.0,170.7161386629864,57.33236433289665,0.0,0.0,4.564696183445896,0.0,468.86565239949067,1584.2496646677885,170.12250488006183,54.80166258629589,0.0,0.0,0.0,739.2333866919162,0.0,0.0,67.39320770259006
7,sjo_xdt-ud-test_Case=Cmp,8.907093424412722,8.862844655602995,8.890615439079761,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,3328.293957370153,10.63014581273465,10.63014581273465,8.08000318637543,7.990367816625911,7.980922086650809,10.63014581273465,10.63014581273465,10.63014581273465,8.172202288364403,8.26373631389135,8.306730325915426,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,9.899494936611665,10.63014581273465,10.63014581273465,1984.1688436219333,7.779102639110921,7.637097584525873,8.371061273150673,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,617.2568347130715,8.019583763831202,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,9.899494936611665,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,7.77604775670493,7.699336230698839,7.629874472016236,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,420.3046514137097,10.63014581273465,168.8253535462017,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,8.331324596310354,8.392023207609984,8.201390888135988,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,94.94735383358507,10.63014581273465,59.110066824526605,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,7.6776235335932785,7.769861536689038,7.9041525964416985,10.63014581273465,10.63014581273465,104.37432634513145,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,9.899494936611665,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,8.227133479513428,8.289327783484064,8.350601645781268,289.72055501810706,10.63014581273465,10.63014581273465,8.93756174802942,8.913746779935177,8.867262941636758,7.836131614367254,9.565563234854496,10.63014581273465,10.63014581273465,8.030693757108393,7.973633832656189,8.012429252312277,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,15.215124054702938,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,10.63014581273465,7.724669184133973,7.761718747794682,7.7338409143507585,20.174270471584396,23.70522094391866,33.3754156130967,10.63014581273465,10.63014581273465,10.63014581273465,8.831760866327848,10.63014581273465,10.63014581273465,10.63014581273465,163.783393541592,50.83306010855534,10.63014581273465,10.63014581273465,8.113966431232356,10.63014581273465,461.35019237017775,1576.6927411515535,163.22989922192562,48.568393929477324,10.63014581273465,10.63014581273465,10.63014581273465,732.777592452171,10.63014581273465,10.63014581273465,61.14391038997896
8,koi_uh-ud-train_Case=Cmp,2.6649321774579495,2.7413368399473135,2.697949439910849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.8910353906954,0.0,0.0,4.424265218622617,4.714933003721951,4.78021517915417,0.0,0.0,0.0,4.193132313244931,3.9671141971867048,3.8596640789997627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1990.392172412261,5.280498900582525,5.731899447851193,3.685614975541244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.7535514104742,4.4629023437680875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.001785162169785,7.7073072736783805,8.00824668865855,0.0,0.0,0.0,0.0,427.15687984626913,0.0,175.65022060902743,0.0,0.0,0.0,0.0,0.0,3.853968706702711,3.7190209475349576,4.154854088894098,0.0,0.0,0.0,0.0,0.0,0.0,101.81355508968342,0.0,65.31717487256574,0.0,0.0,0.0,0.0,5.927680194248629,5.437023495424304,9.657527429940018,0.0,0.0,111.26994203287786,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10936840909688,3.9422742840411606,3.7553579845843172,296.4338037403966,0.0,0.0,2.592174266818801,2.658997230571959,2.6972969617107383,6.983451513494049,1.5811388300841898,0.0,0.0,4.463243263200861,4.602788150610228,4.5052627342499765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.934096228761486,0.0,0.0,0.0,0.0,0.0,5.7065971337053645,5.3567190230188135,5.54516034258647,25.362227196580882,29.23931428744525,39.21812367375313,0.0,0.0,0.0,7.810249675906654,0.0,0.0,0.0,170.7161386629864,57.33236433289665,0.0,0.0,4.564696183445896,0.0,468.86565239949067,1584.2496646677885,170.12250488006183,54.80166258629589,0.0,0.0,0.0,739.2333866919162,0.0,0.0,67.39320770259006
9,gu_gujtb-ud-test_Case=Cmp,1.733830940589786,1.8081243416769226,1.7676100088753417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3334.9403792771677,1.0,1.0,3.4875727692199114,3.78252776678633,3.8511088900844883,1.0,1.0,1.0,3.2569425926894975,3.0301671414331426,2.921489695483509,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1989.612022480765,4.34022059265418,4.786804237660924,2.742283972220514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,623.810868773541,3.513121921012346,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.08309865905069,6.80163469569652,7.089949661700705,1.0,1.0,1.0,1.0,426.29098043472607,1.0,174.7741399635541,1.0,1.0,1.0,1.0,1.0,2.923664076864685,2.789351877553531,3.223012953743748,1.0,1.0,1.0,1.0,1.0,1.0,100.91580649234291,1.0,64.47221623821122,1.0,1.0,1.0,1.0,4.9988454982200325,4.504155299940977,8.734632796289599,1.0,1.0,110.37209792334292,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1798994941175946,3.010474232083845,2.8162817462301497,295.5807842198136,1.0,1.0,1.6551277143600513,1.7301280863757666,1.7520070053264063,6.101076994750006,0.7071067811865476,1.0,1.0,3.516671459029383,3.655106835187326,3.5581028768091514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.152134860671346,1.0,1.0,1.0,1.0,1.0,4.777908406525928,4.417371231299064,4.610503197366878,24.506884664461005,28.375825979167548,38.365588322700575,1.0,1.0,1.0,7.0710678118654755,1.0,1.0,1.0,169.82638193166574,56.444663166680336,1.0,1.0,3.6519106296794197,1.0,467.91879637390076,1583.302876900058,169.23750569342877,53.94029621308689,1.0,1.0,1.0,738.420611846663,1.0,1.0,66.54555665941274
