,Treebank,egy_ujaen-ud-test_Case=Lat,mdf_jr-ud-test_Case=Lat,myv_jr-ud-test_Case=Lat,myv_jr-ud-train_Case=Lat,sjo_xdt-ud-test_Case=Lat,eu_bdt-ud-train_Case=Lat,eu_bdt-ud-test_Case=Lat,eu_bdt-ud-dev_Case=Lat,fi_ftb-ud-dev_Case=Lat,fi_ftb-ud-train_Case=Lat,fi_ftb-ud-test_Case=Lat,ab_abnc-ud-test_Case=Lat
0,hu_szeged-ud-dev_Case=Ade,0.4050462936504913,33.54905456939137,8.589454692906157,10.635091828587063,0.3423265984407288,1.3375584099395434,1.3375584099395434,1.3375584099395434,1.3375584099395434,1.3375584099395434,1.3375584099395434,1.3375584099395434
1,hu_szeged-ud-test_Case=Ade,0.335299918733898,33.54785507125093,8.589043944268242,10.63459569772477,0.25952633800511116,1.3144621146642357,1.3144621146642357,1.3144621146642357,1.3144621146642357,1.3144621146642357,1.3144621146642357,1.3144621146642357
2,hu_szeged-ud-train_Case=Ade,0.3082207001484488,33.60200886851856,8.64018814839523,10.686747412002113,0.2675116819879087,1.2629330940315089,1.2629330940315089,1.2629330940315089,1.2629330940315089,1.2629330940315089,1.2629330940315089,1.2629330940315089
3,fi_ood-ud-test_Case=Ade,0.8146657764756383,33.15565620818079,8.205920815764886,10.248575683769229,0.6679065253261516,1.7886065521032837,1.7886065521032837,1.7886065521032837,1.7886065521032837,1.7886065521032837,1.7886065521032837,1.7886065521032837
4,et_ewt-ud-train_Case=Ade,0.9298928155685491,33.069121259661365,8.124758761598883,10.16640443833624,0.7807717530227497,1.897422799077966,1.897422799077966,1.897422799077966,1.897422799077966,1.897422799077966,1.897422799077966,1.897422799077966
5,et_ewt-ud-test_Case=Ade,0.9091540382121331,33.08713313732418,8.141067146777376,10.182703109091277,0.7607179155347996,1.8771070193697335,1.8771070193697335,1.8771070193697335,1.8771070193697335,1.8771070193697335,1.8771070193697335,1.8771070193697335
6,et_ewt-ud-dev_Case=Ade,1.2126901021904224,32.86510401213413,7.93312858396236,9.970935827155756,1.0603127450351386,2.166296264635297,2.166296264635297,2.166296264635297,2.166296264635297,2.166296264635297,2.166296264635297,2.166296264635297
7,olo_kkpp-ud-test_Case=Ade,1.0526315789473684,32.996453263613645,8.063940010925515,10.100309609444379,0.9072389889673466,2.0006924009208644,2.0006924009208644,2.0006924009208644,2.0006924009208644,2.0006924009208644,2.0006924009208644,2.0006924009208644
8,vep_vwt-ud-test_Case=Ade,0.697614984548545,33.26489641248464,8.31859743952558,10.361703700708066,0.5652248814999802,1.6593171286204857,1.6593171286204857,1.6593171286204857,1.6593171286204857,1.6593171286204857,1.6593171286204857,1.6593171286204857
9,fi_tdt-ud-train_Case=Ade,1.1640891530224247,32.87165656980906,7.937799772026649,9.975389254769235,1.0068025378901828,2.1333499449356674,2.1333499449356674,2.1333499449356674,2.1333499449356674,2.1333499449356674,2.1333499449356674,2.1333499449356674
10,fi_tdt-ud-test_Case=Ade,1.19408613676893,32.848268061348385,7.918248562326271,9.955311679401905,1.0370988822318294,2.160771997383269,2.160771997383269,2.160771997383269,2.160771997383269,2.160771997383269,2.160771997383269,2.160771997383269
11,fi_tdt-ud-dev_Case=Ade,1.2004080938733854,32.83801555067119,7.90640868940973,9.94324566001238,1.041567818439185,2.171466165088107,2.171466165088107,2.171466165088107,2.171466165088107,2.171466165088107,2.171466165088107,2.171466165088107
12,fi_pud-ud-test_Case=Ade,1.4264862419387834,32.6568170344162,7.7366184551174495,9.769419050220092,1.2643755959739036,2.3950690043825595,2.3950690043825595,2.3950690043825595,2.3950690043825595,2.3950690043825595,2.3950690043825595,2.3950690043825595
13,et_edt-ud-dev_Case=Ade,0.8046556425732687,33.16434882826927,8.217839056648423,10.25987362788401,0.6593749999999999,1.7767514466365293,1.7767514466365293,1.7767514466365293,1.7767514466365293,1.7767514466365293,1.7767514466365293,1.7767514466365293
14,et_edt-ud-train_Case=Ade,0.8331528819533678,33.14301186657942,8.197129976172537,10.238946088487044,0.6868808528937401,1.8041476170465596,1.8041476170465596,1.8041476170465596,1.8041476170465596,1.8041476170465596,1.8041476170465596,1.8041476170465596
15,et_edt-ud-test_Case=Ade,0.6989284488146839,33.25405615825778,8.302915010451292,10.346665178472021,0.5607829696616152,1.6708159613082763,1.6708159613082763,1.6708159613082763,1.6708159613082763,1.6708159613082763,1.6708159613082763,1.6708159613082763
16,krl_kkpp-ud-test_Case=Ade,0.6491430649325309,33.299532830337874,8.349893126929631,10.393753703912411,0.5186935210218072,1.6152048534938224,1.6152048534938224,1.6152048534938224,1.6152048534938224,1.6152048534938224,1.6152048534938224,1.6152048534938224
17,fi_ftb-ud-dev_Case=Ade,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,fi_ftb-ud-train_Case=Ade,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,fi_ftb-ud-test_Case=Ade,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
