,Treebank,egy_ujaen-ud-test_Case=Lat,mdf_jr-ud-test_Case=Lat,myv_jr-ud-test_Case=Lat,myv_jr-ud-train_Case=Lat,sjo_xdt-ud-test_Case=Lat,eu_bdt-ud-train_Case=Lat,eu_bdt-ud-test_Case=Lat,eu_bdt-ud-dev_Case=Lat,fi_ftb-ud-dev_Case=Lat,fi_ftb-ud-train_Case=Lat,fi_ftb-ud-test_Case=Lat,ab_abnc-ud-test_Case=Lat
0,hu_szeged-ud-dev_Case=Tra,0.5863019699779287,33.385532046082474,8.431098352023158,10.475115632806215,0.4759858191164943,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863
1,hu_szeged-ud-test_Case=Tra,0.2041241452319316,33.67306044897018,8.709597790019458,10.757036904984876,0.2224391302506523,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574
2,hu_szeged-ud-train_Case=Tra,0.14966629547095772,33.71294113541564,8.748832460476518,10.796690034565191,0.21843191158802777,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513
3,fi_ood-ud-test_Case=Tra,2.5089613467008616,31.864503937409257,7.046536647018867,9.03756699348785,2.3449563383769374,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358
4,et_ewt-ud-train_Case=Tra,3.20894794890405,31.51945301504052,6.853428623158678,8.801996986647017,3.055553867758759,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705
5,et_ewt-ud-test_Case=Tra,3.2007652146297256,31.488011972164642,6.814148466882947,8.764189275778051,3.04476068058572,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949
6,et_ewt-ud-dev_Case=Tra,4.485218779502289,30.80267338235433,6.530003662370988,8.351055106050824,4.336437189675414,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434
7,gub_tudet-ud-test_Case=Tra,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,olo_kkpp-ud-test_Case=Tra,1.0101525445522108,33.08353681460411,8.14959641581085,10.18253045481069,0.8770929778744867,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669
9,mdf_jr-ud-test_Case=Tra,3.0669610365963242,31.556001806312537,6.905894146809821,8.848194591025965,2.9141358067186918,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033
10,vep_vwt-ud-test_Case=Tra,2.8284271247461903,32.179185819408175,7.493247649089045,9.45192271314184,2.7056076027391702,3.605551275463989,3.605551275463989,3.605551275463989,3.605551275463989,3.605551275463989,3.605551275463989,3.605551275463989
11,fi_tdt-ud-train_Case=Tra,3.3571291193566175,31.22450384310944,6.554686609552813,8.49821887278763,3.1914296198767618,4.293306195252593,4.293306195252593,4.293306195252593,4.293306195252593,4.293306195252593,4.293306195252593,4.293306195252593
12,fi_tdt-ud-test_Case=Tra,4.6632137126854385,30.181747295716416,5.849444484943365,7.672979531811218,4.492890710652755,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668
13,fi_tdt-ud-dev_Case=Tra,3.7548901448644276,30.92893790610987,6.353292372222621,8.265912877745526,3.5888037700604367,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311
14,myv_jr-ud-test_Case=Tra,4.856621959706575,30.268427213028648,6.106492954089696,7.819238829180791,4.696255596986966,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084
15,myv_jr-ud-train_Case=Tra,11.253443917308159,25.937231926325527,7.1010649882212835,7.209635425956476,11.08536478876541,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103
16,kpv_ikdp-ud-test_Case=Tra,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,kpv_lattice-ud-test_Case=Tra,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,tpn_tudet-ud-test_Case=Tra,0.4497460373445051,33.45639219155065,8.496241931942986,10.542468945707144,0.34001066736359675,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805
