,Treebank,am_att-ud-test_Case=Mal
0,fi_ood-ud-test_Case=Abe,6.651983831075425
1,sms_giellagas-ud-test_Case=Abe,1.16619037896906
2,sms_giellagas-ud-train_Case=Abe,0.6
3,et_ewt-ud-train_Case=Abe,4.761847618704757
4,et_ewt-ud-test_Case=Abe,10.678326960093827
5,et_ewt-ud-dev_Case=Abe,0.6
6,gub_tudet-ud-test_Case=Abe,2.315167380558045
7,olo_kkpp-ud-test_Case=Abe,0.6
8,olo_kkpp-ud-train_Case=Abe,0.6
9,mdf_jr-ud-test_Case=Abe,1.6911534525287764
10,fi_tdt-ud-train_Case=Abe,12.036356960845291
11,fi_tdt-ud-test_Case=Abe,9.019977827023745
12,fi_tdt-ud-dev_Case=Abe,3.370459909270543
13,myv_jr-ud-test_Case=Abe,1.7435595774162695
14,myv_jr-ud-train_Case=Abe,1.7416857890432196
15,kpv_ikdp-ud-test_Case=Abe,1.16619037896906
16,kpv_lattice-ud-test_Case=Abe,2.6923760675078228
17,fi_pud-ud-test_Case=Abe,2.3151673805580453
18,et_edt-ud-dev_Case=Abe,3.8388205493193537
19,et_edt-ud-train_Case=Abe,4.825106516188216
20,et_edt-ud-test_Case=Abe,4.328394621565829
21,koi_uh-ud-test_Case=Abe,2.2045407685048604
22,sme_giella-ud-train_Case=Abe,0.6
23,sme_giella-ud-test_Case=Abe,0.6
24,arr_tudet-ud-test_Case=Abe,1.16619037896906
25,krl_kkpp-ud-test_Case=Abe,2.3151673805580453
26,fi_ftb-ud-dev_Case=Abe,0.6
27,fi_ftb-ud-train_Case=Abe,0.6
28,fi_ftb-ud-test_Case=Abe,0.6
29,ab_abnc-ud-test_Case=Abe,1.16619037896906
