,Treebank,am_att-ud-test_Case=Mal
0,hu_szeged-ud-dev_Case=Abs,1.4158488970132208
1,hu_szeged-ud-test_Case=Abs,1.2351843884104028
2,hu_szeged-ud-train_Case=Abs,1.2717690237240966
3,ess_sli-ud-test_Case=Abs,0.6
4,hit_hittb-ud-test_Case=Abs,0.6
5,mr_ufal-ud-dev_Case=Abs,0.6
6,mr_ufal-ud-test_Case=Abs,0.6
7,mr_ufal-ud-train_Case=Abs,87.15136258257813
8,wbp_ufal-ud-test_Case=Abs,0.6
9,nhi_itml-ud-test_Case=Abs,21.7113954263199
10,azz_itml-ud-test_Case=Abs,7.630848004634956
11,eu_bdt-ud-train_Case=Abs,40.74560063911529
12,eu_bdt-ud-test_Case=Abs,40.655698025128004
13,eu_bdt-ud-dev_Case=Abs,32.04890167070748
14,gu_gujtb-ud-test_Case=Abs,0.6
