,Treebank,am_att-ud-test_Case=Mal
0,sl_ssj-ud-test_Case=Dat,3.292485637603664
1,sl_ssj-ud-dev_Case=Dat,3.7506851225994553
2,sl_ssj-ud-train_Case=Dat,3.1739155762156583
3,xcl_caval-ud-train_Case=Dat,1.3767261936731208
4,xcl_caval-ud-dev_Case=Dat,1.310562189069168
5,xcl_caval-ud-test_Case=Dat,1.3619840271266124
6,hu_szeged-ud-dev_Case=Dat,3.2551372271145405
7,hu_szeged-ud-test_Case=Dat,6.203422360245337
8,hu_szeged-ud-train_Case=Dat,3.10390636035908
9,xav_xdt-ud-test_Case=Dat,1.4439529078193651
10,tr_pud-ud-test_Case=Dat,6.367475522557753
11,es_gsd-ud-test_Case=Dat,0.6
12,es_gsd-ud-dev_Case=Dat,0.6
13,es_gsd-ud-train_Case=Dat,0.6
14,de_hdt-ud-test_Case=Dat,0.6
15,de_hdt-ud-train_Case=Dat,0.6
16,de_hdt-ud-dev_Case=Dat,0.6
17,sga_dipsgg-ud-test_Case=Dat,0.6
18,pt_porttinari-ud-train_Case=Dat,2.2384362572719385
19,pt_porttinari-ud-test_Case=Dat,2.178934395992871
20,pt_porttinari-ud-dev_Case=Dat,2.006655592438988
21,pl_pdb-ud-test_Case=Dat,1.6541864173102168
22,pl_pdb-ud-train_Case=Dat,1.726537197818803
23,pl_pdb-ud-dev_Case=Dat,1.722060745440306
24,sah_yktdt-ud-test_Case=Dat,30.06842197389148
25,uk_iu-ud-dev_Case=Dat,8.510908033550566
26,uk_iu-ud-train_Case=Dat,4.205148612570211
27,uk_iu-ud-test_Case=Dat,5.878244273523369
28,sa_vedic-ud-test_Case=Dat,3.3979665894962814
29,sa_vedic-ud-train_Case=Dat,3.32324058726958
30,sa_vedic-ud-dev_Case=Dat,2.792035969074845
31,es_ancora-ud-train_Case=Dat,0.6
32,es_ancora-ud-test_Case=Dat,0.6
33,es_ancora-ud-dev_Case=Dat,0.6
34,hr_set-ud-dev_Case=Dat,5.585486966177739
35,hr_set-ud-train_Case=Dat,4.794272247399936
36,hr_set-ud-test_Case=Dat,5.814482498688619
37,orv_rnc-ud-dev_Case=Dat,4.12692844026263
38,orv_rnc-ud-train_Case=Dat,4.578698459068946
39,orv_rnc-ud-test_Case=Dat,4.150958836131631
40,la_circse-ud-test_Case=Dat,0.6
41,is_pud-ud-test_Case=Dat,83.5224520712844
42,grc_perseus-ud-dev_Case=Dat,12.758992012013714
43,grc_perseus-ud-train_Case=Dat,10.280175015064744
44,grc_perseus-ud-test_Case=Dat,15.997944465451855
45,tr_atis-ud-dev_Case=Dat,0.6
46,tr_atis-ud-train_Case=Dat,0.6
47,tr_atis-ud-test_Case=Dat,0.6
48,pt_pud-ud-test_Case=Dat,1.4473057305044503
49,hi_pud-ud-test_Case=Dat,0.6
50,la_perseus-ud-test_Case=Dat,0.6
51,la_perseus-ud-train_Case=Dat,0.6
52,tr_kenet-ud-dev_Case=Dat,9.799066239929175
53,tr_kenet-ud-test_Case=Dat,1112.2290051963219
54,tr_kenet-ud-train_Case=Dat,24.573787461805168
55,sk_snk-ud-dev_Case=Dat,0.6
56,sk_snk-ud-test_Case=Dat,0.6
57,sk_snk-ud-train_Case=Dat,0.6
58,lt_hse-ud-train_Case=Dat,6.049974173498594
59,lt_hse-ud-test_Case=Dat,4.106093033529563
60,lt_hse-ud-dev_Case=Dat,3.495302970722689
61,hit_hittb-ud-test_Case=Dat,5.024212978107388
62,sa_ufal-ud-test_Case=Dat,3.5938218591849482
63,be_hse-ud-train_Case=Dat,1.807541423573671
64,be_hse-ud-dev_Case=Dat,1.6777030428535322
65,be_hse-ud-test_Case=Dat,2.7827094812565165
66,gub_tudet-ud-test_Case=Dat,29.91142479610982
67,cs_pud-ud-test_Case=Dat,0.6
68,orv_ruthenian-ud-test_Case=Dat,2.67570774012822
69,orv_ruthenian-ud-train_Case=Dat,3.709159328849133
70,orv_ruthenian-ud-dev_Case=Dat,3.663006829718713
71,ml_ufal-ud-test_Case=Dat,9.414101450613806
72,apu_ufpa-ud-test_Case=Dat,0.6
73,egy_ujaen-ud-test_Case=Dat,0.6
74,de_pud-ud-test_Case=Dat,0.6
75,gl_treegal-ud-train_Case=Dat,1.9676394329936582
76,gl_treegal-ud-test_Case=Dat,2.6483918212293145
77,ro_nonstandard-ud-test_Case=Dat,2.7449074292033697
78,ro_nonstandard-ud-dev_Case=Dat,2.3342916380614365
79,ro_nonstandard-ud-train_Case=Dat,2.6103124458256577
80,ro_simonero-ud-test_Case=Dat,27.080620376941145
81,ro_simonero-ud-train_Case=Dat,11.245665831777147
82,ro_simonero-ud-dev_Case=Dat,0.6
83,sq_tsa-ud-test_Case=Dat,5.418486873657627
84,pt_petrogold-ud-train_Case=Dat,1.16619037896906
85,pt_petrogold-ud-test_Case=Dat,1.16619037896906
86,pt_petrogold-ud-dev_Case=Dat,1.16619037896906
87,mr_ufal-ud-dev_Case=Dat,5.085272854036448
88,mr_ufal-ud-test_Case=Dat,12.781236246936366
89,mr_ufal-ud-train_Case=Dat,5.356733479722398
90,pt_gsd-ud-dev_Case=Dat,2.315167380558045
91,pt_gsd-ud-test_Case=Dat,1.16619037896906
92,pt_gsd-ud-train_Case=Dat,1.16619037896906
93,si_stb-ud-test_Case=Dat,0.6
94,ro_tuecl-ud-test_Case=Dat,2.394045859326748
95,lt_alksnis-ud-test_Case=Dat,0.6
96,lt_alksnis-ud-dev_Case=Dat,0.6
97,lt_alksnis-ud-train_Case=Dat,0.6
98,cu_proiel-ud-train_Case=Dat,0.6
99,cu_proiel-ud-test_Case=Dat,0.6
100,cu_proiel-ud-dev_Case=Dat,0.6
101,hy_bsut-ud-train_Case=Dat,54.064047429782725
102,hy_bsut-ud-test_Case=Dat,63.3464126845396
103,hy_bsut-ud-dev_Case=Dat,37.600279320500114
104,mdf_jr-ud-test_Case=Dat,0.6
105,mdf_jr-ud-train_Case=Dat,0.6
106,la_llct-ud-dev_Case=Dat,0.6
107,la_llct-ud-test_Case=Dat,0.6
108,la_llct-ud-train_Case=Dat,0.6
109,es_pud-ud-test_Case=Dat,0.6
110,hsb_ufal-ud-test_Case=Dat,11.174698603939566
111,hsb_ufal-ud-train_Case=Dat,5.6
112,sr_set-ud-test_Case=Dat,0.6
113,sr_set-ud-train_Case=Dat,1119.134558487048
114,sr_set-ud-dev_Case=Dat,0.6
115,myv_jr-ud-test_Case=Dat,0.6
116,myv_jr-ud-train_Case=Dat,0.6
117,tr_framenet-ud-test_Case=Dat,0.6
118,tr_framenet-ud-train_Case=Dat,904.4641286419269
119,tr_framenet-ud-dev_Case=Dat,0.6
120,ky_ktmu-ud-train_Case=Dat,0.6
121,ky_ktmu-ud-test_Case=Dat,0.6
