,Treebank,am_att-ud-test_Case=Mal
0,hu_szeged-ud-dev_Case=Ill,1.4126023370779512
1,hu_szeged-ud-test_Case=Ill,1.4946870876924252
2,hu_szeged-ud-train_Case=Ill,1.3139681676810182
3,fi_ood-ud-test_Case=Ill,1.9692353846099762
4,sms_giellagas-ud-test_Case=Ill,6.1465236586561485
5,sms_giellagas-ud-train_Case=Ill,1.16619037896906
6,et_ewt-ud-train_Case=Ill,6.618497870172882
7,et_ewt-ud-test_Case=Ill,5.4308746993463215
8,et_ewt-ud-dev_Case=Ill,11.771570691424737
9,egy_ujaen-ud-test_Case=Ill,0.6
10,si_stb-ud-test_Case=Ill,0.6
11,lt_alksnis-ud-test_Case=Ill,1.16619037896906
12,lt_alksnis-ud-dev_Case=Ill,1.16619037896906
13,lt_alksnis-ud-train_Case=Ill,1.16619037896906
14,olo_kkpp-ud-test_Case=Ill,1.9373928678149805
15,olo_kkpp-ud-train_Case=Ill,0.6
16,mdf_jr-ud-test_Case=Ill,8.725895369530853
17,mdf_jr-ud-train_Case=Ill,0.6
18,vep_vwt-ud-test_Case=Ill,1.7421251390184347
19,fi_tdt-ud-train_Case=Ill,2.0506607797377683
20,fi_tdt-ud-test_Case=Ill,2.0536312145747995
21,fi_tdt-ud-dev_Case=Ill,1.9968344115636867
22,myv_jr-ud-test_Case=Ill,1.7962949715545147
23,myv_jr-ud-train_Case=Ill,1.615374456893795
24,kpv_ikdp-ud-test_Case=Ill,2.3874672772626644
25,kpv_lattice-ud-test_Case=Ill,9.464234501209146
26,kpv_lattice-ud-train_Case=Ill,0.6
27,fi_pud-ud-test_Case=Ill,2.071887589931785
28,et_edt-ud-dev_Case=Ill,4.450855353601687
29,et_edt-ud-train_Case=Ill,4.389038130367702
30,et_edt-ud-test_Case=Ill,5.404860637219613
31,koi_uh-ud-train_Case=Ill,0.6
32,koi_uh-ud-test_Case=Ill,31.262757395981563
33,sme_giella-ud-train_Case=Ill,1.2988950017138305
34,sme_giella-ud-test_Case=Ill,1.348153019162251
35,krl_kkpp-ud-test_Case=Ill,1.4830732189745408
36,fi_ftb-ud-dev_Case=Ill,0.6
37,fi_ftb-ud-train_Case=Ill,0.6
38,fi_ftb-ud-test_Case=Ill,0.6
