,Treebank,am_att-ud-test_Case=Mal
0,sl_ssj-ud-test_Case=Loc,2.686463427608759
1,sl_ssj-ud-dev_Case=Loc,2.6870938500761192
2,sl_ssj-ud-train_Case=Loc,2.668026594454846
3,xcl_caval-ud-train_Case=Loc,0.6
4,xcl_caval-ud-dev_Case=Loc,0.6
5,xcl_caval-ud-test_Case=Loc,0.6
6,hu_szeged-ud-train_Case=Loc,0.6
7,fa_seraji-ud-dev_Case=Loc,0.6
8,fa_seraji-ud-test_Case=Loc,0.6
9,fa_seraji-ud-train_Case=Loc,0.6
10,tr_pud-ud-test_Case=Loc,1034.690949027776
11,pl_pdb-ud-test_Case=Loc,0.6
12,pl_pdb-ud-train_Case=Loc,18057.10451207502
13,pl_pdb-ud-dev_Case=Loc,0.6
14,uk_iu-ud-dev_Case=Loc,2.6013803080217754
15,uk_iu-ud-train_Case=Loc,2.6322710436363668
16,uk_iu-ud-test_Case=Loc,2.602087053776351
17,sa_vedic-ud-test_Case=Loc,0.6
18,sa_vedic-ud-train_Case=Loc,2098.8329624923567
19,sa_vedic-ud-dev_Case=Loc,0.6
20,bn_bru-ud-test_Case=Loc,0.6
21,hr_set-ud-dev_Case=Loc,2.619933767665276
22,hr_set-ud-train_Case=Loc,2.6099557052537796
23,hr_set-ud-test_Case=Loc,2.5700026520653467
24,orv_rnc-ud-dev_Case=Loc,0.6
25,orv_rnc-ud-train_Case=Loc,0.6
26,orv_rnc-ud-test_Case=Loc,0.6
27,la_circse-ud-test_Case=Loc,0.6
28,grc_perseus-ud-test_Case=Loc,0.6
29,tr_atis-ud-dev_Case=Loc,11.890186244362189
30,tr_atis-ud-train_Case=Loc,54.854732347352254
31,tr_atis-ud-test_Case=Loc,13.894603268895446
32,hi_pud-ud-test_Case=Loc,1.1720312657819585
33,la_perseus-ud-test_Case=Loc,0.6
34,la_perseus-ud-train_Case=Loc,0.6
35,tr_kenet-ud-dev_Case=Loc,597.42561043196
36,tr_kenet-ud-test_Case=Loc,227.6123019522451
