,Treebank,am_att-ud-test_Case=Mal
0,fi_ood-ud-test_Case=Par,10.897738568665991
1,sah_yktdt-ud-test_Case=Par,6.362389488234747
2,sms_giellagas-ud-test_Case=Par,0.6
3,et_ewt-ud-train_Case=Par,49.17825721722743
4,et_ewt-ud-test_Case=Par,44.08996594411147
5,et_ewt-ud-dev_Case=Par,31.66907008423203
6,olo_kkpp-ud-test_Case=Par,139.74033061360632
7,olo_kkpp-ud-train_Case=Par,0.6
8,vep_vwt-ud-test_Case=Par,0.6
9,fi_tdt-ud-train_Case=Par,18.720815514873006
10,fi_tdt-ud-test_Case=Par,18.678313628376625
11,fi_tdt-ud-dev_Case=Par,17.1175951620932
12,ru_taiga-ud-train_Case=Par,46.66219026149544
13,ru_taiga-ud-dev_Case=Par,0.6
14,ru_taiga-ud-test_Case=Par,0.6
15,fi_pud-ud-test_Case=Par,21.83182541558838
16,et_edt-ud-dev_Case=Par,91.58846272970362
17,et_edt-ud-train_Case=Par,80.27249799210395
18,et_edt-ud-test_Case=Par,81.79462716497856
19,ru_syntagrus-ud-train_Case=Par,84.27253407842913
20,ru_syntagrus-ud-dev_Case=Par,0.6
21,ru_syntagrus-ud-test_Case=Par,0.6
22,ru_poetry-ud-dev_Case=Par,0.6
23,ru_poetry-ud-train_Case=Par,12.383860464330176
24,krl_kkpp-ud-test_Case=Par,35.22207500845506
25,eu_bdt-ud-train_Case=Par,29.09199847036982
26,eu_bdt-ud-test_Case=Par,17.72343081911626
27,eu_bdt-ud-dev_Case=Par,11.30163102854298
28,fi_ftb-ud-dev_Case=Par,9.420162300818061
29,fi_ftb-ud-train_Case=Par,11.326520740824254
30,fi_ftb-ud-test_Case=Par,11.590310409187083
31,ru_gsd-ud-dev_Case=Par,0.6
32,ru_gsd-ud-train_Case=Par,0.6
