,Treebank,fi_ood-ud-test_Case=Par,sah_yktdt-ud-test_Case=Par,sms_giellagas-ud-test_Case=Par,et_ewt-ud-train_Case=Par,et_ewt-ud-test_Case=Par,et_ewt-ud-dev_Case=Par,olo_kkpp-ud-test_Case=Par,olo_kkpp-ud-train_Case=Par,vep_vwt-ud-test_Case=Par,fi_tdt-ud-train_Case=Par,fi_tdt-ud-test_Case=Par,fi_tdt-ud-dev_Case=Par,ru_taiga-ud-train_Case=Par,ru_taiga-ud-dev_Case=Par,ru_taiga-ud-test_Case=Par,fi_pud-ud-test_Case=Par,et_edt-ud-dev_Case=Par,et_edt-ud-train_Case=Par,et_edt-ud-test_Case=Par,ru_syntagrus-ud-train_Case=Par,ru_syntagrus-ud-dev_Case=Par,ru_syntagrus-ud-test_Case=Par,ru_poetry-ud-dev_Case=Par,ru_poetry-ud-train_Case=Par,krl_kkpp-ud-test_Case=Par,eu_bdt-ud-train_Case=Par,eu_bdt-ud-test_Case=Par,eu_bdt-ud-dev_Case=Par,fi_ftb-ud-dev_Case=Par,fi_ftb-ud-train_Case=Par,fi_ftb-ud-test_Case=Par,ru_gsd-ud-dev_Case=Par,ru_gsd-ud-train_Case=Par
0,sah_yktdt-ud-test_Case=Cmp,9.961042212637476,5.542562584220407,1.0,48.29837284690319,43.21959645815241,30.79074536285213,138.84523758487362,1.0,1.0,17.800626985468384,17.760050675603377,16.189549170238305,45.760244754590204,1.0,1.0,20.92150278882548,90.70458532680671,79.39432365368505,80.92028140181397,83.39964028699404,1.0,1.0,1.0,11.489125293076057,34.33674920080543,28.186599209553464,16.803571049035977,10.372927896023123,8.493845726204494,10.403091508297827,10.675569145685767,1.0,1.0
1,ml_ufal-ud-test_Case=Cmp,9.04479680385868,4.890807704254994,2.23606797749979,47.38011900366369,42.307605912005236,29.87925701887515,137.9202668210876,2.23606797749979,2.23606797749979,16.881637727113382,16.8516883427151,15.270973313154252,44.654227123532216,2.23606797749979,2.23606797749979,20.018147469118485,89.77700170200647,78.47861308679823,80.0179021808338,82.40449016892222,2.23606797749979,2.23606797749979,2.23606797749979,10.677078252031311,33.468245499131314,27.17276899765646,15.822768405054786,9.375783990887749,7.54490272068063,9.436934170724292,9.746298424288852,2.23606797749979,2.23606797749979
2,egy_ujaen-ud-test_Case=Cmp,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
3,mdf_jr-ud-test_Case=Cmp,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
4,myv_jr-ud-test_Case=Cmp,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
5,myv_jr-ud-train_Case=Cmp,7.455135804265064,9.3552124508212,12.84523257866513,40.15986120881816,35.314181467823694,23.355299184553385,129.88456413292536,12.84523257866513,12.84523257866513,11.233683919761969,11.316333328424008,9.958923336433358,37.656340767525464,12.84523257866513,12.84523257866513,13.746400118975444,81.98366788152356,70.77993687789609,72.36901104983112,75.0299940023988,12.84523257866513,12.84523257866513,12.84523257866513,8.48528137423857,26.346222818273656,20.47521367409874,10.69392350823588,7.739853063449395,7.502483534949847,7.482350531385239,7.723469887986469,12.84523257866513,12.84523257866513
6,kpv_lattice-ud-test_Case=Cmp,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
7,sjo_xdt-ud-test_Case=Cmp,8.365043593349267,8.36181798414675,10.63014581273465,42.89377200481829,37.993584529153885,25.914667661384353,132.81566172707193,10.63014581273465,10.63014581273465,13.752673696882095,13.737517970870867,12.379320245930069,40.22437072223753,10.63014581273465,10.63014581273465,16.516477369752433,84.89386820101606,73.68494751414585,75.23116578775796,77.70778596768795,10.63014581273465,10.63014581273465,10.63014581273465,9.486832980505138,29.248192937743298,23.216037021851943,12.944496900227525,8.614697774819456,7.969135294887515,8.676635223051196,8.883419668425585,10.63014581273465,10.63014581273465
8,koi_uh-ud-train_Case=Cmp,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
9,gu_gujtb-ud-test_Case=Cmp,9.961042212637476,5.542562584220407,1.0,48.29837284690319,43.21959645815241,30.79074536285213,138.84523758487362,1.0,1.0,17.800626985468384,17.760050675603377,16.189549170238305,45.760244754590204,1.0,1.0,20.92150278882548,90.70458532680671,79.39432365368505,80.92028140181397,83.39964028699404,1.0,1.0,1.0,11.489125293076057,34.33674920080543,28.186599209553464,16.803571049035977,10.372927896023123,8.493845726204494,10.403091508297827,10.675569145685767,1.0,1.0
