,Treebank,fi_ood-ud-test_Case=Par,sah_yktdt-ud-test_Case=Par,sms_giellagas-ud-test_Case=Par,et_ewt-ud-train_Case=Par,et_ewt-ud-test_Case=Par,et_ewt-ud-dev_Case=Par,olo_kkpp-ud-test_Case=Par,olo_kkpp-ud-train_Case=Par,vep_vwt-ud-test_Case=Par,fi_tdt-ud-train_Case=Par,fi_tdt-ud-test_Case=Par,fi_tdt-ud-dev_Case=Par,ru_taiga-ud-train_Case=Par,ru_taiga-ud-dev_Case=Par,ru_taiga-ud-test_Case=Par,fi_pud-ud-test_Case=Par,et_edt-ud-dev_Case=Par,et_edt-ud-train_Case=Par,et_edt-ud-test_Case=Par,ru_syntagrus-ud-train_Case=Par,ru_syntagrus-ud-dev_Case=Par,ru_syntagrus-ud-test_Case=Par,ru_poetry-ud-dev_Case=Par,ru_poetry-ud-train_Case=Par,krl_kkpp-ud-test_Case=Par,eu_bdt-ud-train_Case=Par,eu_bdt-ud-test_Case=Par,eu_bdt-ud-dev_Case=Par,fi_ftb-ud-dev_Case=Par,fi_ftb-ud-train_Case=Par,fi_ftb-ud-test_Case=Par,ru_gsd-ud-dev_Case=Par,ru_gsd-ud-train_Case=Par
0,hu_szeged-ud-dev_Case=Ela,9.885417793116108,5.48171007638837,1.0827689526491961,48.22459144873993,43.146883543616866,30.71704711067481,138.77245407582313,1.0827689526491961,1.0827689526491961,17.725318351501492,17.68486616594889,16.112834022758697,45.68765235590477,1.0827689526491961,1.0827689526491961,20.847390429101733,90.63115419987308,79.3218038301738,80.84778950505893,83.32918738164858,1.0827689526491961,1.0827689526491961,1.0827689526491961,11.418782983358483,34.26467010153047,28.113693044098532,16.72940313177256,10.29940357732466,8.418058650016688,10.32764975567889,10.600557788192054,1.0827689526491961,1.0827689526491961
1,hu_szeged-ud-test_Case=Ela,9.824811150971227,5.435784681353816,1.146066921150376,48.17092614618204,43.09423572598578,30.664507835873163,138.71089888465056,1.146066921150376,1.146066921150376,17.666748479719015,17.625250092305826,16.054528240352287,45.62986848500863,1.146066921150376,1.146066921150376,20.78942009869517,90.57528541229799,79.26604249231538,80.79235985869279,83.27329728560247,1.146066921150376,1.146066921150376,1.146066921150376,11.36029605822895,34.20403910735169,28.05672802100947,16.67227932705015,10.24207564475389,8.363458362033278,10.271680282486738,10.545438484241394,1.146066921150376,1.146066921150376
2,hu_szeged-ud-train_Case=Ela,9.737942539607031,5.366011002045567,1.2450962012087863,48.085702836528476,43.010121865555945,30.579450685596107,138.6264059379757,1.2450962012087863,1.2450962012087863,17.580062698044927,17.538895037984553,15.966460169772228,45.545140117907074,1.2450962012087863,1.2450962012087863,20.70372580847206,90.49035924936705,79.18201544835301,80.7084928704386,83.19094184003932,1.2450962012087863,1.2450962012087863,1.2450962012087863,11.281862580284486,34.12101092059533,27.971799089657594,16.58616112127037,10.156716334394115,8.276542206468045,10.184971284112374,10.459320357688195,1.2450962012087863,1.2450962012087863
3,fi_ood-ud-test_Case=Ela,8.998458448520466,4.814770740419493,2.068522117325686,47.38187838150884,42.316430769869235,29.88168754966382,137.88573671174362,2.068522117325686,2.068522117325686,16.83785907561243,16.799543172828653,15.221102944358076,44.8482175352064,2.068522117325686,2.068522117325686,19.965115679080796,89.77284168985972,78.46827396462889,80.00006982671074,82.49148229977042,2.068522117325686,2.068522117325686,2.068522117325686,10.585708614147567,33.3938130724545,27.247075601057553,15.858256295441231,9.439489488110036,7.532953363909611,9.433243479345963,9.724102153585948,2.068522117325686,2.068522117325686
4,et_ewt-ud-train_Case=Ela,9.287951859774246,5.026960698688501,1.731320857985841,47.65899365889192,42.58897676713949,30.155109073363146,138.18354125801994,1.731320857985841,1.731320857985841,17.12917889617888,17.090202458176,15.512326868761333,45.12441645194745,1.731320857985841,1.731320857985841,20.255673874317775,90.05596233360274,78.75060278169072,80.27979388562198,82.77090505992156,1.731320857985841,1.731320857985841,1.731320857985841,10.863903899622494,33.68277132799198,27.532819169585256,16.14351347968751,9.720634132864708,7.824110079358018,9.729280520409908,10.012075037847376,1.731320857985841,1.731320857985841
5,et_ewt-ud-test_Case=Ela,9.289105960199917,5.028606632171353,1.7364217584408124,47.66218195706018,42.59439654253524,30.160787316608122,138.18097075127446,1.7364217584408124,1.7364217584408124,17.132614015455406,17.09027980963046,15.515226137301575,45.1203141249048,1.7364217584408124,1.7364217584408124,20.262061814944,90.06049207985049,78.75513109191381,80.28383310578687,82.76617242843975,1.7364217584408124,1.7364217584408124,1.7364217584408124,10.864271807281748,33.68317446195329,27.54051813186278,16.150295881961753,9.725819939734139,7.828820878354742,9.733290600879002,10.016614256706456,1.7364217584408124,1.7364217584408124
6,et_ewt-ud-dev_Case=Ela,9.267678762097876,5.012064067633203,1.7642602345031582,47.640723120528584,42.57241585482936,30.138226917022354,138.15934672432888,1.7642602345031582,1.7642602345031582,17.109441405169406,17.069257191124912,15.492885740263905,45.10137602724991,1.7642602345031582,1.7642602345031582,20.23690889889058,90.0379068660114,78.73233247318065,80.26216063156153,82.74406538302631,1.7642602345031582,1.7642602345031582,1.7642602345031582,10.83923236493575,33.66167306374177,27.514955853620084,16.12596687716542,9.701998506493089,7.802622809516808,9.706773465763549,9.991775878044617,1.7642602345031582,1.7642602345031582
7,egy_ujaen-ud-test_Case=Ela,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
8,olo_kkpp-ud-test_Case=Ela,9.577216552715171,5.2635571635164595,1.4021363680319483,47.946064930313305,42.87070092889122,30.439210078516847,138.4681991537073,1.4021363680319483,1.4021363680319483,17.42258490155565,17.38241190219053,15.809749320856877,45.41359441646443,1.4021363680319483,1.4021363680319483,20.543122890781525,90.34065222238446,79.0325024953683,80.56111072085557,83.06101765004583,1.4021363680319483,1.4021363680319483,1.4021363680319483,11.157499537009505,33.95592418268166,27.820284300082466,16.43579965210338,10.011324747187865,8.127422823393013,10.03149230392212,10.308975368442471,1.4021363680319483,1.4021363680319483
9,olo_kkpp-ud-train_Case=Ela,9.961042212637476,5.542562584220407,1.0,48.29837284690319,43.21959645815241,30.79074536285213,138.84523758487362,1.0,1.0,17.800626985468384,17.760050675603377,16.189549170238305,45.760244754590204,1.0,1.0,20.92150278882548,90.70458532680671,79.39432365368505,80.92028140181397,83.39964028699404,1.0,1.0,1.0,11.489125293076057,34.33674920080543,28.186599209553464,16.803571049035977,10.372927896023123,8.493845726204494,10.403091508297827,10.675569145685767,1.0,1.0
10,mdf_jr-ud-test_Case=Ela,12.671392499022403,16.425183915763824,20.728402414722332,34.45362894601428,29.99538283952633,19.114654064355964,123.06096050332128,20.728402414722332,20.728402414722332,11.02598513403933,11.072762377413627,10.784421612983003,31.68595903550972,20.728402414722332,20.728402414722332,12.053211207464965,75.54188706452031,64.52209422695029,66.10380589852578,68.81496930174423,20.728402414722332,20.728402414722332,20.728402414722332,12.754084313139328,21.704525328905177,16.3217965208082,11.001212054435944,12.58438969141235,13.690906598717048,12.658001856940043,12.656354745005995,20.728402414722332,20.728402414722332
