,Treebank,ess_sli-ud-test_Case=Per,tpn_tudet-ud-test_Case=Per,wbp_ufal-ud-test_Case=Per
0,xcl_caval-ud-train_Case=Abl,0.7684218867318449,1.9351894565771866,1.9351894565771866
1,xcl_caval-ud-dev_Case=Abl,0.44726734067447,1.5405111778306224,1.5405111778306224
2,xcl_caval-ud-test_Case=Abl,0.6465290820197417,1.7956245877591162,1.7956245877591162
3,hu_szeged-ud-dev_Case=Abl,0.39528470752104744,1.2204848763230673,1.2204848763230673
4,hu_szeged-ud-test_Case=Abl,0.37726968478753725,1.1853095282186634,1.1853095282186634
5,hu_szeged-ud-train_Case=Abl,0.3839170356332643,1.3230899037571242,1.3230899037571242
6,tr_pud-ud-test_Case=Abl,0.4492450753775412,1.5705228683121009,1.5705228683121009
7,fi_ood-ud-test_Case=Abl,0.7580149717677533,1.9451830310337004,1.9451830310337004
8,sah_yktdt-ud-test_Case=Abl,0.4714045207910317,1.4638501094227998,1.4638501094227998
9,sa_vedic-ud-test_Case=Abl,3.5896107898687006,4.835176356148253,4.835176356148253
10,sa_vedic-ud-train_Case=Abl,4.926353610410651,6.156303355579317,6.156303355579317
11,sa_vedic-ud-dev_Case=Abl,7.635040770459241,8.84095777816305,8.84095777816305
12,la_circse-ud-test_Case=Abl,1.8172460684487297,3.0524509968820435,3.0524509968820435
13,tr_atis-ud-dev_Case=Abl,18.75227995397419,19.847563609924517,19.847563609924517
14,tr_atis-ud-train_Case=Abl,16.932228391942292,18.015411712519857,18.015411712519857
15,tr_atis-ud-test_Case=Abl,23.647953282354997,24.740949523681046,24.740949523681046
16,hi_pud-ud-test_Case=Abl,1.3743685418725535,0.0,0.0
17,la_perseus-ud-test_Case=Abl,0.9709391128435874,2.1645814420642675,2.1645814420642675
18,la_perseus-ud-train_Case=Abl,1.1600646863541193,2.37784999625236,2.37784999625236
19,tr_kenet-ud-dev_Case=Abl,0.5111521978775438,1.6370949844766072,1.6370949844766072
20,tr_kenet-ud-test_Case=Abl,0.8036083597213861,1.9732560939189738,1.9732560939189738
21,tr_kenet-ud-train_Case=Abl,0.5343131260960686,1.661973692717177,1.661973692717177
22,ess_sli-ud-test_Case=Abl,116.48271211738772,117.45211790342479,117.45211790342479
23,ky_tuecl-ud-test_Case=Abl,0.4714045207910316,1.0,1.0
24,hit_hittb-ud-test_Case=Abl,0.4275213333470017,1.0796668344321692,1.0796668344321692
25,sa_ufal-ud-test_Case=Abl,1.3718914562750413,2.543499116394979,2.543499116394979
26,et_ewt-ud-train_Case=Abl,0.3590109871423003,1.2835136958394355,1.2835136958394355
27,et_ewt-ud-test_Case=Abl,0.3837597319768145,1.3211972336398206,1.3211972336398206
