,Treebank,ess_sli-ud-test_Case=Per,tpn_tudet-ud-test_Case=Per,wbp_ufal-ud-test_Case=Per
0,hu_szeged-ud-dev_Case=Ter,0.4444444444444444,1.469861839480328,1.469861839480328
1,hu_szeged-ud-test_Case=Ter,0.4714045207910316,1.0,1.0
2,hu_szeged-ud-train_Case=Ter,0.40397332145136067,1.1288514320120056,1.1288514320120056
3,et_ewt-ud-train_Case=Ter,0.43269183285823903,1.4713938969562161,1.4713938969562161
4,et_ewt-ud-test_Case=Ter,0.4249182927993987,1.2747548783981961,1.2747548783981961
5,et_ewt-ud-dev_Case=Ter,0.4109609335312651,1.2165525060596438,1.2165525060596438
6,olo_kkpp-ud-test_Case=Ter,1.2472191289246473,2.23606797749979,2.23606797749979
7,vep_vwt-ud-test_Case=Ter,0.4714045207910316,1.0,1.0
8,kpv_ikdp-ud-test_Case=Ter,1.247219128924647,2.23606797749979,2.23606797749979
9,kpv_lattice-ud-test_Case=Ter,2.2141577023928893,3.431546328418375,3.431546328418375
10,et_edt-ud-dev_Case=Ter,0.383701354132235,1.1658100334413286,1.1658100334413286
11,et_edt-ud-train_Case=Ter,0.3706031533172205,1.2325679372360732,1.2325679372360732
12,et_edt-ud-test_Case=Ter,0.3888865282309397,1.2567485880964147,1.2567485880964147
13,ab_abnc-ud-test_Case=Ter,0.4714045207910316,1.0,1.0
14,gu_gujtb-ud-test_Case=Ter,0.4714045207910316,1.0,1.0
