,Treebank,mdf_jr-ud-test_Case=Prl,myv_jr-ud-test_Case=Prl,myv_jr-ud-train_Case=Prl,kpv_ikdp-ud-test_Case=Prl,kpv_lattice-ud-test_Case=Prl,koi_uh-ud-test_Case=Prl
0,fi_ood-ud-test_Case=Abe,5.305919126577202,5.0675129501561225,5.1308465941828105,6.6248689714505975,4.738289658609833,5.734883511361751
1,sms_giellagas-ud-test_Case=Abe,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
2,sms_giellagas-ud-train_Case=Abe,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
3,et_ewt-ud-train_Case=Abe,3.4080486965956553,3.1696163088537186,3.2351470356381546,4.723895928549249,2.894424423570975,3.8273392947447844
4,et_ewt-ud-test_Case=Abe,9.380091210170141,9.140825318317816,9.199469890773338,10.661457061146319,8.788012668781645,9.797958971132713
5,et_ewt-ud-dev_Case=Abe,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
6,gub_tudet-ud-test_Case=Abe,1.1486707293408518,1.086134199811423,1.1052801096136653,2.23606797749979,1.25,1.4142135623730951
7,olo_kkpp-ud-test_Case=Abe,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
8,olo_kkpp-ud-train_Case=Abe,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
9,mdf_jr-ud-test_Case=Abe,0.565194165260439,0.6555055301063447,0.6567507442420107,1.5811388300841898,1.14564392373896,0.7071067811865476
10,fi_tdt-ud-train_Case=Abe,10.701440712975675,10.455220320224937,10.516195686619469,12.021392967908872,10.084710649735513,11.136152337719203
11,fi_tdt-ud-test_Case=Abe,7.701911739590661,7.461882302743725,7.51958940141474,9.0,7.110731326663946,8.12403840463596
12,fi_tdt-ud-dev_Case=Abe,2.0783273188899876,1.863157042942614,1.9305492650522074,3.3166247903554,1.75,2.449489742783178
13,myv_jr-ud-test_Case=Abe,0.4275251779460221,0.4929714325732611,0.519024138351452,1.6370705543744901,1.0210288928331068,0.692820323027551
14,myv_jr-ud-train_Case=Abe,0.5164526657972348,0.5841678918344795,0.6004592379846708,1.6350747346085137,1.0791389235527236,0.7284313590846835
15,kpv_ikdp-ud-test_Case=Abe,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
16,kpv_lattice-ud-test_Case=Abe,1.3017082793177757,1.1238419966050979,1.1698707303482367,2.6246692913372702,1.0960788698304922,1.699673171197595
17,fi_pud-ud-test_Case=Abe,1.1486707293408518,1.0269797953221864,1.0905897744759334,2.23606797749979,1.25,1.4142135623730951
18,et_edt-ud-dev_Case=Abe,2.4535814085526204,2.2201161895409274,2.2839586030566776,3.7916412290559007,1.9847022975440278,2.874966451763469
19,et_edt-ud-train_Case=Abe,3.443620417443053,3.201653138115434,3.2648776463334186,4.787656304765619,2.904943776927092,3.8746047519032274
20,et_edt-ud-test_Case=Abe,3.011551833265442,2.788088502899433,2.850415746370906,4.286607049870562,2.5495097567963922,3.409545424246464
21,koi_uh-ud-test_Case=Abe,0.9052317076000179,0.7856128181235335,0.8205224091598003,2.1213203435596424,1.0307764064044151,1.224744871391589
22,sme_giella-ud-train_Case=Abe,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
23,sme_giella-ud-test_Case=Abe,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
24,arr_tudet-ud-test_Case=Abe,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
25,krl_kkpp-ud-test_Case=Abe,1.1486707293408518,1.0269797953221864,1.0905897744759334,2.23606797749979,1.25,1.4142135623730951
26,fi_ftb-ud-dev_Case=Abe,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
27,fi_ftb-ud-train_Case=Abe,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
28,fi_ftb-ud-test_Case=Abe,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
29,ab_abnc-ud-test_Case=Abe,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
