,Treebank,mdf_jr-ud-test_Case=Prl,myv_jr-ud-test_Case=Prl,myv_jr-ud-train_Case=Prl,kpv_ikdp-ud-test_Case=Prl,kpv_lattice-ud-test_Case=Prl,koi_uh-ud-test_Case=Prl
0,hu_szeged-ud-dev_Case=Ade,0.4135298591933168,0.6123724356957945,0.601259571500113,1.3375584099395434,1.202211503854459,0.4050462936504913
1,hu_szeged-ud-test_Case=Ade,0.35238923402268596,0.5636972247084282,0.5561081373518258,1.3144621146642357,1.1856202032152579,0.335299918733898
2,hu_szeged-ud-train_Case=Ade,0.4055175020198813,0.6322084308200896,0.6173817698473566,1.2629330940315089,1.2379418403139948,0.3082207001484488
3,fi_ood-ud-test_Case=Ade,0.44793354065583124,0.39955073925587953,0.452751684025062,1.7886065521032837,0.8982699977055771,0.8146657764756383
4,et_ewt-ud-train_Case=Ade,0.5466313346495155,0.45152302483665563,0.5115457878590479,1.897422799077966,0.8705227515277416,0.9298928155685491
5,et_ewt-ud-test_Case=Ade,0.5307898198667684,0.44904340473816445,0.5027431157663719,1.8771070193697335,0.8762699036172061,0.9091540382121331
6,et_ewt-ud-dev_Case=Ade,0.8063788895923845,0.6630660870550305,0.7249791293489398,2.166296264635297,0.8691027017406168,1.2126901021904224
7,olo_kkpp-ud-test_Case=Ade,0.692899173321085,0.5720091128712517,0.6114081912322118,2.0006924009208644,0.8956071618548229,1.0526315789473684
8,vep_vwt-ud-test_Case=Ade,0.40892813821284324,0.43744047214068654,0.46458332847261435,1.6593171286204857,0.9827681991870378,0.697614984548545
9,fi_tdt-ud-train_Case=Ade,0.7480921220706294,0.5818996531193558,0.647859323565749,2.1333499449356674,0.8192926795906895,1.1640891530224247
10,fi_tdt-ud-test_Case=Ade,0.7795030498102006,0.605457616832635,0.6716292831762805,2.160771997383269,0.8273296191415068,1.19408613676893
11,fi_tdt-ud-dev_Case=Ade,0.778548856524409,0.6082374586643352,0.6728073985128579,2.171466165088107,0.812786841047265,1.2004080938733854
12,fi_pud-ud-test_Case=Ade,0.9933630401078154,0.7937086266463103,0.858771974969606,2.3950690043825595,0.8488211394627502,1.4264862419387834
13,et_edt-ud-dev_Case=Ade,0.452410835674955,0.41325294287115083,0.4553245754337081,1.7767514466365293,0.907332327829776,0.8046556425732687
14,et_edt-ud-train_Case=Ade,0.4727462478743372,0.42339011802900955,0.46756057950745095,1.8041476170465596,0.8972075749199452,0.8331528819533678
15,et_edt-ud-test_Case=Ade,0.3820553027249822,0.4122454233372397,0.44576178056449806,1.6708159613082763,0.9602576355137719,0.6989284488146839
16,krl_kkpp-ud-test_Case=Ade,0.34224734699888876,0.38801209442060786,0.4126119016619372,1.6152048534938224,0.9679936563583462,0.6491430649325309
17,fi_ftb-ud-dev_Case=Ade,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
18,fi_ftb-ud-train_Case=Ade,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
19,fi_ftb-ud-test_Case=Ade,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
