,Treebank,mdf_jr-ud-test_Case=Prl,myv_jr-ud-test_Case=Prl,myv_jr-ud-train_Case=Prl,kpv_ikdp-ud-test_Case=Prl,kpv_lattice-ud-test_Case=Prl,koi_uh-ud-test_Case=Prl
0,hu_szeged-ud-dev_Case=Ela,0.4985878117465753,0.7538516571827997,0.7322175751208821,1.0827689526491961,1.3674881132778347,0.10112587531821468
1,hu_szeged-ud-test_Case=Ela,0.452042479893337,0.6954373287588843,0.6785713894517762,1.146066921150376,1.3164772101703697,0.16659862556700852
2,hu_szeged-ud-train_Case=Ela,0.39423759387364415,0.6250330679082795,0.6103467131854347,1.2450962012087863,1.2415055291201802,0.27216552697590873
3,fi_ood-ud-test_Case=Ela,0.7472001302391107,0.6261820696861868,0.6666414870915199,2.068522117325686,0.8873508518600048,1.1201926861291118
4,et_ewt-ud-train_Case=Ela,0.4348683957269189,0.4273532423747475,0.4599055589745661,1.731320857985841,0.9370985708444164,0.763760760418742
5,et_ewt-ud-test_Case=Ela,0.45625451890576557,0.4360945802882644,0.4688724254496142,1.7364217584408124,0.9469033955098386,0.7754788325534144
6,et_ewt-ud-dev_Case=Ela,0.48004761875024093,0.45565804688856304,0.4898082569432418,1.7642602345031582,0.9406336132650042,0.8063799251291472
7,egy_ujaen-ud-test_Case=Ela,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
8,olo_kkpp-ud-test_Case=Ela,0.3775893220750882,0.5426632642508122,0.5390260680662615,1.4021363680319483,1.1463859211766816,0.45175395145262554
9,olo_kkpp-ud-train_Case=Ela,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
10,mdf_jr-ud-test_Case=Ela,19.347336882487067,19.111128775024135,19.150679513822418,20.728402414722332,18.674291597452008,19.8158185969358
11,mdf_jr-ud-train_Case=Ela,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
12,vep_vwt-ud-test_Case=Ela,0.4166666666666667,0.5025974200756175,0.5311572193572617,1.541103500742244,1.0897247358851685,0.6123724356957945
13,fi_tdt-ud-train_Case=Ela,0.9930142199499619,0.842870479401928,0.8823315397230777,2.3139522010695543,0.9423904231459321,1.3773675690615153
14,fi_tdt-ud-test_Case=Ela,0.8297734837220303,0.7018651908263794,0.7408066732175165,2.1435170928508476,0.9072933110872966,1.202592211576206
15,fi_tdt-ud-dev_Case=Ela,0.9580273338486474,0.8069535664610913,0.8476067506378301,2.2829522933712147,0.926326929895007,1.3433656817130493
16,myv_jr-ud-test_Case=Ela,0.4753638400941434,0.34951616335000385,0.38369890889098357,1.8503197558178164,0.8259913014930927,0.8812629433036954
17,myv_jr-ud-train_Case=Ela,0.9847246009329411,0.7955512464412875,0.8212522028070491,2.383275057562597,0.8104231698845452,1.4322808982279183
18,kpv_ikdp-ud-test_Case=Ela,2.661453237111885,2.404964483452233,2.455218062333939,4.123105625617661,2.0155644370746373,3.1622776601683795
19,kpv_lattice-ud-test_Case=Ela,1.885523924733126,1.6497726608847878,1.6957786371566734,3.336825538583822,1.27115050008413,2.3991720022888807
20,kpv_lattice-ud-train_Case=Ela,1.1486707293408518,1.086134199811423,1.1052801096136653,2.23606797749979,1.25,1.4142135623730951
21,fi_pud-ud-test_Case=Ela,1.5085283778015222,1.3299618512099831,1.368879306497363,2.8276189821937745,1.2243796711195396,1.9068172393492644
22,et_edt-ud-dev_Case=Ela,0.6722872733936227,0.5843046033523241,0.6178615030347665,1.96396624581025,0.9132281562246062,1.02044433321392
23,et_edt-ud-train_Case=Ela,0.5843548313182084,0.5250231885000095,0.5561079589589829,1.8700246112386445,0.9216089600603921,0.9208940422971585
24,et_edt-ud-test_Case=Ela,0.6904503270232543,0.591536271155476,0.6269727091276464,1.9906393640009086,0.9050215447318706,1.04559825370004
25,wbp_ufal-ud-test_Case=Ela,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
26,koi_uh-ud-train_Case=Ela,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
27,koi_uh-ud-test_Case=Ela,2.480479344356203,2.330168985288406,2.364870369099135,3.8078865529319543,2.0766559657295187,2.9154759474226504
28,krl_kkpp-ud-test_Case=Ela,0.4245520515136447,0.48698477046686645,0.5027590887818514,1.555892027102138,1.0692520750505934,0.6170899448216606
29,fi_ftb-ud-dev_Case=Ela,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
30,fi_ftb-ud-train_Case=Ela,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
31,fi_ftb-ud-test_Case=Ela,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
