,Treebank,mdf_jr-ud-test_Case=Prl,myv_jr-ud-test_Case=Prl,myv_jr-ud-train_Case=Prl,kpv_ikdp-ud-test_Case=Prl,kpv_lattice-ud-test_Case=Prl,koi_uh-ud-test_Case=Prl
0,hi_pud-ud-test_Case=Erg,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
1,ess_sli-ud-test_Case=Erg,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
2,mr_ufal-ud-dev_Case=Erg,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
3,mr_ufal-ud-test_Case=Erg,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
4,mr_ufal-ud-train_Case=Erg,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
5,wbp_ufal-ud-test_Case=Erg,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
6,ka_glc-ud-test_Case=Erg,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
7,eu_bdt-ud-train_Case=Erg,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
8,eu_bdt-ud-test_Case=Erg,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
9,eu_bdt-ud-dev_Case=Erg,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
10,gu_gujtb-ud-test_Case=Erg,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
