,Treebank,mdf_jr-ud-test_Case=Prl,myv_jr-ud-test_Case=Prl,myv_jr-ud-train_Case=Prl,kpv_ikdp-ud-test_Case=Prl,kpv_lattice-ud-test_Case=Prl,koi_uh-ud-test_Case=Prl
0,hu_szeged-ud-dev_Case=Ill,0.36974043460340694,0.5973269869884975,0.5839181887624514,1.278845324000557,1.2127129237562213,0.29998469504883835
1,hu_szeged-ud-test_Case=Ill,0.3591904864088838,0.5560155880912744,0.5493350440621421,1.3689738821885769,1.1575039077973246,0.4054775835476301
2,hu_szeged-ud-train_Case=Ill,0.4312270748961117,0.6782130888055468,0.6605109733808372,1.1689791895833785,1.2957670877434,0.18215107011950007
3,fi_ood-ud-test_Case=Ill,0.549847655668772,0.47617451282766765,0.5123474042513343,1.8756033695853715,0.884526992239355,0.910981887855077
4,sms_giellagas-ud-test_Case=Ill,4.686301287058528,4.445388354627387,4.492905526995962,6.117168714889247,4.011653549040702,5.1830683509736
5,sms_giellagas-ud-train_Case=Ill,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
6,et_ewt-ud-train_Case=Ill,5.2463590218077165,5.025115190562991,5.07057111530828,6.5912452584836325,4.661357419844144,5.685122712147314
7,et_ewt-ud-test_Case=Ill,4.006724902516324,3.776782691657014,3.8246963520289716,5.397629109155241,3.4142202623732407,4.46031389029965
8,et_ewt-ud-dev_Case=Ill,10.362041959973281,10.125404846349065,10.174709363322139,11.756269669551216,9.709396301686828,10.826351026232702
9,egy_ujaen-ud-test_Case=Ill,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
10,si_stb-ud-test_Case=Ill,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
11,lt_alksnis-ud-test_Case=Ill,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
12,lt_alksnis-ud-dev_Case=Ill,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
13,lt_alksnis-ud-train_Case=Ill,0.5651941652604391,0.8244316223920575,0.8006241061929585,1.0,1.4361406616345072,0.0
14,olo_kkpp-ud-test_Case=Ill,0.5202190657762431,0.4505400277090232,0.4916158189626363,1.842143079204315,0.8848243900251801,0.8821034570138243
15,olo_kkpp-ud-train_Case=Ill,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
16,mdf_jr-ud-test_Case=Ill,7.331202341893025,7.102486360423369,7.1396546355027555,8.705242673240075,6.654415827103082,7.812249995999872
17,mdf_jr-ud-train_Case=Ill,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
18,vep_vwt-ud-test_Case=Ill,0.4362084109434134,0.48787378832371525,0.5046866719427298,1.635542723379613,1.0185774393731681,0.6892024376045112
19,fi_tdt-ud-train_Case=Ill,0.6125458416568137,0.5058622552881682,0.5458723771718756,1.960920608682236,0.8517158961675223,0.9932698373077208
20,fi_tdt-ud-test_Case=Ill,0.6177801368494467,0.5093112657024926,0.5502073846752744,1.9640267731056948,0.854544318957288,0.9976633700596244
21,fi_tdt-ud-dev_Case=Ill,0.5673951812207857,0.47831280004257654,0.5151934522597987,1.9045597042899167,0.8685088356018514,0.937133260184627
22,myv_jr-ud-test_Case=Ill,0.3335516171424399,0.3581368899399495,0.383154431336088,1.7104654390763518,0.8850276749841058,0.7407042850873679
23,myv_jr-ud-train_Case=Ill,0.26841776117439603,0.42592354757548895,0.4276051159152031,1.5026261478525773,1.0243332366212157,0.5348404942548599
24,kpv_ikdp-ud-test_Case=Ill,0.8553751613570894,0.6542330114976875,0.6919887439712189,2.3108440016582685,0.6211548384528074,1.3686976778431874
25,kpv_lattice-ud-test_Case=Ill,8.022378705265847,7.774446438941668,7.814391545099023,9.44519638196462,7.271958302343352,8.548033548777191
26,kpv_lattice-ud-train_Case=Ill,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
27,fi_pud-ud-test_Case=Ill,0.6364776557180728,0.5281183137207014,0.5656445030851087,1.983108213213122,0.8512519897299644,1.017191707411669
28,et_edt-ud-dev_Case=Ill,3.0682892779153863,2.8581440458138765,2.904407406715702,4.410228268319544,2.5554785308317403,3.497974794706087
29,et_edt-ud-train_Case=Ill,3.0015086261199975,2.790240069578298,2.8369716188311873,4.347833450101511,2.4888667293798714,3.4326230484631535
30,et_edt-ud-test_Case=Ill,4.020439133191347,3.801761532069289,3.8482091596130825,5.3714540403661655,3.459658274343852,4.458319738792651
31,koi_uh-ud-train_Case=Ill,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
32,koi_uh-ud-test_Case=Ill,29.850786328745922,29.600332557253477,29.636981566596354,31.25699921617557,29.095747111906235,30.364452901377952
33,sme_giella-ud-train_Case=Ill,0.44780520815862646,0.6960126659426765,0.6772376945789806,1.152010514482039,1.3117025109664666,0.1725285923127573
34,sme_giella-ud-test_Case=Ill,0.4117316978225157,0.6446806604710454,0.6304779610029324,1.2072765064707807,1.2684082695579149,0.22925506622611905
35,krl_kkpp-ud-test_Case=Ill,0.34246744460938755,0.5380039985624044,0.5297965116215034,1.3562839573037448,1.1573703697777586,0.3808697000222803
36,fi_ftb-ud-dev_Case=Ill,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
37,fi_ftb-ud-train_Case=Ill,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
38,fi_ftb-ud-test_Case=Ill,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
