,Treebank,mdf_jr-ud-test_Case=Prl,myv_jr-ud-test_Case=Prl,myv_jr-ud-train_Case=Prl,kpv_ikdp-ud-test_Case=Prl,kpv_lattice-ud-test_Case=Prl,koi_uh-ud-test_Case=Prl
0,sl_ssj-ud-test_Case=Loc,1.2396254619030178,1.041087505913574,1.0434066512366542,2.618603778329093,0.7317504791610421,1.696228630811666
1,sl_ssj-ud-dev_Case=Loc,1.2342695937993273,1.0323680017470152,1.037575592956902,2.6192505338582834,0.7327859518744132,1.692132258571466
2,sl_ssj-ud-train_Case=Loc,1.2184142810334833,1.0201785455281815,1.0229080496462566,2.599685732683534,0.7199517975931283,1.6752759658021141
3,xcl_caval-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
4,xcl_caval-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
5,xcl_caval-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
6,hu_szeged-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
7,fa_seraji-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
8,fa_seraji-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
9,fa_seraji-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
10,tr_pud-ud-test_Case=Loc,1033.4558865498054,1033.2329987410874,1033.228948662298,1034.690775062772,1032.6403354992483,1033.9206932835807
11,pl_pdb-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
12,pl_pdb-ud-train_Case=Loc,18055.690586888235,18055.445741650565,18055.46470745877,18057.104502106642,18054.885047058593,18056.1882466926
13,pl_pdb-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
14,uk_iu-ud-dev_Case=Loc,1.151859032569097,0.9573803590480653,0.9574663861077325,2.5312407050621375,0.6715995582121798,1.608509785660613
15,uk_iu-ud-train_Case=Loc,1.1796311468630987,0.9813161557286753,0.9821924494284944,2.5631727626677683,0.677492571063109,1.6390674756400339
16,uk_iu-ud-test_Case=Loc,1.1468083673125926,0.9477340247575614,0.9492372043446123,2.533995936859706,0.6582660623775366,1.6067778252627123
17,sa_vedic-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
18,sa_vedic-ud-train_Case=Loc,2097.3773802060514,2097.123641699837,2097.1528034795956,2098.8328767304088,2096.599470637579,2097.877445843245
19,sa_vedic-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
20,bn_bru-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
21,hr_set-ud-dev_Case=Loc,1.1653030238462836,0.9699964583484904,0.9770003347357761,2.5506280728351767,0.7163678756041555,1.6194512683318383
22,hr_set-ud-train_Case=Loc,1.1519392535760078,0.9547837276635374,0.9633890120779746,2.5407626679910997,0.7097497993871132,1.6071489192074304
23,hr_set-ud-test_Case=Loc,1.1118228399669026,0.9185766077570431,0.9277240653718392,2.4989825192711765,0.701372855329027,1.5644958027481373
24,orv_rnc-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
25,orv_rnc-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
26,orv_rnc-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
27,la_circse-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
28,grc_perseus-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
29,tr_atis-ud-dev_Case=Loc,10.47158799744557,10.231191378900135,10.242974419204891,11.875038059965105,9.713483216557648,10.955205562910256
30,tr_atis-ud-train_Case=Loc,53.456516390050936,53.215558459205745,53.22825150736025,54.8514508550107,52.65741148621973,53.94909814178008
31,tr_atis-ud-test_Case=Loc,12.481764476404946,12.244407737139976,12.261888198202744,13.881642554107206,11.724440285147944,12.965338406690357
32,hi_pud-ud-test_Case=Loc,0.5592210814907331,0.8182760462097621,0.7946287323883234,1.0068054866608844,1.4302436912371266,0.008657078970446205
33,la_perseus-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
34,la_perseus-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
35,tr_kenet-ud-dev_Case=Loc,596.1909532840781,595.9707176985851,595.9655183510833,597.4253091391425,595.3759841478325,596.65567960089
36,tr_kenet-ud-test_Case=Loc,226.3804258813518,226.161598368045,226.1552329398022,227.6115111324557,225.56683229884072,226.84355842738844
37,tr_kenet-ud-train_Case=Loc,338.37913236815035,338.1573560715156,338.15284342304216,339.6214166784343,337.5628373601968,338.84584498952717
38,sms_giellagas-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
39,sms_giellagas-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
40,sk_snk-ud-dev_Case=Loc,1.098539825598438,0.9081823146346968,0.9070799746161866,2.4801741740312764,0.6483841833075626,1.5539135211382462
41,sk_snk-ud-test_Case=Loc,1.0959995182613507,0.9068114777551295,0.9038510811612309,2.4719832760750484,0.6469036528438031,1.5496023215427175
42,sk_snk-ud-train_Case=Loc,1.1108535186102106,0.920532819549077,0.9164932711313423,2.4900018580421874,0.637313872454618,1.5678612433331869
43,lt_hse-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
44,lt_hse-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
45,lt_hse-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
46,ess_sli-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
47,sa_ufal-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
48,be_hse-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
49,be_hse-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
50,be_hse-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
51,gub_tudet-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
52,cs_pud-ud-test_Case=Loc,1.0647198460581235,0.8734729292895018,0.879718201537556,2.4551733023639652,0.6609331566460892,1.519445898890086
53,orv_ruthenian-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
54,orv_ruthenian-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
55,orv_ruthenian-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
56,lzh_tuecl-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
57,ml_ufal-ud-test_Case=Loc,57.79874085518165,57.57434053030916,57.5719384399519,59.07198997833068,56.98080817257684,58.27091899052219
58,apu_ufpa-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
59,egy_ujaen-ud-test_Case=Loc,0.5169884509767297,0.5439660921718045,0.5583598585260506,1.708928130064252,1.011944289047505,0.7780532504746809
60,nyq_aha-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
61,mr_ufal-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
62,mr_ufal-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
63,mr_ufal-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
64,si_stb-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
65,lt_alksnis-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
66,lt_alksnis-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
67,lt_alksnis-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
68,cu_proiel-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
69,cu_proiel-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
70,cu_proiel-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
71,hy_bsut-ud-train_Case=Loc,400.79128331062515,400.56477381421513,400.56326756398926,402.0634278319778,399.970077005768,401.26549814306236
72,hy_bsut-ud-test_Case=Loc,105.89001107018757,105.66018891159212,105.66034611383262,107.17742299570372,105.06694294591425,106.36728820459794
73,hy_bsut-ud-dev_Case=Loc,199.994548536815,199.76604154401886,199.7657394959876,201.2784141431962,199.17595863959085,200.46944904398774
74,mdf_jr-ud-test_Case=Loc,13.03067961048506,12.822201611527822,12.861697283948702,14.326548781894402,12.422258248804845,13.46291201783626
75,mdf_jr-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
76,la_llct-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
77,la_llct-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
78,la_llct-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
79,hsb_ufal-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
80,hsb_ufal-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
81,sr_set-ud-test_Case=Loc,1.0230489168542982,0.8326300097347852,0.8381458651209244,2.4072032240162136,0.6508811018309753,1.4743760679188904
82,sr_set-ud-train_Case=Loc,1.0598697308054688,0.8710316563365081,0.8761436346846743,2.442532244054897,0.6675550791447722,1.5111428674070653
83,sr_set-ud-dev_Case=Loc,1.0974227693527583,0.9094392724362816,0.9110400168143611,2.4753890644519223,0.6731613911265272,1.548863968151088
84,myv_jr-ud-test_Case=Loc,19.638953436053868,19.40332990261011,19.450646130761765,21.006801619611544,18.977194960568553,20.099751242241776
85,myv_jr-ud-train_Case=Loc,40.03913016593198,39.80240910841118,39.84890655712057,41.408030622090685,39.36289496467454,40.50462936504913
86,tr_framenet-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
87,tr_framenet-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
88,tr_framenet-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
89,kfm_aha-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
90,ky_ktmu-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
91,ky_ktmu-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
92,kpv_ikdp-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
93,kpv_lattice-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
94,kpv_lattice-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
95,tt_nmctt-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
96,tr_gb-ud-test_Case=Loc,763.5184910079854,763.2778904310234,763.2859539193502,764.8771143131424,762.7044398061414,764.0130888931158
97,ru_taiga-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
98,ru_taiga-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
99,ru_taiga-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
100,tpn_tudet-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
101,cs_cltt-ud-dev_Case=Loc,1.280463015331877,1.0821485928716854,1.1011926093671793,2.6658101317951184,0.8550685117884826,1.7275670708436488
102,cs_cltt-ud-train_Case=Loc,1.1349993806008596,0.9387133209359535,0.9575836674171244,2.5266996751266904,0.7597807603782014,1.5831719649196498
103,cs_cltt-ud-test_Case=Loc,1.0779784084444484,0.8865880476654316,0.9043090518095207,2.469034374097906,0.7385277200669089,1.5239901032541716
104,hy_armtdp-ud-train_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
105,hy_armtdp-ud-dev_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
106,hy_armtdp-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
107,ota_boun-ud-train_Case=Loc,83.44151311614088,83.22166997943904,83.21714133435877,84.66994744299774,82.63209122368863,83.90470785361212
108,ota_boun-ud-test_Case=Loc,1.5229722402080887,1.7831678272108882,1.7493866919943548,0.0,2.358495283014151,1.0
