,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
0,hu_szeged-ud-dev_Case=Abs,0.31491832864888675,20.502972975313757
1,hu_szeged-ud-test_Case=Abs,0.1087856586440842,20.653094098899277
2,hu_szeged-ud-train_Case=Abs,0.16317848796612638,20.61244238476093
3,ess_sli-ud-test_Case=Abs,1.0,21.494185260204677
4,hit_hittb-ud-test_Case=Abs,1.0,21.494185260204677
5,mr_ufal-ud-dev_Case=Abs,1.0,21.494185260204677
6,mr_ufal-ud-test_Case=Abs,1.0,21.494185260204677
7,mr_ufal-ud-train_Case=Abs,86.27861844049197,73.95268757793728
8,wbp_ufal-ud-test_Case=Abs,1.0,21.494185260204677
9,nhi_itml-ud-test_Case=Abs,20.811914915959456,13.334259227111286
10,azz_itml-ud-test_Case=Abs,6.669999167083074,15.765644787180625
11,eu_bdt-ud-train_Case=Abs,39.805698165950666,28.235017871713747
12,eu_bdt-ud-test_Case=Abs,39.7164186927589,28.152224777668557
13,eu_bdt-ud-dev_Case=Abs,31.107078923747277,21.12669675292333
14,gu_gujtb-ud-test_Case=Abs,1.0,21.494185260204677
