,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
0,hu_szeged-ud-dev_Case=Ade,0.4050462936504913,20.47349658705127
1,hu_szeged-ud-test_Case=Ade,0.335299918733898,20.468477712855364
2,hu_szeged-ud-train_Case=Ade,0.3082207001484488,20.520599406450096
3,fi_ood-ud-test_Case=Ade,0.8146657764756383,20.08354350450735
4,et_ewt-ud-train_Case=Ade,0.9298928155685491,19.997137370780365
5,et_ewt-ud-test_Case=Ade,0.9091540382121331,20.01762595674086
6,et_ewt-ud-dev_Case=Ade,1.2126901021904224,19.799089641124514
7,olo_kkpp-ud-test_Case=Ade,1.0526315789473684,19.963193278445615
8,vep_vwt-ud-test_Case=Ade,0.697614984548545,20.173084378283193
9,fi_tdt-ud-train_Case=Ade,1.1640891530224247,19.78415179034619
10,fi_tdt-ud-test_Case=Ade,1.19408613676893,19.761433133557876
11,fi_tdt-ud-dev_Case=Ade,1.2004080938733854,19.732376792407727
12,fi_pud-ud-test_Case=Ade,1.4264862419387834,19.57242036943422
13,et_edt-ud-dev_Case=Ade,0.8046556425732687,20.05618597099471
14,et_edt-ud-train_Case=Ade,0.8331528819533678,20.03268122226912
15,et_edt-ud-test_Case=Ade,0.6989284488146839,20.151172446698045
16,krl_kkpp-ud-test_Case=Ade,0.6491430649325309,20.243428235324917
17,fi_ftb-ud-dev_Case=Ade,1.0,21.494185260204677
18,fi_ftb-ud-train_Case=Ade,1.0,21.494185260204677
19,fi_ftb-ud-test_Case=Ade,1.0,21.494185260204677
