,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
0,hu_szeged-ud-dev_Case=All,0.3201992971410781,20.483971627290092
1,hu_szeged-ud-test_Case=All,0.2525381361380526,20.51809803414477
2,hu_szeged-ud-train_Case=All,0.2554424522554568,20.528422444001798
3,fi_ood-ud-test_Case=All,0.5188594036020282,20.234930718625566
4,ess_sli-ud-test_Case=All,40.66939881532551,33.03028912982749
5,hit_hittb-ud-test_Case=All,0.0,20.71231517720798
6,et_ewt-ud-train_Case=All,0.4135739305083116,20.355606866315632
7,et_ewt-ud-test_Case=All,0.48805270012001417,20.32961488345645
8,et_ewt-ud-dev_Case=All,0.41099049492265494,20.361394571960737
9,ml_ufal-ud-test_Case=All,3.7416573867739413,17.175564037317667
10,egy_ujaen-ud-test_Case=All,1.0,21.494185260204677
11,olo_kkpp-ud-test_Case=All,0.385694607919935,20.504182197866506
12,olo_kkpp-ud-train_Case=All,0.7071067811865476,20.334699407662754
13,vep_vwt-ud-test_Case=All,0.2494438257849294,20.558750502455695
14,fi_tdt-ud-train_Case=All,0.7724230274778555,20.01457550155988
15,fi_tdt-ud-test_Case=All,0.7882942006460393,20.008900560108824
16,fi_tdt-ud-dev_Case=All,0.4151634935508502,20.336708618936438
17,tpn_tudet-ud-test_Case=All,0.97182531580755,20.08177725645262
18,fi_pud-ud-test_Case=All,0.672122791120522,20.109865837476356
19,et_edt-ud-dev_Case=All,0.47461381660835733,20.30933268322752
20,et_edt-ud-train_Case=All,0.5196223649859801,20.24488974584905
21,et_edt-ud-test_Case=All,0.5933548207347986,20.162920777782055
22,wbp_ufal-ud-test_Case=All,0.0,20.71231517720798
23,arr_tudet-ud-test_Case=All,0.7071067811865476,20.334699407662754
24,gn_oldtudet-ud-test_Case=All,0.7071067811865476,20.334699407662754
25,eu_bdt-ud-train_Case=All,0.5592645240894408,20.298625185774
26,eu_bdt-ud-test_Case=All,0.6071202857114182,20.301935746162787
27,eu_bdt-ud-dev_Case=All,0.6889388934884743,20.187786131000923
28,fi_ftb-ud-dev_Case=All,1.0,21.494185260204677
29,fi_ftb-ud-train_Case=All,1.0,21.494185260204677
30,fi_ftb-ud-test_Case=All,1.0,21.494185260204677
31,eme_tudet-ud-test_Case=All,0.3812200410828154,20.487400128221267
32,aqz_tudet-ud-test_Case=All,1.681416216713506,19.472043904715306
33,gu_gujtb-ud-test_Case=All,0.0,20.71231517720798
