,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
0,hu_szeged-ud-dev_Case=Ela,0.10112587531821468,20.649833700252024
1,hu_szeged-ud-test_Case=Ela,0.16659862556700852,20.596789922268005
2,hu_szeged-ud-train_Case=Ela,0.27216552697590873,20.524730211736042
3,fi_ood-ud-test_Case=Ela,1.1201926861291118,19.66372338299132
4,et_ewt-ud-train_Case=Ela,0.763760760418742,20.036771680788405
5,et_ewt-ud-test_Case=Ela,0.7754788325534144,20.014597823599356
6,et_ewt-ud-dev_Case=Ela,0.8063799251291472,19.967574014499395
7,egy_ujaen-ud-test_Case=Ela,1.0,21.494185260204677
8,olo_kkpp-ud-test_Case=Ela,0.45175395145262554,20.37655715847633
9,olo_kkpp-ud-train_Case=Ela,0.0,20.71231517720798
10,mdf_jr-ud-test_Case=Ela,19.8158185969358,15.631165450257807
11,mdf_jr-ud-train_Case=Ela,1.0,21.494185260204677
12,vep_vwt-ud-test_Case=Ela,0.6123724356957945,20.307018491152263
13,fi_tdt-ud-train_Case=Ela,1.3773675690615153,19.41840734312235
14,fi_tdt-ud-test_Case=Ela,1.202592211576206,19.571207564362087
15,fi_tdt-ud-dev_Case=Ela,1.3433656817130493,19.462903980516487
16,myv_jr-ud-test_Case=Ela,0.8812629433036954,20.071249481479455
17,myv_jr-ud-train_Case=Ela,1.4322808982279183,19.704096745890904
18,kpv_ikdp-ud-test_Case=Ela,3.1622776601683795,18.230011885167087
19,kpv_lattice-ud-test_Case=Ela,2.3991720022888807,18.940856007492556
20,kpv_lattice-ud-train_Case=Ela,1.4142135623730951,19.974984355438178
21,fi_pud-ud-test_Case=Ela,1.9068172393492644,18.89138210924101
22,et_edt-ud-dev_Case=Ela,1.02044433321392,19.761632651466595
23,et_edt-ud-train_Case=Ela,0.9208940422971585,19.853212022048403
24,et_edt-ud-test_Case=Ela,1.04559825370004,19.73617741943875
25,wbp_ufal-ud-test_Case=Ela,0.0,20.71231517720798
26,koi_uh-ud-train_Case=Ela,1.0,21.494185260204677
27,koi_uh-ud-test_Case=Ela,2.9154759474226504,18.907670401189037
28,krl_kkpp-ud-test_Case=Ela,0.6170899448216606,20.25884498188384
29,fi_ftb-ud-dev_Case=Ela,1.0,21.494185260204677
30,fi_ftb-ud-train_Case=Ela,1.0,21.494185260204677
31,fi_ftb-ud-test_Case=Ela,1.0,21.494185260204677
