,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
0,hu_szeged-ud-dev_Case=Ill,0.29998469504883835,20.499792827459956
1,hu_szeged-ud-test_Case=Ill,0.4054775835476301,20.440390734060887
2,hu_szeged-ud-train_Case=Ill,0.18215107011950007,20.582621070297552
3,fi_ood-ud-test_Case=Ill,0.910981887855077,20.007745700103246
4,sms_giellagas-ud-test_Case=Ill,5.1830683509736,17.393414391588873
5,sms_giellagas-ud-train_Case=Ill,0.0,20.71231517720798
6,et_ewt-ud-train_Case=Ill,5.685122712147314,17.16943932692171
7,et_ewt-ud-test_Case=Ill,4.46031389029965,17.59586315018391
8,et_ewt-ud-dev_Case=Ill,10.826351026232702,14.77944852710791
9,egy_ujaen-ud-test_Case=Ill,1.0,21.494185260204677
10,si_stb-ud-test_Case=Ill,1.0,21.494185260204677
11,lt_alksnis-ud-test_Case=Ill,0.0,20.71231517720798
12,lt_alksnis-ud-dev_Case=Ill,0.0,20.71231517720798
13,lt_alksnis-ud-train_Case=Ill,0.0,20.71231517720798
14,olo_kkpp-ud-test_Case=Ill,0.8821034570138243,20.065499255065387
15,olo_kkpp-ud-train_Case=Ill,1.0,21.494185260204677
16,mdf_jr-ud-test_Case=Ill,7.812249995999872,16.13323433165216
17,mdf_jr-ud-train_Case=Ill,1.0,21.494185260204677
18,vep_vwt-ud-test_Case=Ill,0.6892024376045112,20.181055472893384
19,fi_tdt-ud-train_Case=Ill,0.9932698373077208,19.875226237920074
20,fi_tdt-ud-test_Case=Ill,0.9976633700596244,19.878353483516502
21,fi_tdt-ud-dev_Case=Ill,0.937133260184627,19.934653592909395
22,myv_jr-ud-test_Case=Ill,0.7407042850873679,20.18093046203164
23,myv_jr-ud-train_Case=Ill,0.5348404942548599,20.335326183123133
24,kpv_ikdp-ud-test_Case=Ill,1.3686976778431874,19.77725966861941
25,kpv_lattice-ud-test_Case=Ill,8.548033548777191,16.071190474426785
26,kpv_lattice-ud-train_Case=Ill,1.0,21.494185260204677
27,fi_pud-ud-test_Case=Ill,1.017191707411669,19.844379175272277
28,et_edt-ud-dev_Case=Ill,3.497974794706087,18.357497989276858
29,et_edt-ud-train_Case=Ill,3.4326230484631535,18.3837639020598
30,et_edt-ud-test_Case=Ill,4.458319738792651,17.742046932390284
31,koi_uh-ud-train_Case=Ill,1.0,21.494185260204677
32,koi_uh-ud-test_Case=Ill,30.364452901377952,22.06807649071391
33,sme_giella-ud-train_Case=Ill,0.1725285923127573,20.556024659651754
34,sme_giella-ud-test_Case=Ill,0.22925506622611905,20.52198166452522
35,krl_kkpp-ud-test_Case=Ill,0.3808697000222803,20.41732803161612
36,fi_ftb-ud-dev_Case=Ill,1.0,21.494185260204677
37,fi_ftb-ud-train_Case=Ill,1.0,21.494185260204677
38,fi_ftb-ud-test_Case=Ill,1.0,21.494185260204677
