,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
0,hu_szeged-ud-dev_Case=Ine,78.79562170577753,68.35751604615253
1,hu_szeged-ud-test_Case=Ine,52.684596104237784,44.06056437828882
2,hu_szeged-ud-train_Case=Ine,31.908369502707743,25.90644792945049
3,fi_ood-ud-test_Case=Ine,509.7234544338724,494.94545153986417
4,et_ewt-ud-train_Case=Ine,1.0,21.494185260204677
5,et_ewt-ud-test_Case=Ine,1.0,21.494185260204677
6,et_ewt-ud-dev_Case=Ine,1.0,21.494185260204677
7,si_stb-ud-test_Case=Ine,1.0,21.494185260204677
8,olo_kkpp-ud-test_Case=Ine,1.0,21.494185260204677
9,olo_kkpp-ud-train_Case=Ine,1.0,21.494185260204677
10,mdf_jr-ud-test_Case=Ine,1.0,21.494185260204677
11,mdf_jr-ud-train_Case=Ine,1.0,21.494185260204677
12,vep_vwt-ud-test_Case=Ine,1.0,21.494185260204677
13,fi_tdt-ud-train_Case=Ine,167.6189328422888,152.96483838556773
14,fi_tdt-ud-test_Case=Ine,73.31057222529367,59.73474700708123
15,fi_tdt-ud-dev_Case=Ine,111.95187458109946,97.46224340168294
16,myv_jr-ud-test_Case=Ine,1.0,21.494185260204677
17,myv_jr-ud-train_Case=Ine,1.0,21.494185260204677
18,kpv_ikdp-ud-test_Case=Ine,1.0,21.494185260204677
19,kpv_lattice-ud-test_Case=Ine,260.7067317888052,246.18082784814905
20,kpv_lattice-ud-train_Case=Ine,1.0,21.494185260204677
21,fi_pud-ud-test_Case=Ine,80.94392112658578,67.75631606977271
22,et_edt-ud-dev_Case=Ine,1.0,21.494185260204677
23,et_edt-ud-train_Case=Ine,1.0,21.494185260204677
24,et_edt-ud-test_Case=Ine,1.0,21.494185260204677
25,koi_uh-ud-train_Case=Ine,1.0,21.494185260204677
26,koi_uh-ud-test_Case=Ine,1.0,21.494185260204677
27,arr_tudet-ud-test_Case=Ine,1.0,21.494185260204677
28,krl_kkpp-ud-test_Case=Ine,1.0,21.494185260204677
29,eu_bdt-ud-train_Case=Ine,1.0,21.494185260204677
30,eu_bdt-ud-test_Case=Ine,1.0,21.494185260204677
31,eu_bdt-ud-dev_Case=Ine,1.0,21.494185260204677
32,fi_ftb-ud-dev_Case=Ine,1.0,21.494185260204677
33,fi_ftb-ud-train_Case=Ine,1.0,21.494185260204677
34,fi_ftb-ud-test_Case=Ine,1.0,21.494185260204677
35,ab_abnc-ud-test_Case=Ine,1.0,21.494185260204677
