,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
0,sl_ssj-ud-test_Case=Loc,1.696228630811666,19.41068123650841
1,sl_ssj-ud-dev_Case=Loc,1.692132258571466,19.38987827960277
2,sl_ssj-ud-train_Case=Loc,1.6752759658021141,19.419119715119194
3,xcl_caval-ud-train_Case=Loc,1.0,21.494185260204677
4,xcl_caval-ud-dev_Case=Loc,1.0,21.494185260204677
5,xcl_caval-ud-test_Case=Loc,1.0,21.494185260204677
6,hu_szeged-ud-train_Case=Loc,1.0,21.494185260204677
7,fa_seraji-ud-dev_Case=Loc,1.0,21.494185260204677
8,fa_seraji-ud-test_Case=Loc,1.0,21.494185260204677
9,fa_seraji-ud-train_Case=Loc,1.0,21.494185260204677
10,tr_pud-ud-test_Case=Loc,1033.9206932835807,1021.6344747511215
11,pl_pdb-ud-test_Case=Loc,1.0,21.494185260204677
12,pl_pdb-ud-train_Case=Loc,18056.1882466926,18039.4840558149
13,pl_pdb-ud-dev_Case=Loc,1.0,21.494185260204677
14,uk_iu-ud-dev_Case=Loc,1.608509785660613,19.489853372355256
15,uk_iu-ud-train_Case=Loc,1.6390674756400339,19.49260733845908
16,uk_iu-ud-test_Case=Loc,1.6067778252627123,19.486154434293688
17,sa_vedic-ud-test_Case=Loc,1.0,21.494185260204677
18,sa_vedic-ud-train_Case=Loc,2097.877445843245,2082.373992452951
19,sa_vedic-ud-dev_Case=Loc,1.0,21.494185260204677
20,bn_bru-ud-test_Case=Loc,1.0,21.494185260204677
21,hr_set-ud-dev_Case=Loc,1.6194512683318383,19.390919700717202
22,hr_set-ud-train_Case=Loc,1.6071489192074304,19.38687479233894
23,hr_set-ud-test_Case=Loc,1.5644958027481373,19.402200112680227
24,orv_rnc-ud-dev_Case=Loc,1.0,21.494185260204677
25,orv_rnc-ud-train_Case=Loc,1.0,21.494185260204677
26,orv_rnc-ud-test_Case=Loc,1.0,21.494185260204677
27,la_circse-ud-test_Case=Loc,1.0,21.494185260204677
28,grc_perseus-ud-test_Case=Loc,1.0,21.494185260204677
29,tr_atis-ud-dev_Case=Loc,10.955205562910256,13.814293711362938
30,tr_atis-ud-train_Case=Loc,53.94909814178008,38.934022801245305
31,tr_atis-ud-test_Case=Loc,12.965338406690357,11.78558441486887
32,hi_pud-ud-test_Case=Loc,0.008657078970446205,20.707070228734672
33,la_perseus-ud-test_Case=Loc,1.0,21.494185260204677
34,la_perseus-ud-train_Case=Loc,1.0,21.494185260204677
35,tr_kenet-ud-dev_Case=Loc,596.65567960089,584.1070107437506
36,tr_kenet-ud-test_Case=Loc,226.84355842738844,214.78593994952277
37,tr_kenet-ud-train_Case=Loc,338.84584498952717,326.3493629021921
38,sms_giellagas-ud-test_Case=Loc,1.0,21.494185260204677
39,sms_giellagas-ud-train_Case=Loc,1.0,21.494185260204677
40,sk_snk-ud-dev_Case=Loc,1.5539135211382462,19.518433622746624
