,Treebank,gub_tudet-ud-test_Case=Ref,tpn_tudet-ud-test_Case=Ref,gn_oldtudet-ud-test_Case=Ref,eme_tudet-ud-test_Case=Ref
0,hu_szeged-ud-dev_Case=Abs,0.37360084866478643,1.2824305436059895,1.2824305436059895,1.2824305436059895
1,hu_szeged-ud-test_Case=Abs,0.4275213333470017,1.0796668344321692,1.0796668344321692,1.0796668344321692
2,hu_szeged-ud-train_Case=Abs,0.4146400417640058,1.1213369028548654,1.1213369028548654,1.1213369028548654
3,ess_sli-ud-test_Case=Abs,1.3743685418725535,0.0,0.0,0.0
4,hit_hittb-ud-test_Case=Abs,1.3743685418725535,0.0,0.0,0.0
5,mr_ufal-ud-dev_Case=Abs,1.3743685418725535,0.0,0.0,0.0
6,mr_ufal-ud-test_Case=Abs,1.3743685418725535,0.0,0.0,0.0
7,mr_ufal-ud-train_Case=Abs,85.98966346150114,87.14929718592113,87.14929718592113,87.14929718592113
8,wbp_ufal-ud-test_Case=Abs,1.3743685418725535,0.0,0.0,0.0
9,nhi_itml-ud-test_Case=Abs,20.519788702495493,21.703103265616754,21.703103265616754,21.703103265616754
10,azz_itml-ud-test_Case=Abs,6.370567241943766,7.607222967012422,7.607222967012422,7.607222967012422
11,eu_bdt-ud-train_Case=Abs,39.49597920944809,40.741182744764195,40.741182744764195,40.741182744764195
12,eu_bdt-ud-test_Case=Abs,39.406922149415934,40.65127036035156,40.65127036035156,40.65127036035156
13,eu_bdt-ud-dev_Case=Abs,30.79770556952232,32.04328476137671,32.04328476137671,32.04328476137671
14,gu_gujtb-ud-test_Case=Abs,1.3743685418725535,0.0,0.0,0.0
