,Treebank,gub_tudet-ud-test_Case=Ref,tpn_tudet-ud-test_Case=Ref,gn_oldtudet-ud-test_Case=Ref,eme_tudet-ud-test_Case=Ref
0,es_gsd-ud-train_Case=Com,3.7043517951488116,4.743416490252569,4.743416490252569,4.743416490252569
1,fi_ood-ud-test_Case=Com,1.4907119849998598,2.6457513110645907,2.6457513110645907,2.6457513110645907
2,es_ancora-ud-train_Case=Com,8.096638534327413,9.219544457292887,9.219544457292887,9.219544457292887
3,es_ancora-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
4,es_ancora-ud-dev_Case=Com,1.3743685418725535,0.0,0.0,0.0
5,sms_giellagas-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
6,et_ewt-ud-train_Case=Com,8.663603447259,9.727331990547098,9.727331990547098,9.727331990547098
7,et_ewt-ud-test_Case=Com,6.441229684856474,7.497106880006976,7.497106880006976,7.497106880006976
8,et_ewt-ud-dev_Case=Com,10.243410388244818,11.28188777357483,11.28188777357483,11.28188777357483
9,ml_ufal-ud-test_Case=Com,10.036046144883064,11.022703842524301,11.022703842524301,11.022703842524301
10,apu_ufpa-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
11,egy_ujaen-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
12,mr_ufal-ud-train_Case=Com,1.3743685418725535,0.0,0.0,0.0
13,olo_kkpp-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
14,mdf_jr-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
15,vep_vwt-ud-test_Case=Com,9.843215373488935,10.908712114635714,10.908712114635714,10.908712114635714
16,es_pud-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
17,fi_tdt-ud-train_Case=Com,1.7606172902224906,2.9067128499108295,2.9067128499108295,2.9067128499108295
18,fi_tdt-ud-test_Case=Com,0.4714045207910316,1.0,1.0,1.0
19,fi_tdt-ud-dev_Case=Com,1.3743685418725535,0.0,0.0,0.0
20,myv_jr-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
21,myv_jr-ud-train_Case=Com,2.211083193570267,3.3166247903554,3.3166247903554,3.3166247903554
22,kpv_ikdp-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
23,kpv_lattice-ud-test_Case=Com,18.217817895919612,19.235384061671343,19.235384061671343,19.235384061671343
24,fi_pud-ud-test_Case=Com,0.4714045207910317,1.3743685418725535,1.3743685418725535,1.3743685418725535
25,et_edt-ud-dev_Case=Com,4.256823586349152,5.331827029066583,5.331827029066583,5.331827029066583
26,et_edt-ud-train_Case=Com,4.122350248116103,5.189646676477866,5.189646676477866,5.189646676477866
27,et_edt-ud-test_Case=Com,3.783546524543828,4.845626776316869,4.845626776316869,4.845626776316869
28,sjo_xdt-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
29,wbp_ufal-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
30,koi_uh-ud-test_Case=Com,6.847546194724712,7.810249675906654,7.810249675906654,7.810249675906654
31,sme_giella-ud-train_Case=Com,14.857424257103098,15.880412463157246,15.880412463157246,15.880412463157246
32,sme_giella-ud-test_Case=Com,6.673126122358093,7.707374917435497,7.707374917435497,7.707374917435497
33,arr_tudet-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
34,ta_mwtt-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
35,ta_ttb-ud-train_Case=Com,1.3743685418725535,0.0,0.0,0.0
36,ta_ttb-ud-dev_Case=Com,1.3743685418725535,0.0,0.0,0.0
37,ta_ttb-ud-test_Case=Com,2.6246692913372702,3.605551275463989,3.605551275463989,3.605551275463989
38,krl_kkpp-ud-test_Case=Com,1.2472191289246473,2.23606797749979,2.23606797749979,2.23606797749979
39,eu_bdt-ud-train_Case=Com,38.75689902742765,39.816070178314234,39.816070178314234,39.816070178314234
40,eu_bdt-ud-test_Case=Com,29.508002681005408,30.571410028180104,30.571410028180104,30.571410028180104
41,eu_bdt-ud-dev_Case=Com,38.220486071680924,39.29694644625712,39.29694644625712,39.29694644625712
42,fi_ftb-ud-dev_Case=Com,0.5270462766947299,1.5456030825826172,1.5456030825826172,1.5456030825826172
43,fi_ftb-ud-train_Case=Com,0.5016516752268468,1.614826143444763,1.614826143444763,1.614826143444763
44,fi_ftb-ud-test_Case=Com,0.5497474167490215,1.6370705543744901,1.6370705543744901,1.6370705543744901
45,bxr_bdt-ud-test_Case=Com,0.7675704338903062,1.959507443590762,1.959507443590762,1.959507443590762
46,bej_nsc-ud-test_Case=Com,1.3743685418725535,0.0,0.0,0.0
