,Treebank,gub_tudet-ud-test_Case=Ref,tpn_tudet-ud-test_Case=Ref,gn_oldtudet-ud-test_Case=Ref,eme_tudet-ud-test_Case=Ref
0,sl_ssj-ud-test_Case=Loc,1.4512462679513476,2.618603778329093,2.618603778329093,2.618603778329093
1,sl_ssj-ud-dev_Case=Loc,1.4444652562502667,2.6192505338582834,2.6192505338582834,2.6192505338582834
2,sl_ssj-ud-train_Case=Loc,1.4299471708063511,2.599685732683534,2.599685732683534,2.599685732683534
3,xcl_caval-ud-train_Case=Loc,1.3743685418725535,0.0,0.0,0.0
4,xcl_caval-ud-dev_Case=Loc,1.3743685418725535,0.0,0.0,0.0
5,xcl_caval-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
6,hu_szeged-ud-train_Case=Loc,1.3743685418725535,0.0,0.0,0.0
7,fa_seraji-ud-dev_Case=Loc,1.3743685418725535,0.0,0.0,0.0
8,fa_seraji-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
9,fa_seraji-ud-train_Case=Loc,1.3743685418725535,0.0,0.0,0.0
10,tr_pud-ud-test_Case=Loc,1033.6641405967198,1034.690775062772,1034.690775062772,1034.690775062772
11,pl_pdb-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
12,pl_pdb-ud-train_Case=Loc,18055.882833273175,18057.104502106642,18057.104502106642,18057.104502106642
13,pl_pdb-ud-dev_Case=Loc,1.3743685418725535,0.0,0.0,0.0
14,uk_iu-ud-dev_Case=Loc,1.3673212353560766,2.5312407050621375,2.5312407050621375,2.5312407050621375
15,uk_iu-ud-train_Case=Loc,1.3953861919430917,2.5631727626677683,2.5631727626677683,2.5631727626677683
16,uk_iu-ud-test_Case=Loc,1.3628977924101102,2.533995936859706,2.533995936859706,2.533995936859706
17,sa_vedic-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
18,sa_vedic-ud-train_Case=Loc,2097.5590045998174,2098.8328767304088,2098.8328767304088,2098.8328767304088
19,sa_vedic-ud-dev_Case=Loc,1.3743685418725535,0.0,0.0,0.0
20,bn_bru-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
21,hr_set-ud-dev_Case=Loc,1.37218824159337,2.5506280728351767,2.5506280728351767,2.5506280728351767
22,hr_set-ud-train_Case=Loc,1.3589735729191494,2.5407626679910997,2.5407626679910997,2.5407626679910997
23,hr_set-ud-test_Case=Loc,1.3181225919604878,2.4989825192711765,2.4989825192711765,2.4989825192711765
24,orv_rnc-ud-dev_Case=Loc,1.3743685418725535,0.0,0.0,0.0
25,orv_rnc-ud-train_Case=Loc,1.3743685418725535,0.0,0.0,0.0
26,orv_rnc-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
27,la_circse-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
28,grc_perseus-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
29,tr_atis-ud-dev_Case=Loc,10.657020431676735,11.875038059965105,11.875038059965105,11.875038059965105
30,tr_atis-ud-train_Case=Loc,53.65011887844141,54.8514508550107,54.8514508550107,54.8514508550107
31,tr_atis-ud-test_Case=Loc,12.667105255564728,13.881642554107206,13.881642554107206,13.881642554107206
32,hi_pud-ud-test_Case=Loc,0.46665803281111123,1.0068054866608844,1.0068054866608844,1.0068054866608844
33,la_perseus-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
34,la_perseus-ud-train_Case=Loc,1.3743685418725535,0.0,0.0,0.0
35,tr_kenet-ud-dev_Case=Loc,596.3993814737087,597.4253091391425,597.4253091391425,597.4253091391425
36,tr_kenet-ud-test_Case=Loc,226.5882217199787,227.6115111324557,227.6115111324557,227.6115111324557
37,tr_kenet-ud-train_Case=Loc,338.5877467100991,339.6214166784343,339.6214166784343,339.6214166784343
38,sms_giellagas-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
39,sms_giellagas-ud-train_Case=Loc,1.3743685418725535,0.0,0.0,0.0
40,sk_snk-ud-dev_Case=Loc,1.3132645909894416,2.4801741740312764,2.4801741740312764,2.4801741740312764
41,sk_snk-ud-test_Case=Loc,1.3116191989540076,2.4719832760750484,2.4719832760750484,2.4719832760750484
42,sk_snk-ud-train_Case=Loc,1.3290739792550132,2.4900018580421874,2.4900018580421874,2.4900018580421874
43,lt_hse-ud-train_Case=Loc,1.3743685418725535,0.0,0.0,0.0
44,lt_hse-ud-test_Case=Loc,1.3743685418725535,0.0,0.0,0.0
