,Treebank,gub_tudet-ud-test_Case=Ref,tpn_tudet-ud-test_Case=Ref,gn_oldtudet-ud-test_Case=Ref,eme_tudet-ud-test_Case=Ref
0,hu_szeged-ud-dev_Case=Tem,0.41247895569215265,1.1319231422671772,1.1319231422671772,1.1319231422671772
1,hu_szeged-ud-test_Case=Tem,0.4714045207910316,1.0,1.0,1.0
2,hu_szeged-ud-train_Case=Tem,0.4714045207910316,1.0,1.0,1.0
3,fa_seraji-ud-dev_Case=Tem,1.3743685418725535,0.0,0.0,0.0
4,fa_seraji-ud-test_Case=Tem,1.3743685418725535,0.0,0.0,0.0
5,fa_seraji-ud-train_Case=Tem,1.3743685418725535,0.0,0.0,0.0
6,gub_tudet-ud-test_Case=Tem,0.4714045207910316,1.0,1.0,1.0
7,lzh_tuecl-ud-test_Case=Tem,1.3743685418725535,0.0,0.0,0.0
8,apu_ufpa-ud-test_Case=Tem,1.3743685418725535,0.0,0.0,0.0
9,egy_ujaen-ud-test_Case=Tem,1.3743685418725535,0.0,0.0,0.0
10,nyq_aha-ud-test_Case=Tem,1.3743685418725535,0.0,0.0,0.0
11,mdf_jr-ud-test_Case=Tem,1.3743685418725535,0.0,0.0,0.0
12,mdf_jr-ud-train_Case=Tem,1.3743685418725535,0.0,0.0,0.0
13,myv_jr-ud-test_Case=Tem,1.3333333333333335,2.472066162365221,2.472066162365221,2.472066162365221
14,myv_jr-ud-train_Case=Tem,3.324989557210001,4.301162633521313,4.301162633521313,4.301162633521313
15,kfm_aha-ud-test_Case=Tem,1.3743685418725535,0.0,0.0,0.0
16,soj_aha-ud-test_Case=Tem,1.3743685418725535,0.0,0.0,0.0
17,he_htb-ud-train_Case=Tem,7.077939122528692,8.299096336348915,8.299096336348915,8.299096336348915
18,lzh_kyoto-ud-dev_Case=Tem,1.3743685418725535,0.0,0.0,0.0
19,lzh_kyoto-ud-train_Case=Tem,1.3743685418725535,0.0,0.0,0.0
20,lzh_kyoto-ud-test_Case=Tem,1.3743685418725535,0.0,0.0,0.0
21,gu_gujtb-ud-test_Case=Tem,4.0276819911981905,5.0,5.0,5.0
