,Treebank,hu_szeged-ud-dev_Case=Sbl,hu_szeged-ud-test_Case=Sbl,hu_szeged-ud-train_Case=Sbl
0,hu_szeged-ud-dev_Case=Ela,0.2121830551625297,0.13131093053633042,0.15576833968817996
1,hu_szeged-ud-test_Case=Ela,0.1282875833738685,0.05239474102311085,0.0780892130214038
2,hu_szeged-ud-train_Case=Ela,0.08461440307815311,0.08567861408231525,0.07004463354549832
3,fi_ood-ud-test_Case=Ela,0.8841195011520339,0.9568882362312557,0.9288828412698491
4,et_ewt-ud-train_Case=Ela,0.530226056257321,0.5994398847508393,0.5696145879021128
5,et_ewt-ud-test_Case=Ela,0.527245380082119,0.6068084412099461,0.5753777159280109
6,et_ewt-ud-dev_Case=Ela,0.571290680058975,0.6432530965846998,0.6134961710910122
7,egy_ujaen-ud-test_Case=Ela,1.2622811750152136,1.1840852064015472,1.2136052062629963
8,olo_kkpp-ud-test_Case=Ela,0.24921618855080202,0.307995475913745,0.28437321595666193
9,olo_kkpp-ud-train_Case=Ela,0.2858773475129578,0.20286823403356452,0.23092293421550486
10,mdf_jr-ud-test_Case=Ela,19.582306778766327,19.651246304876345,19.62422574194081
11,mdf_jr-ud-train_Case=Ela,1.2622811750152136,1.1840852064015472,1.2136052062629963
12,vep_vwt-ud-test_Case=Ela,0.3879746221513045,0.46167954425435037,0.42944494702151076
13,fi_tdt-ud-train_Case=Ela,1.1466703125381585,1.2160758551151967,1.1887035285593666
14,fi_tdt-ud-test_Case=Ela,0.9738456740124184,1.0421457471246345,1.0147404820758947
15,fi_tdt-ud-dev_Case=Ela,1.1087070815634272,1.180034603925282,1.152098519053292
16,myv_jr-ud-test_Case=Ela,0.648883449831593,0.7163762305721038,0.6891330379394978
17,myv_jr-ud-train_Case=Ela,1.208606296558222,1.2721066830138548,1.2460171953163612
18,kpv_ikdp-ud-test_Case=Ela,2.906211785657123,2.985521055277909,2.9551650035648884
19,kpv_lattice-ud-test_Case=Ela,2.168068702988574,2.2358376665953563,2.208688202717059
20,kpv_lattice-ud-train_Case=Ela,1.25303549464662,1.2962458349945813,1.2782070279984956
21,fi_pud-ud-test_Case=Ela,1.6783117657377011,1.7468330352301573,1.7199811780585008
22,et_edt-ud-dev_Case=Ela,0.7944752132855362,0.8614283018946622,0.8346574883654733
23,et_edt-ud-train_Case=Ela,0.6970229247559152,0.7626177457166656,0.7358733905975929
24,et_edt-ud-test_Case=Ela,0.81458471148354,0.884382021770755,0.8567441101445422
25,wbp_ufal-ud-test_Case=Ela,0.2858773475129578,0.20286823403356452,0.23092293421550486
26,koi_uh-ud-train_Case=Ela,1.2622811750152136,1.1840852064015472,1.2136052062629963
27,koi_uh-ud-test_Case=Ela,2.702342704095686,2.7638559805608818,2.73944244578013
28,krl_kkpp-ud-test_Case=Ela,0.36158389356359655,0.4518972886371875,0.42158647706521546
29,fi_ftb-ud-dev_Case=Ela,1.2622811750152136,1.1840852064015472,1.2136052062629963
30,fi_ftb-ud-train_Case=Ela,1.2622811750152136,1.1840852064015472,1.2136052062629963
31,fi_ftb-ud-test_Case=Ela,1.2622811750152136,1.1840852064015472,1.2136052062629963
