,Treebank,hu_szeged-ud-dev_Case=Sbl,hu_szeged-ud-test_Case=Sbl,hu_szeged-ud-train_Case=Sbl
0,hi_pud-ud-test_Case=Erg,0.2858773475129578,0.20286823403356452,0.23092293421550486
1,ess_sli-ud-test_Case=Erg,1.2622811750152136,1.1840852064015472,1.2136052062629963
2,mr_ufal-ud-dev_Case=Erg,1.2622811750152136,1.1840852064015472,1.2136052062629963
3,mr_ufal-ud-test_Case=Erg,1.2622811750152136,1.1840852064015472,1.2136052062629963
4,mr_ufal-ud-train_Case=Erg,1.2622811750152136,1.1840852064015472,1.2136052062629963
5,wbp_ufal-ud-test_Case=Erg,1.2622811750152136,1.1840852064015472,1.2136052062629963
6,ka_glc-ud-test_Case=Erg,1.2622811750152136,1.1840852064015472,1.2136052062629963
7,eu_bdt-ud-train_Case=Erg,1.2622811750152136,1.1840852064015472,1.2136052062629963
8,eu_bdt-ud-test_Case=Erg,1.2622811750152136,1.1840852064015472,1.2136052062629963
9,eu_bdt-ud-dev_Case=Erg,1.2622811750152136,1.1840852064015472,1.2136052062629963
10,gu_gujtb-ud-test_Case=Erg,1.2622811750152136,1.1840852064015472,1.2136052062629963
