,Treebank,hu_szeged-ud-dev_Case=Sbl,hu_szeged-ud-test_Case=Sbl,hu_szeged-ud-train_Case=Sbl
0,hu_szeged-ud-dev_Case=Ine,78.58887688992039,78.64929884081586,78.62647669580946
1,hu_szeged-ud-test_Case=Ine,52.48990620099835,52.54720806398641,52.52528303514291
2,hu_szeged-ud-train_Case=Ine,31.709882873513383,31.768117608679493,31.745864882169638
3,fi_ood-ud-test_Case=Ine,509.48951912473217,509.5600599432367,509.5317359210979
4,et_ewt-ud-train_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
5,et_ewt-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
6,et_ewt-ud-dev_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
7,si_stb-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
8,olo_kkpp-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
9,olo_kkpp-ud-train_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
10,mdf_jr-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
11,mdf_jr-ud-train_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
12,vep_vwt-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
13,fi_tdt-ud-train_Case=Ine,167.38660749300482,167.45669722487557,167.4291748617011
14,fi_tdt-ud-test_Case=Ine,73.07936127038384,73.14884370905331,73.12138693871016
15,fi_tdt-ud-dev_Case=Ine,111.71883113304484,111.78925401209051,111.76165450431766
16,myv_jr-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
17,myv_jr-ud-train_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
18,kpv_ikdp-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
19,kpv_lattice-ud-test_Case=Ine,260.46512573827965,260.5376089296871,260.5095282345951
20,kpv_lattice-ud-train_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
21,fi_pud-ud-test_Case=Ine,80.71852083592765,80.78593742807361,80.7593809788896
22,et_edt-ud-dev_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
23,et_edt-ud-train_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
24,et_edt-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
25,koi_uh-ud-train_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
26,koi_uh-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
27,arr_tudet-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
28,krl_kkpp-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
29,eu_bdt-ud-train_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
30,eu_bdt-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
31,eu_bdt-ud-dev_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
32,fi_ftb-ud-dev_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
33,fi_ftb-ud-train_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
34,fi_ftb-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
35,ab_abnc-ud-test_Case=Ine,1.2622811750152136,1.1840852064015472,1.2136052062629963
