,Treebank,hu_szeged-ud-dev_Case=Sbl,hu_szeged-ud-test_Case=Sbl,hu_szeged-ud-train_Case=Sbl
0,sl_ssj-ud-test_Case=Loc,1.4754316794371414,1.5399635959477258,1.5142501157153565
1,sl_ssj-ud-dev_Case=Loc,1.467307168015977,1.5336193982444912,1.5074244337738063
2,sl_ssj-ud-train_Case=Loc,1.4538245140597397,1.5186240234511226,1.4928395922450945
3,xcl_caval-ud-train_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
4,xcl_caval-ud-dev_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
5,xcl_caval-ud-test_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
6,hu_szeged-ud-train_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
7,fa_seraji-ud-dev_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
8,fa_seraji-ud-test_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
9,fa_seraji-ud-train_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
10,tr_pud-ud-test_Case=Loc,1033.7210070834142,1033.7804389921191,1033.7575007701623
11,pl_pdb-ud-test_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
12,pl_pdb-ud-train_Case=Loc,18055.94924494388,18056.020822731953,18055.993202033005
13,pl_pdb-ud-dev_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
14,uk_iu-ud-dev_Case=Loc,1.3902301701190574,1.4535604216648215,1.4280816484107046
15,uk_iu-ud-train_Case=Loc,1.4186516245566956,1.482959239161438,1.4571923455955742
16,uk_iu-ud-test_Case=Loc,1.3847317616274928,1.4496111797839457,1.4237079150359429
17,sa_vedic-ud-test_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
18,sa_vedic-ud-train_Case=Loc,2097.6226962403666,2097.701148796013,2097.6714957957333
19,sa_vedic-ud-dev_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
20,bn_bru-ud-test_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
21,hr_set-ud-dev_Case=Loc,1.3970005602459261,1.461765668690539,1.435895808790318
22,hr_set-ud-train_Case=Loc,1.3821636568095435,1.4481046669006303,1.4218067372215382
23,hr_set-ud-test_Case=Loc,1.3404038193039285,1.405891556947226,1.3797283953426167
24,orv_rnc-ud-dev_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
25,orv_rnc-ud-train_Case=Loc,1.2622811750152136,1.1840852064015472,1.2136052062629963
