,Treebank,hu_szeged-ud-dev_Case=Sbl,hu_szeged-ud-test_Case=Sbl,hu_szeged-ud-train_Case=Sbl
0,hu_szeged-ud-dev_Case=Ter,0.29671914622136797,0.34969167587363525,0.3221678575466359
1,hu_szeged-ud-test_Case=Ter,0.2858773475129578,0.20286823403356452,0.23092293421550486
2,hu_szeged-ud-train_Case=Ter,0.14849944515460417,0.06369903581313331,0.09450804256984706
3,et_ewt-ud-train_Case=Ter,0.30787639293216423,0.36602604996376636,0.3382646338627616
4,et_ewt-ud-test_Case=Ter,0.280747005463742,0.27555390846461003,0.26185741155392717
5,et_ewt-ud-dev_Case=Ter,0.24372171923260263,0.2213031162276699,0.22231275834352862
6,olo_kkpp-ud-test_Case=Ter,1.25303549464662,1.2962458349945813,1.2782070279984956
7,vep_vwt-ud-test_Case=Ter,0.2858773475129578,0.20286823403356452,0.23092293421550486
8,kpv_ikdp-ud-test_Case=Ter,1.2530354946466202,1.2962458349945813,1.2782070279984956
9,kpv_lattice-ud-test_Case=Ter,2.255566306277299,2.325387783854413,2.2982161077892997
10,et_edt-ud-dev_Case=Ter,0.16407760068617616,0.11462084108744078,0.12404819017801787
11,et_edt-ud-train_Case=Ter,0.1395670711607649,0.14244702872961298,0.13154480232088425
12,et_edt-ud-test_Case=Ter,0.19677137201784495,0.20085185733191427,0.1908682687464766
13,ab_abnc-ud-test_Case=Ter,0.2858773475129578,0.20286823403356452,0.23092293421550486
14,gu_gujtb-ud-test_Case=Ter,0.2858773475129578,0.20286823403356452,0.23092293421550486
