,Treebank,hu_szeged-ud-dev_Case=Sbl,hu_szeged-ud-test_Case=Sbl,hu_szeged-ud-train_Case=Sbl
0,hu_szeged-ud-dev_Case=Tra,0.33103532281741077,0.394439110775314,0.37220802809832665
1,hu_szeged-ud-test_Case=Tra,0.15462638957611388,0.07988168932660064,0.09811327410105355
2,hu_szeged-ud-train_Case=Tra,0.20062374941366318,0.12898925205928743,0.1465656818892949
3,fi_ood-ud-test_Case=Tra,2.2732895081558295,2.3443573634059036,2.31723432787292
4,et_ewt-ud-train_Case=Tra,2.9856620708762738,3.0529424079686556,3.026217013615008
5,et_ewt-ud-test_Case=Tra,2.978873806452319,3.0445697093012183,3.0180006445239695
6,et_ewt-ud-dev_Case=Tra,4.271126082075292,4.335493157083372,4.310059217983241
7,gub_tudet-ud-test_Case=Tra,1.2622811750152136,1.1840852064015472,1.2136052062629963
8,olo_kkpp-ud-test_Case=Tra,0.8022856475651352,0.8673055361851469,0.845074957195457
9,mdf_jr-ud-test_Case=Tra,2.845094902654016,2.911611359427941,2.885170627170629
10,vep_vwt-ud-test_Case=Tra,2.6567781322247357,2.7054299120660477,2.685945087171887
11,fi_tdt-ud-train_Case=Tra,3.120528912953999,3.191000381360848,3.163654617864576
12,fi_tdt-ud-test_Case=Tra,4.414723154877556,4.490864373500525,4.461889287289006
13,fi_tdt-ud-dev_Case=Tra,3.5163179249456262,3.5879783448463938,3.560314940383425
14,myv_jr-ud-test_Case=Tra,4.6308099979819675,4.697526659152154,4.671488773488501
15,myv_jr-ud-train_Case=Tra,11.017358620563282,11.088093486912673,11.060042717536936
16,kpv_ikdp-ud-test_Case=Tra,1.2622811750152136,1.1840852064015472,1.2136052062629963
17,kpv_lattice-ud-test_Case=Tra,1.2622811750152136,1.1840852064015472,1.2136052062629963
18,tpn_tudet-ud-test_Case=Tra,0.26288100709787865,0.30389415206830356,0.2795926602003374
19,fi_pud-ud-test_Case=Tra,8.214014090484676,8.285829033100194,8.258362657507929
20,et_edt-ud-dev_Case=Tra,3.5507955552517574,3.6202110134095067,3.592343515379346
21,et_edt-ud-train_Case=Tra,3.205796392214519,3.2748146538555045,3.2471237000208304
22,et_edt-ud-test_Case=Tra,2.5098219259817545,2.5767725783554245,2.5499889631119688
23,krl_kkpp-ud-test_Case=Tra,0.2898667423747836,0.30609520524346234,0.29381543415136335
24,fi_ftb-ud-dev_Case=Tra,1.2622811750152136,1.1840852064015472,1.2136052062629963
25,fi_ftb-ud-train_Case=Tra,1.2622811750152136,1.1840852064015472,1.2136052062629963
26,fi_ftb-ud-test_Case=Tra,1.2622811750152136,1.1840852064015472,1.2136052062629963
27,eme_tudet-ud-test_Case=Tra,1.3549296605185182,1.4108433040740467,1.3835826723773306
28,aqz_tudet-ud-test_Case=Tra,1.2622811750152136,1.1840852064015472,1.2136052062629963
