,Treebank,egy_ujaen-ud-test_Case=Sub
0,fi_ood-ud-test_Case=Abe,6.6849748607522
1,sms_giellagas-ud-test_Case=Abe,1.3416407864998738
2,sms_giellagas-ud-train_Case=Abe,0.894427190999916
3,et_ewt-ud-train_Case=Abe,4.787976248195889
4,et_ewt-ud-test_Case=Abe,10.64894360957931
5,et_ewt-ud-dev_Case=Abe,0.894427190999916
6,gub_tudet-ud-test_Case=Abe,2.4083189157584592
7,olo_kkpp-ud-test_Case=Abe,0.894427190999916
8,olo_kkpp-ud-train_Case=Abe,0.894427190999916
9,mdf_jr-ud-test_Case=Abe,1.8165902124584952
10,fi_tdt-ud-train_Case=Abe,12.049089407733497
11,fi_tdt-ud-test_Case=Abe,9.044335243676011
12,fi_tdt-ud-dev_Case=Abe,3.4351128074635335
13,myv_jr-ud-test_Case=Abe,1.8654758106177631
14,myv_jr-ud-train_Case=Abe,1.863724600834335
15,kpv_ikdp-ud-test_Case=Abe,1.3416407864998738
16,kpv_lattice-ud-test_Case=Abe,2.772884579078056
17,fi_pud-ud-test_Case=Abe,2.4083189157584592
18,et_edt-ud-dev_Case=Abe,3.855571565768872
19,et_edt-ud-train_Case=Abe,4.822468076318125
20,et_edt-ud-test_Case=Abe,4.373213921133975
21,koi_uh-ud-test_Case=Abe,2.302172886644268
22,sme_giella-ud-train_Case=Abe,0.894427190999916
23,sme_giella-ud-test_Case=Abe,0.894427190999916
24,arr_tudet-ud-test_Case=Abe,1.3416407864998738
25,krl_kkpp-ud-test_Case=Abe,2.4083189157584592
26,fi_ftb-ud-dev_Case=Abe,0.894427190999916
27,fi_ftb-ud-train_Case=Abe,0.894427190999916
28,fi_ftb-ud-test_Case=Abe,0.894427190999916
29,ab_abnc-ud-test_Case=Abe,1.3416407864998738
