,Treebank,egy_ujaen-ud-test_Case=Sub
0,xcl_caval-ud-train_Case=Abl,2.1258621271497464
1,xcl_caval-ud-dev_Case=Abl,1.7787277372998085
2,xcl_caval-ud-test_Case=Abl,1.9975183668685155
3,hu_szeged-ud-dev_Case=Abl,1.513136918237518
4,hu_szeged-ud-test_Case=Abl,1.4602162185644556
5,hu_szeged-ud-train_Case=Abl,1.5850778073422132
6,tr_pud-ud-test_Case=Abl,1.7961038623920287
7,fi_ood-ud-test_Case=Abl,2.124417282204072
8,sah_yktdt-ud-test_Case=Abl,1.7154757774032086
9,sa_vedic-ud-test_Case=Abl,4.903853877724283
10,sa_vedic-ud-train_Case=Abl,6.209650820586409
11,sa_vedic-ud-dev_Case=Abl,8.87653296425833
12,la_circse-ud-test_Case=Abl,3.1065871405439047
13,tr_atis-ud-dev_Case=Abl,19.867706995272506
14,tr_atis-ud-train_Case=Abl,18.03657772679381
15,tr_atis-ud-test_Case=Abl,24.757111772848894
16,hi_pud-ud-test_Case=Abl,0.894427190999916
17,la_perseus-ud-test_Case=Abl,2.275994213840248
18,la_perseus-ud-train_Case=Abl,2.4886108690577053
19,tr_kenet-ud-dev_Case=Abl,1.8602813738297483
20,tr_kenet-ud-test_Case=Abl,2.1665040069633763
21,tr_kenet-ud-train_Case=Abl,1.8804060856866127
22,ess_sli-ud-test_Case=Abl,117.45552349719446
23,ky_tuecl-ud-test_Case=Abl,1.3416407864998738
24,hit_hittb-ud-test_Case=Abl,1.4020272726922187
25,sa_ufal-ud-test_Case=Abl,2.696180215620247
26,et_ewt-ud-train_Case=Abl,1.5501493356973588
27,et_ewt-ud-test_Case=Abl,1.5954817862255637
28,et_ewt-ud-dev_Case=Abl,1.503329637837291
29,gub_tudet-ud-test_Case=Abl,1.3416407864998738
30,ml_ufal-ud-test_Case=Abl,0.894427190999916
31,egy_ujaen-ud-test_Case=Abl,0.894427190999916
32,sq_tsa-ud-test_Case=Abl,2.712112747574399
33,mr_ufal-ud-train_Case=Abl,1.3416407864998738
34,si_stb-ud-test_Case=Abl,1.949358868961793
35,olo_kkpp-ud-test_Case=Abl,0.894427190999916
36,olo_kkpp-ud-train_Case=Abl,1.3416407864998738
37,hy_bsut-ud-train_Case=Abl,1.8557259704277607
38,hy_bsut-ud-test_Case=Abl,1.7947088657633024
39,hy_bsut-ud-dev_Case=Abl,1.800461301904037
40,mdf_jr-ud-test_Case=Abl,5.0754076992503245
41,mdf_jr-ud-train_Case=Abl,0.894427190999916
42,vep_vwt-ud-test_Case=Abl,1.8165902124584952
43,la_llct-ud-dev_Case=Abl,4.191244803918784
44,la_llct-ud-test_Case=Abl,4.314644032690169
45,la_llct-ud-train_Case=Abl,3.9644518616873574
46,fi_tdt-ud-train_Case=Abl,2.0584540967014004
47,fi_tdt-ud-test_Case=Abl,1.8804786481773752
48,fi_tdt-ud-dev_Case=Abl,2.405722344743882
49,myv_jr-ud-test_Case=Abl,1.8920427531039794
50,myv_jr-ud-train_Case=Abl,2.241750161588541
51,tr_framenet-ud-test_Case=Abl,1.528235243206975
52,tr_framenet-ud-train_Case=Abl,2.4757899771750296
53,tr_framenet-ud-dev_Case=Abl,2.821347195933177
54,ky_ktmu-ud-train_Case=Abl,2.253885533916929
55,ky_ktmu-ud-test_Case=Abl,2.4717142017994163
56,la_proiel-ud-test_Case=Abl,2.728297502797939
57,la_proiel-ud-dev_Case=Abl,2.709910286984255
58,la_proiel-ud-train_Case=Abl,2.6538649330608277
59,kpv_ikdp-ud-test_Case=Abl,5.639148871948674
60,kpv_lattice-ud-test_Case=Abl,3.038436895088015
61,tt_nmctt-ud-test_Case=Abl,1.7101619045026668
62,tr_gb-ud-test_Case=Abl,2.642987985909175
63,fi_pud-ud-test_Case=Abl,1.930329473172909
64,hy_armtdp-ud-train_Case=Abl,1.7245462477360938
65,hy_armtdp-ud-dev_Case=Abl,1.578264959746636
66,hy_armtdp-ud-test_Case=Abl,1.9175205854031274
67,ota_boun-ud-train_Case=Abl,2.001020147987786
68,ota_boun-ud-test_Case=Abl,1.7603759515981277
69,et_edt-ud-dev_Case=Abl,1.6524999968062175
70,et_edt-ud-train_Case=Abl,1.6571125332559042
71,et_edt-ud-test_Case=Abl,1.6600498774022239
72,sjo_xdt-ud-test_Case=Abl,14.751949023773097
73,la_udante-ud-train_Case=Abl,2.6156910808570575
74,la_udante-ud-test_Case=Abl,3.0114289992895964
75,la_udante-ud-dev_Case=Abl,2.568196887263166
76,hyw_armtdp-ud-test_Case=Abl,1.5789139218227477
77,hyw_armtdp-ud-dev_Case=Abl,1.7784893570201172
78,hyw_armtdp-ud-train_Case=Abl,1.7987435987366955
79,arr_tudet-ud-test_Case=Abl,0.894427190999916
80,aln_gps-ud-test_Case=Abl,1.7621918873760272
81,kk_ktb-ud-test_Case=Abl,2.049030088982481
82,kk_ktb-ud-train_Case=Abl,1.970185943778207
83,gn_oldtudet-ud-test_Case=Abl,1.3416407864998738
84,ta_mwtt-ud-test_Case=Abl,1.3416407864998738
85,ota_dudu-ud-test_Case=Abl,1.8216801361705954
86,ug_udt-ud-test_Case=Abl,1.7742613877955589
