,Treebank,egy_ujaen-ud-test_Case=Sub
0,hu_szeged-ud-dev_Case=Ill,1.5605913503278461
1,hu_szeged-ud-test_Case=Ill,1.619406245167857
2,hu_szeged-ud-train_Case=Ill,1.4643394836774668
3,fi_ood-ud-test_Case=Ill,2.053944497789558
4,sms_giellagas-ud-test_Case=Ill,6.160607633971919
5,sms_giellagas-ud-train_Case=Ill,1.3416407864998738
6,et_ewt-ud-train_Case=Ill,6.645265856628354
7,et_ewt-ud-test_Case=Ill,5.46830869648011
8,et_ewt-ud-dev_Case=Ill,11.782703372547068
9,egy_ujaen-ud-test_Case=Ill,0.894427190999916
10,si_stb-ud-test_Case=Ill,0.894427190999916
11,lt_alksnis-ud-test_Case=Ill,1.3416407864998738
12,lt_alksnis-ud-dev_Case=Ill,1.3416407864998738
13,lt_alksnis-ud-train_Case=Ill,1.3416407864998738
14,olo_kkpp-ud-test_Case=Ill,2.017526753523589
15,olo_kkpp-ud-train_Case=Ill,0.894427190999916
16,mdf_jr-ud-test_Case=Ill,8.751071362981792
17,mdf_jr-ud-train_Case=Ill,0.894427190999916
18,vep_vwt-ud-test_Case=Ill,1.853375299285064
19,fi_tdt-ud-train_Case=Ill,2.1170765979545845
20,fi_tdt-ud-test_Case=Ill,2.120589445903626
21,fi_tdt-ud-dev_Case=Ill,2.0734330639519607
22,myv_jr-ud-test_Case=Ill,1.9165680269380514
23,myv_jr-ud-train_Case=Ill,1.7389889370863942
24,kpv_ikdp-ud-test_Case=Ill,2.4779023386727737
25,kpv_lattice-ud-test_Case=Ill,9.473890005522266
26,kpv_lattice-ud-train_Case=Ill,0.894427190999916
27,fi_pud-ud-test_Case=Ill,2.1354552595888068
28,et_edt-ud-dev_Case=Ill,4.48411153249199
29,et_edt-ud-train_Case=Ill,4.422641330557162
30,et_edt-ud-test_Case=Ill,5.43655524809574
31,koi_uh-ud-train_Case=Ill,0.894427190999916
32,koi_uh-ud-test_Case=Ill,31.24419946166008
33,sme_giella-ud-train_Case=Ill,1.4412661550018824
34,sme_giella-ud-test_Case=Ill,1.483684001386028
35,krl_kkpp-ud-test_Case=Ill,1.6143645311719943
36,fi_ftb-ud-dev_Case=Ill,0.894427190999916
37,fi_ftb-ud-train_Case=Ill,0.894427190999916
38,fi_ftb-ud-test_Case=Ill,0.894427190999916
