,Treebank,hu_szeged-ud-dev_Case=Sup,hu_szeged-ud-test_Case=Sup,hu_szeged-ud-train_Case=Sup,egy_ujaen-ud-test_Case=Sup
0,hu_szeged-ud-dev_Case=Tra,0.5051652442177246,0.4253720230864875,0.38867648744174,1.5309310892394863
1,hu_szeged-ud-test_Case=Tra,0.133124442542564,0.1145307118227128,0.11232233961424937,1.1726039399558574
2,hu_szeged-ud-train_Case=Tra,0.1116472676394302,0.12530949339855488,0.14800556309768478,1.1235657524150513
3,fi_ood-ud-test_Case=Tra,2.441825827326891,2.3621759739971937,2.334448897631365,3.451894652855358
4,et_ewt-ud-train_Case=Tra,3.146778569231756,3.068531815567407,3.0422243582393946,4.0984566532751705
5,et_ewt-ud-test_Case=Tra,3.1379224455766224,3.0609298747538705,3.0343163432095976,4.100771455544949
6,et_ewt-ud-dev_Case=Tra,4.425572803757369,4.350870407455172,4.32520538804022,5.3378073681990434
7,gub_tudet-ud-test_Case=Tra,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
8,olo_kkpp-ud-test_Case=Tra,0.9473277138223009,0.88217596993169,0.8578528408166353,1.932535608352669
9,mdf_jr-ud-test_Case=Tra,3.004937344721963,2.927130700157147,2.9017317492634587,3.9567979478361033
10,vep_vwt-ud-test_Case=Tra,2.7780571168094093,2.718960631119959,2.698896081671788,3.605551275463989
11,fi_tdt-ud-train_Case=Tra,3.290623528512426,3.2087734809466997,3.1811488133583863,4.293306195252593
12,fi_tdt-ud-test_Case=Tra,4.595082150938708,4.508533843704196,4.47930472953527,5.606948352043668
13,fi_tdt-ud-dev_Case=Tra,3.6883665383292645,3.6055901385090325,3.577833406060947,4.688197948039311
14,myv_jr-ud-test_Case=Tra,4.792949237524101,4.714685689080636,4.688532497280566,5.756060406646084
15,myv_jr-ud-train_Case=Tra,11.18751535842432,11.105527763847167,11.078015193457036,12.167168939404103
16,kpv_ikdp-ud-test_Case=Tra,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
17,kpv_lattice-ud-test_Case=Tra,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
18,tpn_tudet-ud-test_Case=Tra,0.38608363611791546,0.31447476954372644,0.29497167772192756,1.4281039179389805
19,fi_pud-ud-test_Case=Tra,8.386548881081492,8.303815567206819,8.275899817690934,9.375984796760866
20,et_edt-ud-dev_Case=Tra,3.716899566989585,3.636179463630107,3.6092990118604322,4.6850033295982945
21,et_edt-ud-train_Case=Tra,3.371493748827632,3.2911268818255497,3.2640536272645195,4.346730359605627
22,et_edt-ud-test_Case=Tra,2.6715021101966356,2.592946464412386,2.5664382398658594,3.641976368707614
23,krl_kkpp-ud-test_Case=Tra,0.36329979926784256,0.31303965748846224,0.3019231169275105,1.3562839573037448
24,fi_ftb-ud-dev_Case=Tra,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
25,fi_ftb-ud-train_Case=Tra,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
26,fi_ftb-ud-test_Case=Tra,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
27,eme_tudet-ud-test_Case=Tra,1.4963457553713067,1.4231117010200731,1.401702109794588,2.453568829277059
28,aqz_tudet-ud-test_Case=Tra,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
