,Treebank,hu_szeged-ud-dev_Case=Tem,hu_szeged-ud-test_Case=Tem,hu_szeged-ud-train_Case=Tem,fa_seraji-ud-dev_Case=Tem,fa_seraji-ud-test_Case=Tem,fa_seraji-ud-train_Case=Tem,gub_tudet-ud-test_Case=Tem,lzh_tuecl-ud-test_Case=Tem,apu_ufpa-ud-test_Case=Tem,egy_ujaen-ud-test_Case=Tem,nyq_aha-ud-test_Case=Tem,mdf_jr-ud-test_Case=Tem,mdf_jr-ud-train_Case=Tem,myv_jr-ud-test_Case=Tem,myv_jr-ud-train_Case=Tem,kfm_aha-ud-test_Case=Tem,soj_aha-ud-test_Case=Tem,he_htb-ud-train_Case=Tem,lzh_kyoto-ud-dev_Case=Tem,lzh_kyoto-ud-train_Case=Tem,lzh_kyoto-ud-test_Case=Tem,gu_gujtb-ud-test_Case=Tem
0,sl_ssj-ud-test_Case=Dat,2.166832921855416,2.2850533621933233,2.2850533621933233,3.237354116223063,3.237354116223063,3.237354116223063,2.2850533621933233,3.237354116223063,3.237354116223063,3.237354116223063,3.237354116223063,3.237354116223063,3.237354116223063,1.378740477001792,2.6596967597232815,3.237354116223063,3.237354116223063,5.529456224101793,3.237354116223063,3.237354116223063,3.237354116223063,3.231793689393682
1,sl_ssj-ud-dev_Case=Dat,2.6321991228290886,2.75214562760686,2.75214562760686,3.702382866329317,3.702382866329317,3.702382866329317,2.75214562760686,3.702382866329317,3.702382866329317,3.702382866329317,3.702382866329317,3.702382866329317,3.702382866329317,1.7486105595268746,2.6909054651217725,3.702382866329317,3.702382866329317,5.184043359729504,3.702382866329317,3.702382866329317,3.702382866329317,3.1897187267148737
2,sl_ssj-ud-train_Case=Dat,2.039735597963542,2.1601796065306087,2.1601796065306087,3.1179361720571244,3.1179361720571244,3.1179361720571244,2.1601796065306087,3.1179361720571244,3.1179361720571244,3.1179361720571244,3.1179361720571244,3.1179361720571244,3.1179361720571244,1.2702987766441265,2.651131990507448,3.1179361720571244,3.1179361720571244,5.603231349946118,3.1179361720571244,3.1179361720571244,3.1179361720571244,3.2405132017654603
3,xcl_caval-ud-train_Case=Dat,0.16111593862499246,0.2535032568519937,0.2535032568519937,1.239102502759832,1.239102502759832,1.239102502759832,0.2535032568519937,1.239102502759832,1.239102502759832,1.239102502759832,1.239102502759832,1.239102502759832,1.239102502759832,1.3559078595010763,3.3743867773947893,1.239102502759832,1.239102502759832,7.153067524660011,1.239102502759832,1.239102502759832,1.239102502759832,4.080555178882064
4,xcl_caval-ud-dev_Case=Dat,0.13877331885656202,0.1774437795360273,0.1774437795360273,1.1651494545412489,1.1651494545412489,1.1651494545412489,0.1774437795360273,1.1651494545412489,1.1651494545412489,1.1651494545412489,1.1651494545412489,1.1651494545412489,1.1651494545412489,1.4223333605789599,3.4229035778986945,1.1651494545412489,1.1651494545412489,7.221192195868951,1.1651494545412489,1.1651494545412489,1.1651494545412489,4.129555112276722
5,xcl_caval-ud-test_Case=Dat,0.11778901699336115,0.24363276830424319,0.24363276830424319,1.2227021265001647,1.2227021265001647,1.2227021265001647,0.24363276830424319,1.2227021265001647,1.2227021265001647,1.2227021265001647,1.2227021265001647,1.2227021265001647,1.2227021265001647,1.3639050604057419,3.38677545977003,1.2227021265001647,1.2227021265001647,7.172810356543668,1.2227021265001647,1.2227021265001647,1.2227021265001647,4.092972786706782
6,hu_szeged-ud-dev_Case=Dat,2.2825480302074874,2.374008923181827,2.374008923181827,3.1993621813334823,3.1993621813334823,3.1993621813334823,2.374008923181827,3.1993621813334823,3.1993621813334823,3.1993621813334823,3.1993621813334823,3.1993621813334823,3.1993621813334823,1.8006297714122537,3.0225681741437924,3.1993621813334823,3.1993621813334823,5.968685289210067,3.1993621813334823,3.1993621813334823,3.1993621813334823,3.582724991866797
7,hu_szeged-ud-test_Case=Dat,5.255281599864802,5.356666645500764,5.356666645500764,6.174337938564088,6.174337938564088,6.174337938564088,5.356666645500764,6.174337938564088,6.174337938564088,6.174337938564088,6.174337938564088,6.174337938564088,6.174337938564088,4.428827437556731,4.485805276602166,6.174337938564088,6.174337938564088,5.053035054826567,6.174337938564088,6.174337938564088,6.174337938564088,4.626895640200471
8,hu_szeged-ud-train_Case=Dat,2.1143943022308123,2.209383975460221,2.209383975460221,3.045362818101901,3.045362818101901,3.045362818101901,2.209383975460221,3.045362818101901,3.045362818101901,3.045362818101901,3.045362818101901,3.045362818101901,3.045362818101901,1.6596365337134156,2.9831585096802264,3.045362818101901,3.045362818101901,6.028736456779822,3.045362818101901,3.045362818101901,3.045362818101901,3.56409962296917
9,xav_xdt-ud-test_Case=Dat,0.2850438562747845,0.3535533905932738,0.3535533905932738,1.3133925536563698,1.3133925536563698,1.3133925536563698,0.3535533905932738,1.3133925536563698,1.3133925536563698,1.3133925536563698,1.3133925536563698,1.3133925536563698,1.3133925536563698,1.330204662615661,3.3354160160315836,1.3133925536563698,1.3133925536563698,7.0992957397195395,1.3133925536563698,1.3133925536563698,1.3133925536563698,4.040420770167385
10,tr_pud-ud-test_Case=Dat,5.301531706291225,5.418819642596533,5.418819642596533,6.339143832598542,6.339143832598542,6.339143832598542,5.418819642596533,6.339143832598542,6.339143832598542,6.339143832598542,6.339143832598542,6.339143832598542,6.339143832598542,4.305152497450826,4.160620241086025,6.339143832598542,6.339143832598542,4.127883153278458,6.339143832598542,6.339143832598542,6.339143832598542,4.2308618134895015
11,es_gsd-ud-test_Case=Dat,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
12,es_gsd-ud-dev_Case=Dat,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
13,es_gsd-ud-train_Case=Dat,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
14,de_hdt-ud-test_Case=Dat,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
15,de_hdt-ud-train_Case=Dat,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
