,Treebank,hu_szeged-ud-dev_Case=Ter,hu_szeged-ud-test_Case=Ter,hu_szeged-ud-train_Case=Ter,et_ewt-ud-train_Case=Ter,et_ewt-ud-test_Case=Ter,et_ewt-ud-dev_Case=Ter,olo_kkpp-ud-test_Case=Ter,vep_vwt-ud-test_Case=Ter,kpv_ikdp-ud-test_Case=Ter,kpv_lattice-ud-test_Case=Ter,et_edt-ud-dev_Case=Ter,et_edt-ud-train_Case=Ter,et_edt-ud-test_Case=Ter,ab_abnc-ud-test_Case=Ter,gu_gujtb-ud-test_Case=Ter
0,xcl_caval-ud-train_Case=Abl,0.6459385201336981,0.981033658215459,0.8687384245653648,0.5004215132845742,0.7966580917811903,0.7457563467699652,1.073021595843705,0.981033658215459,1.0862301064948006,1.7227547029967467,0.8090375592312413,0.736713756730673,0.7049963930070743,0.981033658215459,0.981033658215459
1,xcl_caval-ud-dev_Case=Abl,0.34674460871818386,0.5715444524392794,0.464014764787705,0.15563161841026865,0.4223828206267715,0.3572020348097913,1.1211135621575767,0.5715444524392794,1.1314377725739666,2.017987347078726,0.40280251338811096,0.3336678151022727,0.31090883908335143,0.5715444524392794,0.5715444524392794
2,xcl_caval-ud-test_Case=Abl,0.5249282917191141,0.8383913995250516,0.7269716264306203,0.3668334846551516,0.6689979510100867,0.6048190817951742,1.0469300511304316,0.8383913995250516,1.0869832645584077,1.8219989528397231,0.6665158256169867,0.5941248759320298,0.5631434786421966,0.8383913995250516,0.8383913995250516
3,hu_szeged-ud-dev_Case=Abl,0.2756865727955446,0.27003086243366076,0.20412414523193148,0.37693942926328805,0.30618621784789724,0.26378652985574025,1.286953767623375,0.27003086243366076,1.286953767623375,2.304932230030639,0.19152248831360752,0.19955219108842837,0.24256493025507422,0.27003086243366076,0.27003086243366076
4,hu_szeged-ud-test_Case=Abl,0.34786212843883957,0.20327890704543547,0.11223888174264438,0.3716725653956296,0.2746146812180584,0.22044283005422077,1.295255168070455,0.20327890704543547,1.2952551680704552,2.326850901010595,0.11637512849490811,0.15841221713998976,0.2103393773744447,0.20327890704543547,0.20327890704543547
5,hu_szeged-ud-train_Case=Abl,0.18098022620621235,0.36265586218399565,0.2379463820393653,0.3364311832204082,0.31899430968986336,0.29615832010411836,1.2298258638233295,0.36265586218399565,1.2298258638233293,2.2167165356775964,0.24912021170001492,0.23378903056919065,0.2642372144122625,0.36265586218399565,0.36265586218399565
6,tr_pud-ud-test_Case=Abl,0.3406276596148232,0.5927349379101761,0.48167942675875935,0.2883660574982364,0.4418469371128085,0.43360896470108856,1.0993077657154242,0.5927349379101761,1.111812634101399,1.992691950828956,0.43886671557649864,0.3839647923573276,0.3853122842919086,0.5927349379101761,0.5927349379101761
7,fi_ood-ud-test_Case=Abl,0.6021058918302648,0.9799018381739814,0.8627381349986394,0.5598597204428932,0.7649886355082326,0.800129747263997,0.9799018381739812,0.9799018381739814,1.066151115317168,1.7089738927550095,0.8232458801744212,0.7581592209542909,0.7471786862078559,0.9799018381739814,0.9799018381739814
8,sah_yktdt-ud-test_Case=Abl,0.41996052556580804,0.5345224838248488,0.45041867648553846,0.36936238496708274,0.3535533905932738,0.4407785320154718,1.1952286093343936,0.5345224838248488,1.1952286093343936,2.1285234893930483,0.42392339015085,0.39123599805163595,0.40161990337055914,0.5345224838248488,0.5345224838248488
9,sa_vedic-ud-test_Case=Abl,3.4670302189562,3.88590296719629,3.764438273295523,3.453863966153623,3.650151027862085,3.7046597907968413,3.0918050171230966,3.88590296719629,3.1339357596917594,2.0976992726511083,3.7303245643196314,3.6660225458732456,3.6547760249547285,3.88590296719629,3.88590296719629
10,sa_vedic-ud-train_Case=Abl,4.8110681557102914,5.221412445784578,5.103268650624527,4.796777147827191,4.986951613012959,5.040061988911546,4.393184608677077,5.221412445784578,4.430149529312866,3.3365078310566108,5.067961006431361,5.00598066298821,4.99358070373757,5.221412445784578,5.221412445784578
