,Treebank,hu_szeged-ud-dev_Case=Ter,hu_szeged-ud-test_Case=Ter,hu_szeged-ud-train_Case=Ter,et_ewt-ud-train_Case=Ter,et_ewt-ud-test_Case=Ter,et_ewt-ud-dev_Case=Ter,olo_kkpp-ud-test_Case=Ter,vep_vwt-ud-test_Case=Ter,kpv_ikdp-ud-test_Case=Ter,kpv_lattice-ud-test_Case=Ter,et_edt-ud-dev_Case=Ter,et_edt-ud-train_Case=Ter,et_edt-ud-test_Case=Ter,ab_abnc-ud-test_Case=Ter,gu_gujtb-ud-test_Case=Ter
0,es_gsd-ud-train_Case=Com,3.6200743461433134,3.9370039370059056,3.843735885249604,3.600694377477766,3.724916106437835,3.792097045171708,3.391164991562634,3.9370039370059056,3.391164991562634,2.8266227053441972,3.8153358243642357,3.7670604926787536,3.7555035957358327,3.9370039370059056,3.9370039370059056
1,fi_ood-ud-test_Case=Com,1.3517250067329378,1.7320508075688772,1.614818531256342,1.3285330255586423,1.541103500742244,1.5748015748023623,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.4846149779161804,1.5880502925747944,1.525871950255174,1.5202382480241385,1.7320508075688772,1.7320508075688772
2,es_ancora-ud-train_Case=Com,8.003085824608492,8.366600265340756,8.262826729125788,7.985298992523699,8.131727983645296,8.202438661763951,7.615773105863909,8.366600265340756,7.615773105863909,6.6486150161257696,8.23130985149276,8.176934987579381,8.162609723702783,8.366600265340756,8.366600265340756
3,es_ancora-ud-test_Case=Com,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
4,es_ancora-ud-dev_Case=Com,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
5,sms_giellagas-ud-test_Case=Com,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
6,et_ewt-ud-train_Case=Com,8.565001999956523,8.918077077791608,8.816278959479334,8.556439348291299,8.71406200019313,8.763236901262816,8.212381498477967,8.918077077791608,8.212381498477967,7.30055375707829,8.788131967550962,8.734765395399167,8.722824516212167,8.918077077791608,8.918077077791608
7,et_ewt-ud-test_Case=Com,6.3463529925855315,6.689698507085539,6.590271216085197,6.338466456864262,6.492287223192591,6.537672141121287,6.024742373011233,6.689698507085539,6.024742373011233,5.189429036260302,6.561400958060619,6.510500585459079,6.499104303177131,6.689698507085539,6.689698507085539
8,et_ewt-ud-dev_Case=Com,10.15372105285857,10.492815330201854,10.395693762623267,10.143093974320697,10.28885499898228,10.341315676322592,9.784453852417245,10.492815330201854,9.79374062204533,8.900131802139954,10.367330534025863,10.31675347554125,10.304245820046766,10.492815330201854,10.492815330201854
9,ml_ufal-ud-test_Case=Com,9.955146320954048,10.27131929208707,10.180830297945034,9.950628120877596,10.093314619093174,10.128178513434683,9.617692030835672,10.27131929208707,9.617692030835672,8.79064902064015,10.153406875212248,10.10782325893257,10.096191140735584,10.27131929208707,10.27131929208707
10,apu_ufpa-ud-test_Case=Com,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
11,egy_ujaen-ud-test_Case=Com,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
