,Treebank,hu_szeged-ud-dev_Case=Ter,hu_szeged-ud-test_Case=Ter,hu_szeged-ud-train_Case=Ter,et_ewt-ud-train_Case=Ter,et_ewt-ud-test_Case=Ter,et_ewt-ud-dev_Case=Ter,olo_kkpp-ud-test_Case=Ter,vep_vwt-ud-test_Case=Ter,kpv_ikdp-ud-test_Case=Ter,kpv_lattice-ud-test_Case=Ter,et_edt-ud-dev_Case=Ter,et_edt-ud-train_Case=Ter,et_edt-ud-test_Case=Ter,ab_abnc-ud-test_Case=Ter,gu_gujtb-ud-test_Case=Ter
0,sl_ssj-ud-test_Case=Loc,1.343633682937021,1.696228630811666,1.5881499386384186,1.290900605088565,1.5020518705935135,1.50066864523786,1.115995311925273,1.696228630811666,1.3774241859685197,1.4726851480576155,1.5435376941876027,1.483790543372562,1.4631208633956325,1.696228630811666,1.696228630811666
1,sl_ssj-ud-dev_Case=Loc,1.333114963316976,1.692132258571466,1.5823484236160117,1.2782013959083107,1.4960197398596486,1.4928021375708846,1.1075215200168531,1.692132258571466,1.366070935888557,1.450151218706736,1.5367880398461264,1.4754696605899502,1.4541593576945673,1.692132258571466,1.692132258571466
2,sl_ssj-ud-train_Case=Loc,1.3218183387404154,1.6752759658021141,1.5669155819842366,1.268130120119321,1.4804402880761143,1.4785450533592737,1.1030599653346025,1.6752759658021141,1.3618859036167785,1.4704331497070617,1.5218712304527424,1.4617311010747003,1.440920649338459,1.6752759658021141,1.6752759658021141
3,xcl_caval-ud-train_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
4,xcl_caval-ud-dev_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
5,xcl_caval-ud-test_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
6,hu_szeged-ud-train_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
7,fa_seraji-ud-dev_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
8,fa_seraji-ud-test_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
9,fa_seraji-ud-train_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
10,tr_pud-ud-test_Case=Loc,1033.5756943975525,1033.9206932835807,1033.8233767455424,1033.570058099595,1033.7260879943003,1033.7659696469022,1033.140842286278,1033.9206932835807,1033.151489376074,1032.1581709195148,1033.7938195978033,1033.744033280706,1033.7307966317046,1033.9206932835807,1033.9206932835807
11,pl_pdb-ud-test_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
12,pl_pdb-ud-train_Case=Loc,18055.776467024632,18056.1882466926,18056.072005680126,18055.739961713003,18055.958812120723,18055.97474743471,18055.12049253618,18056.1882466926,18055.27202785934,18054.0665360964,18056.027410465602,18055.962527584645,18055.936910096032,18056.1882466926,18056.1882466926
13,pl_pdb-ud-dev_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
14,uk_iu-ud-dev_Case=Loc,1.2619500998933573,1.608509785660613,1.5014018881721198,1.2091034115238022,1.4135126516166159,1.4160479968291029,1.104918143229062,1.608509785660613,1.3294464841310594,1.502996505461146,1.4573251227170607,1.3984527688856512,1.3786589296463903,1.608509785660613,1.608509785660613
15,uk_iu-ud-train_Case=Loc,1.288965708088545,1.6390674756400339,1.5312471432033017,1.2430210657749523,1.4431796902644927,1.451920428252536,1.1129296712681682,1.6390674756400339,1.3428439105570178,1.4906926979652684,1.4892811478001637,1.4310700050551264,1.413366659903758,1.6390674756400339,1.6390674756400339
16,uk_iu-ud-test_Case=Loc,1.2541235981345802,1.6067778252627123,1.4981699018937618,1.203336933834347,1.4112163383520524,1.4140850323390413,1.12368908685194,1.6067778252627123,1.3199752086650895,1.4852012424206882,1.4542672144772706,1.3948171729263472,1.3755464824823007,1.6067778252627123,1.6067778252627123
17,sa_vedic-ud-test_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
18,sa_vedic-ud-train_Case=Loc,2097.444029477336,2097.877445843245,2097.754718178197,2097.4327028006824,2097.6300681430403,2097.684785132832,2096.884143464085,2097.877445843245,2096.922294962574,2095.554633015958,2097.7180212270505,2097.653668756052,2097.638369971938,2097.877445843245,2097.877445843245
19,sa_vedic-ud-dev_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
20,bn_bru-ud-test_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
21,hr_set-ud-dev_Case=Loc,1.2643146158335525,1.6194512683318383,1.51034942469366,1.1951308207586249,1.4224673395537761,1.4085641437125853,1.0714800292784696,1.6194512683318383,1.3189166975470104,1.4549700618376291,1.460351440914842,1.397771614711811,1.372305249135358,1.6194512683318383,1.6194512683318383
22,hr_set-ud-train_Case=Loc,1.2485791629544707,1.6071489192074304,1.4970234388968537,1.1762578753364186,1.4076514256943382,1.394031426512618,1.0825582761945944,1.6071489192074304,1.307815110006752,1.4468083454149516,1.4467175805280406,1.3829060326643599,1.3568166246040378,1.6071489192074304,1.6071489192074304
23,hr_set-ud-test_Case=Loc,1.208127047000466,1.5644958027481373,1.4546907003894611,1.129892131326637,1.3645295769879275,1.3472633903630122,1.0709639328745544,1.5644958027481373,1.284671398455714,1.458590188888368,1.4026706107680573,1.33825784428071,1.3107217112096299,1.5644958027481373,1.5644958027481373
24,orv_rnc-ud-dev_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
25,orv_rnc-ud-train_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
26,orv_rnc-ud-test_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
27,la_circse-ud-test_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
28,grc_perseus-ud-test_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
29,tr_atis-ud-dev_Case=Loc,10.553627004722145,10.955205562910256,10.841275696319121,10.520528928034933,10.730402085924824,10.747777014052797,10.091318583009935,10.955205562910256,10.100323208968108,8.910075293009822,10.795198863034523,10.734664249368473,10.71095462802056,10.955205562910256,10.955205562910256
30,tr_atis-ud-train_Case=Loc,53.54924736435523,53.94909814178008,53.836399649674966,53.504311665341575,53.721073329962266,53.7311106262931,53.04969270593159,53.94909814178008,53.059671311865316,51.866538764145844,53.78626960998066,53.724496996779095,53.69650046848333,53.94909814178008,53.94909814178008
31,tr_atis-ud-test_Case=Loc,12.565138918825479,12.965338406690357,12.852015622288809,12.507797567917384,12.734794855041836,12.736561545409343,12.103718436910205,12.965338406690357,12.103718436910205,10.910863337770767,12.799111397630549,12.734294868232784,12.702847863489142,12.965338406690357,12.965338406690357
32,hi_pud-ud-test_Case=Loc,0.5154059433295177,0.008657078970446205,0.15060779429560123,0.5088839658379193,0.3488256860922954,0.27813391814999583,1.4094298854721865,0.008657078970446205,1.4094298854721865,2.4845746562229856,0.1771877666611724,0.2512913151919228,0.2972781762519185,0.008657078970446205,0.008657078970446205
33,la_perseus-ud-test_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
34,la_perseus-ud-train_Case=Loc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
35,tr_kenet-ud-dev_Case=Loc,596.3133445918107,596.65567960089,596.5593216986518,596.3007336906437,596.4600782952704,596.4948281418708,595.8741477862586,596.65567960089,595.8875732887874,594.8941596826194,596.5277716660373,596.4772052983653,596.4615121821145,596.65567960089,596.65567960089
