,Treebank,hu_szeged-ud-dev_Case=Ter,hu_szeged-ud-test_Case=Ter,hu_szeged-ud-train_Case=Ter,et_ewt-ud-train_Case=Ter,et_ewt-ud-test_Case=Ter,et_ewt-ud-dev_Case=Ter,olo_kkpp-ud-test_Case=Ter,vep_vwt-ud-test_Case=Ter,kpv_ikdp-ud-test_Case=Ter,kpv_lattice-ud-test_Case=Ter,et_edt-ud-dev_Case=Ter,et_edt-ud-train_Case=Ter,et_edt-ud-test_Case=Ter,ab_abnc-ud-test_Case=Ter,gu_gujtb-ud-test_Case=Ter
0,fi_ood-ud-test_Case=Par,9.548363696368956,9.961042212637476,9.84297419371925,9.537393997048635,9.736671709300081,9.776115059481103,8.983321711277801,9.961042212637476,9.112849061237716,7.968640852942766,9.808494664060095,9.746352908206545,9.731090387430326,9.961042212637476,9.961042212637476
1,sah_yktdt-ud-test_Case=Par,5.220945470404596,5.542562584220407,5.449248164247574,5.208166663999915,5.361436374704077,5.388877434122992,4.931531202375181,5.542562584220407,4.931531202375181,4.203205773634002,5.417460703681471,5.369975300049213,5.35672838259528,5.542562584220407,5.542562584220407
2,sms_giellagas-ud-test_Case=Par,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
3,et_ewt-ud-train_Case=Par,47.90599144609662,48.29837284690319,48.18730620148347,47.895537511714245,48.08072148836943,48.1208996479054,47.36934946395261,48.29837284690319,47.437586957951076,46.315572290193046,48.153738047886094,48.096131273977534,48.080664154545985,48.29837284690319,48.29837284690319
4,et_ewt-ud-test_Case=Par,42.83308253209337,43.21959645815241,43.11024137348797,42.82404135535949,43.00465815779377,43.045543104524015,42.29018602223233,43.21959645815241,42.37100351724245,41.26699246743536,43.0774981169277,43.0210028339141,43.00603857023407,43.21959645815241,43.21959645815241
5,et_ewt-ud-dev_Case=Par,30.402073109949526,30.79074536285213,30.680655776708697,30.39177520316969,30.57482624644006,30.615192307088325,29.85916944591728,30.79074536285213,29.94277876216568,28.83603542055513,30.64760389756399,30.59061927248201,30.575387079519743,30.79074536285213,30.79074536285213
6,olo_kkpp-ud-test_Case=Par,138.43588345208946,138.84523758487362,138.72883972780218,138.42602717697275,138.62223847565008,138.66102552628118,137.85499628232557,138.84523758487362,137.95651488784426,136.79046989122168,138.69503452325236,138.63281155826127,138.61701547064592,138.84523758487362,138.84523758487362
7,olo_kkpp-ud-train_Case=Par,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
8,vep_vwt-ud-test_Case=Par,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
9,fi_tdt-ud-train_Case=Par,17.391559907179786,17.800626985468384,17.684400663070527,17.378730534918958,17.5762814030515,17.613781595829884,16.809485359182023,17.800626985468384,16.92972854506712,15.772734063433948,17.64829307265905,17.587518346806604,17.570986787247026,17.800626985468384,17.800626985468384
