,Treebank,hu_szeged-ud-dev_Case=Ter,hu_szeged-ud-test_Case=Ter,hu_szeged-ud-train_Case=Ter,et_ewt-ud-train_Case=Ter,et_ewt-ud-test_Case=Ter,et_ewt-ud-dev_Case=Ter,olo_kkpp-ud-test_Case=Ter,vep_vwt-ud-test_Case=Ter,kpv_ikdp-ud-test_Case=Ter,kpv_lattice-ud-test_Case=Ter,et_edt-ud-dev_Case=Ter,et_edt-ud-train_Case=Ter,et_edt-ud-test_Case=Ter,ab_abnc-ud-test_Case=Ter,gu_gujtb-ud-test_Case=Ter
0,el_gud-ud-train_Case=Voc,10.976968031314193,11.357816691600545,11.248919701217732,10.897935584320546,11.1448792426537,11.118153323881323,10.567244989431572,11.357816691600545,10.567244989431572,9.467452300446222,11.192926054174908,11.1243496295284,11.086968946845502,11.357816691600545,11.357816691600545
1,el_gud-ud-test_Case=Voc,13.152711779724127,13.509256086106296,13.407994091420072,13.090645515023315,13.299436078270386,13.295864018558554,12.747548783981962,13.509256086106296,12.747548783981962,11.722558054748067,13.359033056208192,13.29816642219499,13.26673457494251,13.509256086106296,13.509256086106296
2,fa_seraji-ud-dev_Case=Voc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
3,fa_seraji-ud-test_Case=Voc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
4,fa_seraji-ud-train_Case=Voc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
5,sga_dipsgg-ud-test_Case=Voc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
6,pl_pdb-ud-test_Case=Voc,5.1573380294989875,5.454823740581938,5.367971859285978,5.152540486923684,5.286920711741844,5.319045487487316,4.9031435147801465,5.454823740581938,4.9031435147801465,4.280949732506199,5.341612090563259,5.29846001320457,5.2882115195408534,5.454823740581938,5.454823740581938
7,pl_pdb-ud-train_Case=Voc,5.351094116538853,5.6768159798800495,5.582420981335591,5.346014967530286,5.493704135095641,5.529003168117907,4.986241400672968,5.6768159798800495,5.0541489380115525,4.310414359597601,5.553767901554729,5.506617753944684,5.4952814195856305,5.6768159798800495,5.6768159798800495
8,pl_pdb-ud-dev_Case=Voc,3.2404465474931836,3.5411862419251547,3.451710526037135,3.2349652239243625,3.3712015662075148,3.402939905434711,3.023243291566195,3.5411862419251547,3.056141357987225,2.6188484772775182,3.424473683767574,3.3805555399575,3.370952306501343,3.5411862419251547,3.5411862419251547
9,uk_iu-ud-dev_Case=Voc,1.469861839480328,1.0,1.1288514320120056,1.4713938969562161,1.2747548783981961,1.2165525060596438,2.23606797749979,1.0,2.23606797749979,3.431546328418375,1.1658100334413286,1.2325679372360732,1.2567485880964147,1.0,1.0
