,Treebank,el_gud-ud-train_Case=Voc,el_gud-ud-test_Case=Voc,fa_seraji-ud-dev_Case=Voc,fa_seraji-ud-test_Case=Voc,fa_seraji-ud-train_Case=Voc,sga_dipsgg-ud-test_Case=Voc,pl_pdb-ud-test_Case=Voc,pl_pdb-ud-train_Case=Voc,pl_pdb-ud-dev_Case=Voc,uk_iu-ud-dev_Case=Voc,uk_iu-ud-train_Case=Voc,uk_iu-ud-test_Case=Voc,sa_vedic-ud-test_Case=Voc,sa_vedic-ud-train_Case=Voc,sa_vedic-ud-dev_Case=Voc,kmr_mg-ud-test_Case=Voc,hr_set-ud-dev_Case=Voc,hr_set-ud-train_Case=Voc,hr_set-ud-test_Case=Voc,orv_rnc-ud-dev_Case=Voc,orv_rnc-ud-train_Case=Voc,orv_rnc-ud-test_Case=Voc,cpg_tuecl-ud-test_Case=Voc,la_circse-ud-test_Case=Voc,grc_perseus-ud-dev_Case=Voc,grc_perseus-ud-train_Case=Voc,grc_perseus-ud-test_Case=Voc,qpm_philotis-ud-train_Case=Voc,qpm_philotis-ud-dev_Case=Voc,qpm_philotis-ud-test_Case=Voc,la_perseus-ud-test_Case=Voc,la_perseus-ud-train_Case=Voc,sk_snk-ud-train_Case=Voc,lt_hse-ud-train_Case=Voc,ess_sli-ud-test_Case=Voc,hit_hittb-ud-test_Case=Voc,sa_ufal-ud-test_Case=Voc,be_hse-ud-train_Case=Voc,be_hse-ud-dev_Case=Voc,be_hse-ud-test_Case=Voc,cs_pud-ud-test_Case=Voc,orv_ruthenian-ud-test_Case=Voc,orv_ruthenian-ud-train_Case=Voc,orv_ruthenian-ud-dev_Case=Voc,ml_ufal-ud-test_Case=Voc,egy_ujaen-ud-test_Case=Voc,ro_nonstandard-ud-test_Case=Voc,ro_nonstandard-ud-dev_Case=Voc,ro_nonstandard-ud-train_Case=Voc,ro_simonero-ud-train_Case=Voc,mr_ufal-ud-dev_Case=Voc,mr_ufal-ud-test_Case=Voc,ro_tuecl-ud-test_Case=Voc,lt_alksnis-ud-test_Case=Voc,lt_alksnis-ud-dev_Case=Voc,lt_alksnis-ud-train_Case=Voc,vi_tuecl-ud-test_Case=Voc,cu_proiel-ud-train_Case=Voc,cu_proiel-ud-test_Case=Voc,cu_proiel-ud-dev_Case=Voc,la_llct-ud-dev_Case=Voc,la_llct-ud-train_Case=Voc,sr_set-ud-train_Case=Voc,la_proiel-ud-test_Case=Voc,la_proiel-ud-dev_Case=Voc,la_proiel-ud-train_Case=Voc,grc_proiel-ud-test_Case=Voc,grc_proiel-ud-train_Case=Voc,grc_proiel-ud-dev_Case=Voc,ru_taiga-ud-train_Case=Voc,ru_taiga-ud-dev_Case=Voc,ru_taiga-ud-test_Case=Voc,tpn_tudet-ud-test_Case=Voc,ga_idt-ud-train_Case=Voc,ga_idt-ud-test_Case=Voc,ga_idt-ud-dev_Case=Voc,ro_art-ud-test_Case=Voc,ru_syntagrus-ud-train_Case=Voc,ru_syntagrus-ud-dev_Case=Voc,ru_syntagrus-ud-test_Case=Voc,grc_ptnk-ud-train_Case=Voc,grc_ptnk-ud-dev_Case=Voc,grc_ptnk-ud-test_Case=Voc,orv_birchbark-ud-train_Case=Voc,orv_birchbark-ud-dev_Case=Voc,orv_birchbark-ud-test_Case=Voc,ltg_cairo-ud-test_Case=Voc,ru_poetry-ud-test_Case=Voc,ru_poetry-ud-dev_Case=Voc,ru_poetry-ud-train_Case=Voc,cs_fictree-ud-dev_Case=Voc,cs_fictree-ud-train_Case=Voc,cs_fictree-ud-test_Case=Voc,la_udante-ud-train_Case=Voc,la_udante-ud-test_Case=Voc,la_udante-ud-dev_Case=Voc,ro_rrt-ud-test_Case=Voc,ro_rrt-ud-train_Case=Voc,el_gdt-ud-test_Case=Voc,el_gdt-ud-train_Case=Voc,el_gdt-ud-dev_Case=Voc,gd_arcosg-ud-test_Case=Voc,gd_arcosg-ud-train_Case=Voc,gd_arcosg-ud-dev_Case=Voc,got_proiel-ud-dev_Case=Voc,got_proiel-ud-train_Case=Voc,got_proiel-ud-test_Case=Voc,cs_pdt-ud-test_Case=Voc,cs_pdt-ud-dev_Case=Voc,cs_pdt-ud-train_Case=Voc,lv_lvtb-ud-test_Case=Voc,lv_lvtb-ud-train_Case=Voc,lv_lvtb-ud-dev_Case=Voc,la_ittb-ud-dev_Case=Voc,la_ittb-ud-test_Case=Voc,la_ittb-ud-train_Case=Voc,ga_cadhan-ud-test_Case=Voc,pl_pud-ud-test_Case=Voc,orv_torot-ud-test_Case=Voc,orv_torot-ud-dev_Case=Voc,orv_torot-ud-train_Case=Voc,cs_cac-ud-dev_Case=Voc,cs_cac-ud-train_Case=Voc,cs_cac-ud-test_Case=Voc,pl_lfg-ud-test_Case=Voc,pl_lfg-ud-train_Case=Voc,pl_lfg-ud-dev_Case=Voc,cs_poetry-ud-test_Case=Voc,ru_gsd-ud-train_Case=Voc,lv_cairo-ud-test_Case=Voc,bg_btb-ud-train_Case=Voc,bg_btb-ud-test_Case=Voc,bg_btb-ud-dev_Case=Voc,bej_nsc-ud-test_Case=Voc
0,hu_szeged-ud-dev_Case=All,11.110452296436858,13.280666869383856,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,5.260640761447456,5.465025444439187,3.342279084200195,1.29172958692549,40.767387530726765,1.29172958692549,346.0593098354909,158.1552438299497,414.0422782614926,1.29172958692549,1.29172958692549,32.88557462103905,1.29172958692549,1.29172958692549,58.746352858120225,11.291639052659717,24.34245997795968,51.95851646506343,1.29172958692549,1.29172958692549,1.29172958692549,88.22905801680808,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,5.3903021973326215,7.120835707611523,1.29172958692549,1.29172958692549,1.29172958692549,21.042579656903843,70.71140309447897,34.608104431906746,1.1445849726870265,1.29172958692549,1.29172958692549,4.882456005587088,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,16.052356942279854,16.767549342924386,20.60626979382336,1.29172958692549,4.7341174866302005,1.29172958692549,10.215180225762847,14.706414526281396,15.084346366855161,10.929930312975166,20.203923753664398,13.834472231693997,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,32.404703234882945,1.29172958692549,1.29172958692549,33.81565841448284,7.882909579523683,1.29172958692549,13.414867113220366,37.325327804643074,22.441247805360284,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,420.5223488993377,1.29172958692549,1.29172958692549,1.29172958692549,11.343528586706906,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,13.419722153764184,82.5143136767928,42.85725186037775,1.29172958692549,44.170218337328244,1.29172958692549,1.29172958692549,81.06454846698357,18.022749754739568,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,5.932468607112558,7.42693440475424,10.29394893773749,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,93.54072203341862,1.29172958692549,46.13749630534517,0.3201992971410781,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549,1.29172958692549
1,hu_szeged-ud-test_Case=All,11.158680767124089,13.326645856925829,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,5.3071476639086095,5.516011132692646,3.3896149922842818,1.2216165268919335,40.82597462500598,1.2216165268919335,346.117537102349,158.21375811574964,414.1004789089878,1.2216165268919335,1.2216165268919335,32.94681087660497,1.2216165268919335,1.2216165268919335,58.79639577782455,11.34095881919935,24.398320868955096,52.020870027012684,1.2216165268919335,1.2216165268919335,1.2216165268919335,88.2823768439913,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,5.4438225615492515,7.175816813351322,1.2216165268919335,1.2216165268919335,1.2216165268919335,21.092207941030367,70.7626277762204,34.66111055684762,1.2216165268919337,1.2216165268919335,1.2216165268919335,4.92727726279837,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,16.105301497746463,16.82379751302656,20.661579018291278,1.2216165268919335,4.796044945071132,1.2216165268919335,10.266695931577692,14.758918668795111,15.139022940387177,10.985844323956357,20.256211654877767,13.885096988042502,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,32.45754684104724,1.2216165268919335,1.2216165268919335,33.86832997816993,7.941270396492244,1.2216165268919335,13.463290982580473,37.376466973842135,22.49030403329853,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,420.57875879190425,1.2216165268919335,1.2216165268919335,1.2216165268919335,11.403767726823752,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,13.47042489822706,82.56616085520355,42.91261291204225,1.2216165268919335,44.22417959922478,1.2216165268919335,1.2216165268919335,81.12639734968376,18.08490463094025,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,5.979990254733868,7.47808556222009,10.34650192291174,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,93.59597551525954,1.2216165268919335,46.19902044195221,0.2525381361380526,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335,1.2216165268919335
2,hu_szeged-ud-train_Case=All,11.158391250124666,13.324702885496741,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,5.29725913949752,5.505219294374489,3.3792433966989686,1.2334468765583195,40.81391646438998,1.2334468765583195,346.10564555121806,158.20179694453194,414.08850904247737,1.2334468765583195,1.2334468765583195,32.93313781946518,1.2334468765583195,1.2334468765583195,58.786219786709594,11.330632519967924,24.387126060958497,52.007430749707254,1.2334468765583195,1.2334468765583195,1.2334468765583195,88.27267556184312,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,5.4325518191239475,7.16438474268036,1.2334468765583195,1.2334468765583195,1.2334468765583195,21.082566437024706,70.75231312296386,34.650843039687125,1.197360388122916,1.2334468765583195,1.2334468765583195,4.923483466297567,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,16.09435781072016,16.810787784028282,20.650049333906743,1.2334468765583195,4.783990320540486,1.2334468765583195,10.256693120611091,14.748011640137879,15.126909240038291,10.975126821187587,20.245653494375418,13.875128763901088,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,32.446371218248416,1.2334468765583195,1.2334468765583195,33.85721289299374,7.929203515503555,1.2334468765583195,13.453359521894956,37.365991190252664,22.480827815440136,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,420.5684482183743,1.2334468765583195,1.2334468765583195,1.2334468765583195,11.3906658449045,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,13.459777179567544,82.55574610987836,42.90088930870773,1.2334468765583195,44.220285750988154,1.2334468765583195,1.2334468765583195,81.1132757103327,18.071844583104625,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,5.969962774153358,7.46798114525699,10.335804751879296,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,93.58448845250258,1.2334468765583195,46.186448855307745,0.2554424522554568,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195,1.2334468765583195
3,fi_ood-ud-test_Case=All,10.892348731207285,13.083048637286026,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,5.1354922972007975,5.3225881568717215,3.2144796161810794,1.4885496183206106,40.59648455952998,1.4885496183206106,345.9003879376056,157.99462793423686,413.8833894405227,1.4885496183206106,1.4885496183206106,32.70143297926714,1.4885496183206106,1.4885496183206106,58.60967191992821,11.160057653813059,24.17450350391625,51.78340586981174,1.4885496183206106,1.4885496183206106,1.4885496183206106,88.07436427565982,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,5.244966453274361,6.970640269568438,1.4885496183206106,1.4885496183206106,1.4885496183206106,20.901509914172266,70.56658742551062,34.44956639422211,1.0816554162416414,1.4885496183206106,1.4885496183206106,4.706068175890155,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,15.906530025614895,16.61559688812105,20.455369446344424,1.4885496183206106,4.558695221492151,1.4885496183206106,10.072148743216266,14.56317303934263,14.933168057437832,10.772860364091688,20.05534553380684,13.683274510885479,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,32.26834849070134,1.4885496183206106,1.4885496183206106,33.67936682053051,7.722904951003409,1.4885496183206106,13.282138662396145,37.18583873865602,22.304432889699033,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,420.3470146516222,1.4885496183206106,1.4885496183206106,1.4885496183206106,11.15569623968655,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,13.275192721699504,82.3656095865357,42.71280509282316,1.4885496183206106,43.94160482877286,1.4885496183206106,1.4885496183206106,80.89533654434409,17.84951240071565,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,5.80366096183486,7.292706929267962,10.156373346416903,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,93.38514058594268,1.4885496183206106,45.95992837905019,0.5188594036020282,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106,1.4885496183206106
4,ess_sli-ud-test_Case=All,34.404457075598025,33.97793401606401,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,38.00805500019646,37.64425422336134,38.798711318805424,41.43669871020132,34.14674215792775,41.43669871020132,322.0558957696629,136.13511700917766,389.89229281944006,41.43669871020132,41.43669871020132,30.886890422961002,41.43669871020132,41.43669871020132,49.839743177508446,35.701890706235716,31.906112267087632,40.13311184877976,41.43669871020132,41.43669871020132,41.43669871020132,72.0832851637604,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,37.46331538985838,36.46916505762094,41.43669871020132,41.43669871020132,41.43669871020132,33.67821584084024,58.29236656715869,34.39980620100449,39.92492955535426,41.43669871020132,41.43669871020132,37.841775856849004,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,33.879192251144765,33.381342836782,32.59341311541945,41.43669871020132,37.34292204903753,41.43669871020132,35.593382655893905,34.26368339802363,33.84428701995196,34.93744409655635,33.30619636117854,34.422013305441624,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,35.07135583350036,41.43669871020132,41.43669871020132,35.52463933666322,35.86084215408221,41.43669871020132,35.13367330638799,36.709066394496546,33.80643429881359,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,396.2246837338633,41.43669871020132,41.43669871020132,41.43669871020132,33.94664931918907,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,34.7470862087744,67.9926466612383,38.262252939417984,41.43669871020132,33.823069050575526,41.43669871020132,41.43669871020132,63.13477647065839,31.52776554086889,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,37.66672566367061,36.838685608968866,35.67800442849908,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,75.93088962997865,41.43669871020132,35.552777669262355,40.66939881532551,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132,41.43669871020132
5,hit_hittb-ud-test_Case=All,11.357816691600545,13.509256086106296,1.0,1.0,1.0,1.0,5.454823740581938,5.6768159798800495,3.5411862419251547,1.0,41.012193308819754,1.0,346.2975599105486,158.3946821905975,414.28009848410534,1.0,1.0,33.13608305156178,1.0,1.0,58.95195784139262,11.49456393257265,24.576411454889016,52.21110992882645,1.0,1.0,1.0,88.45337754998393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.612486080160912,7.3484692283495345,1.0,1.0,1.0,21.24983660067897,70.92249290598858,34.82881948425278,1.4142135623730951,1.0,1.0,5.0990195135927845,1.0,1.0,1.0,1.0,16.27104901384912,16.995867266257154,20.836236712289928,1.0,4.993823345387607,1.0,10.434983894999018,14.922019523732928,15.308573759679756,11.163556780883054,20.420372301656784,14.049021318227117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.61901286060018,1.0,1.0,34.02939905434711,8.12403840463596,1.0,13.615248804190102,37.535168694024655,22.646743695286524,1.0,1.0,1.0,1.0,1.0,420.76121494263225,1.0,1.0,1.0,11.59202311936963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.629380029920656,82.72847151978574,43.08131845707603,1.0,44.429719783046124,1.0,1.0,81.3142054010245,18.275666882497067,1.0,1.0,1.0,1.0,1.0,6.13043409737208,7.641756977563603,10.511490311627014,1.0,1.0,1.0,1.0,93.7683315410912,1.0,46.389654018972806,0.0,1.0,1.0,1.0,1.0,1.0
6,et_ewt-ud-train_Case=All,10.996440080210629,13.17279795244716,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,5.192104917326565,5.385197749235596,3.2702656078667514,1.3930450983353315,40.66868022457203,1.3930450983353315,345.9723660563745,158.0681765744688,413.9566222515301,1.3930450983353315,1.3930450983353315,32.777647389585425,1.3930450983353315,1.3930450983353315,58.67313634716199,11.22167216632602,24.248210880310243,51.862195474523276,1.3930450983353315,1.3930450983353315,1.3930450983353315,88.1467567803603,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,5.311134791265996,7.039449971126728,1.3930450983353315,1.3930450983353315,1.3930450983353315,20.966026213890693,70.63204575223625,34.51922021467647,1.1469850243120412,1.3930450983353315,1.3930450983353315,4.786776670787566,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,15.973433036129334,16.685265659912755,20.524346055338814,1.3930450983353315,4.637223981104898,1.3930450983353315,10.138239029447783,14.62746423898082,15.001433438226883,10.847628468748185,20.122913773878135,13.750289359082451,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,32.3346628000973,1.3930450983353315,1.3930450983353315,33.74553136558967,7.796430250184766,1.3930450983353315,13.343279720836856,37.24982571258848,22.367604146868214,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,420.4228562705006,1.3930450983353315,1.3930450983353315,1.3930450983353315,11.22667497062225,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,13.339167408275378,82.43186786838568,42.78193649510265,1.3930450983353315,44.04218446155908,1.3930450983353315,1.3930450983353315,80.96796692764364,17.91219764981383,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,5.861121461365989,7.35601200184529,10.22117161579667,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,93.45315059373866,1.3930450983353315,46.03084848388085,0.4135739305083116,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315,1.3930450983353315
7,et_ewt-ud-test_Case=All,10.955273248616662,13.134611221953083,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,5.150282280676845,5.335441611768122,3.2272112862037496,1.4619432297123496,40.61103968211042,1.4619432297123496,345.9105251455169,158.00661341105595,413.8961218268758,1.4619432297123496,1.4619432297123496,32.70552001535508,1.4619432297123496,1.4619432297123496,58.626529828392876,11.175862055600046,24.193024110713832,51.79455091326302,1.4619432297123496,1.4619432297123496,1.4619432297123496,88.0973170874511,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,5.2623496537631755,6.988826798916282,1.4619432297123496,1.4619432297123496,1.4619432297123496,20.920598147152212,70.58120206787606,34.46382449027092,1.075000758490424,1.4619432297123496,1.4619432297123496,4.7486968784708745,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,15.92108154104552,16.629007428609036,20.472198034957504,1.4619432297123496,4.568218242323313,1.4619432297123496,10.086560619065866,14.579308565619636,14.947155610885815,10.79419156699025,20.071351677815105,13.704729747661682,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,32.284566611767524,1.4619432297123496,1.4619432297123496,33.69561037792381,7.742390939266957,1.4619432297123496,13.298388638937533,37.20250215907246,22.320710402433143,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,420.36740115868406,1.4619432297123496,1.4619432297123496,1.4619432297123496,11.164671633586043,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,13.288818263899106,82.38174528926893,42.72871145487608,1.4619432297123496,43.98560683089561,1.4619432297123496,1.4619432297123496,80.90837287291521,17.868521679135277,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,5.819107137214775,7.308616359380346,10.172438743287271,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,93.39113091216304,1.4619432297123496,45.96967122464891,0.48805270012001417,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496,1.4619432297123496
8,et_ewt-ud-dev_Case=All,11.002381939041555,13.178718523619088,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,5.1964480266041075,5.391242628117024,3.2754130522187466,1.3878741802897074,40.674220510758296,1.3878741802897074,345.9784689139223,158.07433038702482,413.96251645492225,1.3878741802897074,1.3878741802897074,32.784882565557595,1.3878741802897074,1.3878741802897074,58.67755656619064,11.2259551275926,24.253394929660907,51.86983316725211,1.3878741802897074,1.3878741802897074,1.3878741802897074,88.15164548950465,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,5.316121348937165,7.044517291236385,1.3878741802897074,1.3878741802897074,1.3878741802897074,20.970688500519913,70.63755416786445,34.526262888481305,1.1465357625813222,1.3878741802897074,1.3878741802897074,4.792184229740248,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,15.978564342162523,16.688443470692167,20.528324652989507,1.3878741802897074,4.644231821811278,1.3878741802897074,10.14217073996115,14.632741822763146,15.005403041621422,10.852619503148567,20.128299385201196,13.753913144234618,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,32.33883085623353,1.3878741802897074,1.3878741802897074,33.749706659387186,7.801790968305313,1.3878741802897074,13.34767463048473,37.254606406670504,22.372296291222693,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,420.42931592585927,1.3878741802897074,1.3878741802897074,1.3878741802897074,11.236004480332962,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,13.344384680730135,82.43752551002513,42.78694089608614,1.3878741802897074,44.050654652602375,1.3878741802897074,1.3878741802897074,80.97592822575032,17.920915279333606,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,5.865675714729614,7.36050360889088,10.225834570335616,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,93.45851569496149,1.3878741802897074,46.039598622731894,0.41099049492265494,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074,1.3878741802897074
9,ml_ufal-ud-test_Case=All,8.306623862918073,10.793516572461451,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.540071023448772,4.492302875359913,3.3075670817082456,4.58257569495584,38.54867053479276,4.58257569495584,343.8139031511088,155.91101233496312,411.8033511276954,4.58257569495584,4.58257569495584,30.59411708155671,4.58257569495584,4.58257569495584,56.86240703077327,9.82980162566875,22.22611077089287,49.69909455915671,4.58257569495584,4.58257569495584,4.58257569495584,86.06973916540005,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.301162633521313,5.656854249492381,4.58257569495584,4.58257569495584,4.58257569495584,19.20648038785058,68.74590896918885,32.58036218337666,3.1622776601683795,4.58257569495584,4.58257569495584,3.4641016151377544,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,14.284687576876685,14.92238874813323,18.673355747589483,4.58257569495584,3.2394177193585,4.58257569495584,8.65383665716478,12.96148139681572,13.282912477649203,9.089829481348922,18.3476442461346,12.015614840697916,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,30.56141357987225,4.58257569495584,4.58257569495584,31.96873472629156,5.830951894845301,4.58257569495584,11.86907747046922,35.45262880082221,20.685139593437604,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,418.1602563611229,4.58257569495584,4.58257569495584,4.58257569495584,9.320675941153624,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,11.754148203932091,80.50465825031493,40.87786687193939,4.58257569495584,41.20679555607303,4.58257569495584,4.58257569495584,78.81624198095213,15.874507866387544,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,5.018189137749017,6.165373818311963,8.77040477971228,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,91.39748355397975,4.58257569495584,43.81780460041329,3.7416573867739413,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584,4.58257569495584
