,Treebank,el_gud-ud-train_Case=Voc,el_gud-ud-test_Case=Voc,fa_seraji-ud-dev_Case=Voc,fa_seraji-ud-test_Case=Voc,fa_seraji-ud-train_Case=Voc,sga_dipsgg-ud-test_Case=Voc,pl_pdb-ud-test_Case=Voc,pl_pdb-ud-train_Case=Voc,pl_pdb-ud-dev_Case=Voc,uk_iu-ud-dev_Case=Voc,uk_iu-ud-train_Case=Voc,uk_iu-ud-test_Case=Voc,sa_vedic-ud-test_Case=Voc,sa_vedic-ud-train_Case=Voc,sa_vedic-ud-dev_Case=Voc,kmr_mg-ud-test_Case=Voc,hr_set-ud-dev_Case=Voc,hr_set-ud-train_Case=Voc,hr_set-ud-test_Case=Voc,orv_rnc-ud-dev_Case=Voc,orv_rnc-ud-train_Case=Voc,orv_rnc-ud-test_Case=Voc,cpg_tuecl-ud-test_Case=Voc,la_circse-ud-test_Case=Voc,grc_perseus-ud-dev_Case=Voc,grc_perseus-ud-train_Case=Voc,grc_perseus-ud-test_Case=Voc,qpm_philotis-ud-train_Case=Voc,qpm_philotis-ud-dev_Case=Voc,qpm_philotis-ud-test_Case=Voc,la_perseus-ud-test_Case=Voc,la_perseus-ud-train_Case=Voc,sk_snk-ud-train_Case=Voc,lt_hse-ud-train_Case=Voc,ess_sli-ud-test_Case=Voc,hit_hittb-ud-test_Case=Voc,sa_ufal-ud-test_Case=Voc,be_hse-ud-train_Case=Voc,be_hse-ud-dev_Case=Voc,be_hse-ud-test_Case=Voc,cs_pud-ud-test_Case=Voc,orv_ruthenian-ud-test_Case=Voc,orv_ruthenian-ud-train_Case=Voc,orv_ruthenian-ud-dev_Case=Voc,ml_ufal-ud-test_Case=Voc,egy_ujaen-ud-test_Case=Voc,ro_nonstandard-ud-test_Case=Voc,ro_nonstandard-ud-dev_Case=Voc,ro_nonstandard-ud-train_Case=Voc,ro_simonero-ud-train_Case=Voc,mr_ufal-ud-dev_Case=Voc,mr_ufal-ud-test_Case=Voc,ro_tuecl-ud-test_Case=Voc,lt_alksnis-ud-test_Case=Voc,lt_alksnis-ud-dev_Case=Voc,lt_alksnis-ud-train_Case=Voc,vi_tuecl-ud-test_Case=Voc,cu_proiel-ud-train_Case=Voc,cu_proiel-ud-test_Case=Voc,cu_proiel-ud-dev_Case=Voc,la_llct-ud-dev_Case=Voc,la_llct-ud-train_Case=Voc,sr_set-ud-train_Case=Voc,la_proiel-ud-test_Case=Voc,la_proiel-ud-dev_Case=Voc,la_proiel-ud-train_Case=Voc,grc_proiel-ud-test_Case=Voc,grc_proiel-ud-train_Case=Voc,grc_proiel-ud-dev_Case=Voc,ru_taiga-ud-train_Case=Voc,ru_taiga-ud-dev_Case=Voc,ru_taiga-ud-test_Case=Voc,tpn_tudet-ud-test_Case=Voc,ga_idt-ud-train_Case=Voc,ga_idt-ud-test_Case=Voc,ga_idt-ud-dev_Case=Voc,ro_art-ud-test_Case=Voc,ru_syntagrus-ud-train_Case=Voc,ru_syntagrus-ud-dev_Case=Voc,ru_syntagrus-ud-test_Case=Voc,grc_ptnk-ud-train_Case=Voc,grc_ptnk-ud-dev_Case=Voc,grc_ptnk-ud-test_Case=Voc,orv_birchbark-ud-train_Case=Voc,orv_birchbark-ud-dev_Case=Voc,orv_birchbark-ud-test_Case=Voc,ltg_cairo-ud-test_Case=Voc,ru_poetry-ud-test_Case=Voc,ru_poetry-ud-dev_Case=Voc,ru_poetry-ud-train_Case=Voc,cs_fictree-ud-dev_Case=Voc,cs_fictree-ud-train_Case=Voc,cs_fictree-ud-test_Case=Voc,la_udante-ud-train_Case=Voc,la_udante-ud-test_Case=Voc,la_udante-ud-dev_Case=Voc,ro_rrt-ud-test_Case=Voc,ro_rrt-ud-train_Case=Voc,el_gdt-ud-test_Case=Voc,el_gdt-ud-train_Case=Voc,el_gdt-ud-dev_Case=Voc,gd_arcosg-ud-test_Case=Voc,gd_arcosg-ud-train_Case=Voc,gd_arcosg-ud-dev_Case=Voc,got_proiel-ud-dev_Case=Voc,got_proiel-ud-train_Case=Voc,got_proiel-ud-test_Case=Voc,cs_pdt-ud-test_Case=Voc,cs_pdt-ud-dev_Case=Voc,cs_pdt-ud-train_Case=Voc,lv_lvtb-ud-test_Case=Voc,lv_lvtb-ud-train_Case=Voc,lv_lvtb-ud-dev_Case=Voc,la_ittb-ud-dev_Case=Voc,la_ittb-ud-test_Case=Voc,la_ittb-ud-train_Case=Voc,ga_cadhan-ud-test_Case=Voc,pl_pud-ud-test_Case=Voc,orv_torot-ud-test_Case=Voc,orv_torot-ud-dev_Case=Voc,orv_torot-ud-train_Case=Voc,cs_cac-ud-dev_Case=Voc,cs_cac-ud-train_Case=Voc,cs_cac-ud-test_Case=Voc,pl_lfg-ud-test_Case=Voc,pl_lfg-ud-train_Case=Voc,pl_lfg-ud-dev_Case=Voc,cs_poetry-ud-test_Case=Voc,ru_gsd-ud-train_Case=Voc,lv_cairo-ud-test_Case=Voc,bg_btb-ud-train_Case=Voc,bg_btb-ud-test_Case=Voc,bg_btb-ud-dev_Case=Voc,bej_nsc-ud-test_Case=Voc
0,sl_ssj-ud-test_Case=Loc,10.025977512326934,12.275387084565674,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,4.597653320747567,4.684234790873643,2.757586175457653,2.618603778329093,39.71894575495988,2.618603778329093,345.0552949262587,157.14493924640124,413.03958961386917,2.618603778329093,2.618603778329093,31.77065542391815,2.618603778329093,2.618603778329093,57.88743817484318,10.50606129066062,23.347046900526685,50.88052484843229,2.618603778329093,2.618603778329093,2.618603778329093,87.28449468074959,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,4.5790465992891365,6.244823975791482,2.618603778329093,2.618603778329093,2.618603778329093,20.188222229518967,69.80678508911608,33.64496779957817,1.316941314230849,2.618603778329093,2.618603778329093,4.051121215463288,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,15.164293251516742,15.843774796074346,19.6781773979014,2.618603778329093,3.752647731319963,2.618603778329093,9.35920145554339,13.838254853415984,14.1714352848196,10.006139439794957,19.30462295120394,12.955859985740107,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,31.54415643704233,2.618603778329093,2.618603778329093,32.955332059390706,6.730562531561952,2.618603778329093,12.617377830358295,36.455345050481185,21.596757081462716,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,419.4720049131452,2.618603778329093,2.618603778329093,2.618603778329093,10.246141151633728,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,12.557278124499256,81.59396145589048,41.945176438878164,2.618603778329093,42.96577875413103,2.618603778329093,2.618603778329093,80.0097675653023,16.981002333349874,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,5.229466036296186,6.6437070026701734,9.466388982403542,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,92.56746686458864,2.618603778329093,45.047170409897625,1.696228630811666,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093
1,sl_ssj-ud-dev_Case=Loc,10.008850719343048,12.26265763684348,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,4.588892292832081,4.675049308791646,2.747132389898886,2.6192505338582834,39.71141785413129,2.6192505338582834,345.0471928567677,157.13679260812083,413.0315210600258,2.6192505338582834,2.6192505338582834,31.763412908019834,2.6192505338582834,2.6192505338582834,57.880616270359184,10.497945257375644,23.33837554896462,50.87112959473813,2.6192505338582834,2.6192505338582834,2.6192505338582834,87.27590045769021,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,4.5690353004451465,6.23541024382404,2.6192505338582834,2.6192505338582834,2.6192505338582834,20.18092423142636,69.80038114159822,33.63808501517905,1.283222771668297,2.6192505338582834,2.6192505338582834,4.037023588218445,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,15.156161033796183,15.83495978893923,19.66956182834646,2.6192505338582834,3.737278584565799,2.6192505338582834,9.350564594876614,13.830158238108691,14.16321346578958,9.994802118381683,19.29676023100548,12.94789409646196,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,31.535574366948605,2.6192505338582834,2.6192505338582834,32.946855523323116,6.731540886478072,2.6192505338582834,12.61015401329284,36.44814717180376,21.58990126544014,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,419.4638742915835,2.6192505338582834,2.6192505338582834,2.6192505338582834,10.238771699914833,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,12.55023737711507,81.58735340080914,41.93634542367109,2.6192505338582834,42.953105497104616,2.6192505338582834,2.6192505338582834,80.00055889315527,16.971246213865467,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,5.2208732415284675,6.6337234101838165,9.45679044797886,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,92.56046641821655,2.6192505338582834,45.03916639226264,1.692132258571466,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834
2,sl_ssj-ud-train_Case=Loc,10.035435816668892,12.284388319447851,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,4.601746870863631,4.6902115992881255,2.7582653727183124,2.599685732683534,39.731198748610055,2.599685732683534,345.06686681537474,157.15650534163413,413.051129902631,2.599685732683534,2.599685732683534,31.78425221418421,2.599685732683534,2.599685732683534,57.89716190068613,10.513759693927511,23.358323832110724,50.89360442489566,2.599685732683534,2.599685732683534,2.599685732683534,87.29509836411864,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,4.58508425155796,6.252591036326284,2.599685732683534,2.599685732683534,2.599685732683534,20.19730117975186,69.81722780446272,33.656060538646464,1.3019393341504557,2.599685732683534,2.599685732683534,4.055715730461975,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,15.173939564638484,15.854240148224973,19.688532136537177,2.599685732683534,3.7601387399810955,2.599685732683534,9.367924077301842,13.847323177477543,14.181523194416958,10.015309452352296,19.3145143396317,12.964871544408258,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,31.55382041625533,2.599685732683534,2.599685732683534,32.96500821347035,6.745371819581146,2.599685732683534,12.62542185867568,36.46507569183603,21.605913661819486,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,419.4842525456944,2.599685732683534,2.599685732683534,2.599685732683534,10.25848031537657,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,12.566406879144482,81.60461527835353,41.9556405334093,2.599685732683534,42.97871355667149,2.599685732683534,2.599685732683534,80.02223007622878,16.99194890421968,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,5.234479035657197,6.650525367314696,9.474489844167524,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,92.57882024108224,2.599685732683534,45.05971249158116,1.6752759658021141,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534
3,xcl_caval-ud-train_Case=Loc,12.220201853215572,14.33527118683145,0.0,0.0,0.0,0.0,6.202369527454974,6.473643321286683,4.328972164382673,0.0,41.86884283091664,0.0,347.1296587732025,159.23164714190312,415.10841957252563,0.0,0.0,34.0147027033899,0.0,0.0,59.679700624807644,12.232129822725067,25.39685019840059,53.06913729592119,0.0,0.0,0.0,89.23564310296643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.442049363362563,8.18535277187245,0.0,0.0,0.0,21.99747460252856,71.67286794875729,35.61385498182788,2.23606797749979,0.0,0.0,5.916079783099616,0.0,0.0,0.0,0.0,17.047292861502005,17.792885568662104,21.63884630523281,0.0,5.920251913225432,0.0,11.220021786471223,15.69500982265807,16.103129009260556,11.984364814206884,21.18994636992963,14.828182626336917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36165463522455,0.0,0.0,34.77067730142742,9.0,0.0,14.348344852281743,38.27822125206737,23.385358667337133,0.0,0.0,0.0,0.0,0.0,421.5934060205401,0.0,0.0,0.0,12.484990989183773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.393053880257655,83.48652585896721,43.8520238985614,0.0,45.332107826572546,0.0,0.0,82.16446920658588,19.157244060668017,0.0,0.0,0.0,0.0,0.0,6.883474574822095,8.417718703168957,11.284882428655225,0.0,0.0,0.0,0.0,94.57536677169166,0.0,47.275786614291256,1.0,0.0,0.0,0.0,0.0,0.0
4,xcl_caval-ud-dev_Case=Loc,12.220201853215572,14.33527118683145,0.0,0.0,0.0,0.0,6.202369527454974,6.473643321286683,4.328972164382673,0.0,41.86884283091664,0.0,347.1296587732025,159.23164714190312,415.10841957252563,0.0,0.0,34.0147027033899,0.0,0.0,59.679700624807644,12.232129822725067,25.39685019840059,53.06913729592119,0.0,0.0,0.0,89.23564310296643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.442049363362563,8.18535277187245,0.0,0.0,0.0,21.99747460252856,71.67286794875729,35.61385498182788,2.23606797749979,0.0,0.0,5.916079783099616,0.0,0.0,0.0,0.0,17.047292861502005,17.792885568662104,21.63884630523281,0.0,5.920251913225432,0.0,11.220021786471223,15.69500982265807,16.103129009260556,11.984364814206884,21.18994636992963,14.828182626336917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36165463522455,0.0,0.0,34.77067730142742,9.0,0.0,14.348344852281743,38.27822125206737,23.385358667337133,0.0,0.0,0.0,0.0,0.0,421.5934060205401,0.0,0.0,0.0,12.484990989183773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.393053880257655,83.48652585896721,43.8520238985614,0.0,45.332107826572546,0.0,0.0,82.16446920658588,19.157244060668017,0.0,0.0,0.0,0.0,0.0,6.883474574822095,8.417718703168957,11.284882428655225,0.0,0.0,0.0,0.0,94.57536677169166,0.0,47.275786614291256,1.0,0.0,0.0,0.0,0.0,0.0
5,xcl_caval-ud-test_Case=Loc,12.220201853215572,14.33527118683145,0.0,0.0,0.0,0.0,6.202369527454974,6.473643321286683,4.328972164382673,0.0,41.86884283091664,0.0,347.1296587732025,159.23164714190312,415.10841957252563,0.0,0.0,34.0147027033899,0.0,0.0,59.679700624807644,12.232129822725067,25.39685019840059,53.06913729592119,0.0,0.0,0.0,89.23564310296643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.442049363362563,8.18535277187245,0.0,0.0,0.0,21.99747460252856,71.67286794875729,35.61385498182788,2.23606797749979,0.0,0.0,5.916079783099616,0.0,0.0,0.0,0.0,17.047292861502005,17.792885568662104,21.63884630523281,0.0,5.920251913225432,0.0,11.220021786471223,15.69500982265807,16.103129009260556,11.984364814206884,21.18994636992963,14.828182626336917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36165463522455,0.0,0.0,34.77067730142742,9.0,0.0,14.348344852281743,38.27822125206737,23.385358667337133,0.0,0.0,0.0,0.0,0.0,421.5934060205401,0.0,0.0,0.0,12.484990989183773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.393053880257655,83.48652585896721,43.8520238985614,0.0,45.332107826572546,0.0,0.0,82.16446920658588,19.157244060668017,0.0,0.0,0.0,0.0,0.0,6.883474574822095,8.417718703168957,11.284882428655225,0.0,0.0,0.0,0.0,94.57536677169166,0.0,47.275786614291256,1.0,0.0,0.0,0.0,0.0,0.0
6,hu_szeged-ud-train_Case=Loc,12.220201853215572,14.33527118683145,0.0,0.0,0.0,0.0,6.202369527454974,6.473643321286683,4.328972164382673,0.0,41.86884283091664,0.0,347.1296587732025,159.23164714190312,415.10841957252563,0.0,0.0,34.0147027033899,0.0,0.0,59.679700624807644,12.232129822725067,25.39685019840059,53.06913729592119,0.0,0.0,0.0,89.23564310296643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.442049363362563,8.18535277187245,0.0,0.0,0.0,21.99747460252856,71.67286794875729,35.61385498182788,2.23606797749979,0.0,0.0,5.916079783099616,0.0,0.0,0.0,0.0,17.047292861502005,17.792885568662104,21.63884630523281,0.0,5.920251913225432,0.0,11.220021786471223,15.69500982265807,16.103129009260556,11.984364814206884,21.18994636992963,14.828182626336917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36165463522455,0.0,0.0,34.77067730142742,9.0,0.0,14.348344852281743,38.27822125206737,23.385358667337133,0.0,0.0,0.0,0.0,0.0,421.5934060205401,0.0,0.0,0.0,12.484990989183773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.393053880257655,83.48652585896721,43.8520238985614,0.0,45.332107826572546,0.0,0.0,82.16446920658588,19.157244060668017,0.0,0.0,0.0,0.0,0.0,6.883474574822095,8.417718703168957,11.284882428655225,0.0,0.0,0.0,0.0,94.57536677169166,0.0,47.275786614291256,1.0,0.0,0.0,0.0,0.0,0.0
7,fa_seraji-ud-dev_Case=Loc,12.220201853215572,14.33527118683145,0.0,0.0,0.0,0.0,6.202369527454974,6.473643321286683,4.328972164382673,0.0,41.86884283091664,0.0,347.1296587732025,159.23164714190312,415.10841957252563,0.0,0.0,34.0147027033899,0.0,0.0,59.679700624807644,12.232129822725067,25.39685019840059,53.06913729592119,0.0,0.0,0.0,89.23564310296643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.442049363362563,8.18535277187245,0.0,0.0,0.0,21.99747460252856,71.67286794875729,35.61385498182788,2.23606797749979,0.0,0.0,5.916079783099616,0.0,0.0,0.0,0.0,17.047292861502005,17.792885568662104,21.63884630523281,0.0,5.920251913225432,0.0,11.220021786471223,15.69500982265807,16.103129009260556,11.984364814206884,21.18994636992963,14.828182626336917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36165463522455,0.0,0.0,34.77067730142742,9.0,0.0,14.348344852281743,38.27822125206737,23.385358667337133,0.0,0.0,0.0,0.0,0.0,421.5934060205401,0.0,0.0,0.0,12.484990989183773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.393053880257655,83.48652585896721,43.8520238985614,0.0,45.332107826572546,0.0,0.0,82.16446920658588,19.157244060668017,0.0,0.0,0.0,0.0,0.0,6.883474574822095,8.417718703168957,11.284882428655225,0.0,0.0,0.0,0.0,94.57536677169166,0.0,47.275786614291256,1.0,0.0,0.0,0.0,0.0,0.0
8,fa_seraji-ud-test_Case=Loc,12.220201853215572,14.33527118683145,0.0,0.0,0.0,0.0,6.202369527454974,6.473643321286683,4.328972164382673,0.0,41.86884283091664,0.0,347.1296587732025,159.23164714190312,415.10841957252563,0.0,0.0,34.0147027033899,0.0,0.0,59.679700624807644,12.232129822725067,25.39685019840059,53.06913729592119,0.0,0.0,0.0,89.23564310296643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.442049363362563,8.18535277187245,0.0,0.0,0.0,21.99747460252856,71.67286794875729,35.61385498182788,2.23606797749979,0.0,0.0,5.916079783099616,0.0,0.0,0.0,0.0,17.047292861502005,17.792885568662104,21.63884630523281,0.0,5.920251913225432,0.0,11.220021786471223,15.69500982265807,16.103129009260556,11.984364814206884,21.18994636992963,14.828182626336917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36165463522455,0.0,0.0,34.77067730142742,9.0,0.0,14.348344852281743,38.27822125206737,23.385358667337133,0.0,0.0,0.0,0.0,0.0,421.5934060205401,0.0,0.0,0.0,12.484990989183773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.393053880257655,83.48652585896721,43.8520238985614,0.0,45.332107826572546,0.0,0.0,82.16446920658588,19.157244060668017,0.0,0.0,0.0,0.0,0.0,6.883474574822095,8.417718703168957,11.284882428655225,0.0,0.0,0.0,0.0,94.57536677169166,0.0,47.275786614291256,1.0,0.0,0.0,0.0,0.0,0.0
9,fa_seraji-ud-train_Case=Loc,12.220201853215572,14.33527118683145,0.0,0.0,0.0,0.0,6.202369527454974,6.473643321286683,4.328972164382673,0.0,41.86884283091664,0.0,347.1296587732025,159.23164714190312,415.10841957252563,0.0,0.0,34.0147027033899,0.0,0.0,59.679700624807644,12.232129822725067,25.39685019840059,53.06913729592119,0.0,0.0,0.0,89.23564310296643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.442049363362563,8.18535277187245,0.0,0.0,0.0,21.99747460252856,71.67286794875729,35.61385498182788,2.23606797749979,0.0,0.0,5.916079783099616,0.0,0.0,0.0,0.0,17.047292861502005,17.792885568662104,21.63884630523281,0.0,5.920251913225432,0.0,11.220021786471223,15.69500982265807,16.103129009260556,11.984364814206884,21.18994636992963,14.828182626336917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36165463522455,0.0,0.0,34.77067730142742,9.0,0.0,14.348344852281743,38.27822125206737,23.385358667337133,0.0,0.0,0.0,0.0,0.0,421.5934060205401,0.0,0.0,0.0,12.484990989183773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.393053880257655,83.48652585896721,43.8520238985614,0.0,45.332107826572546,0.0,0.0,82.16446920658588,19.157244060668017,0.0,0.0,0.0,0.0,0.0,6.883474574822095,8.417718703168957,11.284882428655225,0.0,0.0,0.0,0.0,94.57536677169166,0.0,47.275786614291256,1.0,0.0,0.0,0.0,0.0,0.0
